1,2,3,4,5,6,7,8,9,10,11,12,13
1,Basic Health Unit Dalola  (Male),Dalola,22030205,,,,502,0,502,2,0,2
,,Dalola,22030206,,,,585,0,585,,,
,,,,,,,1087,0,1087,,,
2,Basic Health Unit Dalola (Female),Dalola,22030205,,,,0,346,336,0,2,2
,,Dalola,22030206,,,,0,444,426,,,
,,,,,,,0,790,762,,,
3,"Govt Higher Secondary SchoolDalola (Male)",Dalola,22030212,,,,640,0,640,2,0,2
,,Dalola,22030213,,,,466,0,466,,,
,,,,,,,1106,0,1106,,,
4,"Govt Higher Secondary SchoolDalola (Female)",Dalola,22030212,,,,0,515,515,0,2,2
,,Dalola,22030213,,,,0,342,342,,,
,,,,,,,0,857,857,,,
5,Govt Primery School Bagla,Dalola,22030215,,,,358,235,593,1,1,2
,,,,,,,358,235,593,,,
6,"Govt High School, Hadora Bandi",Dalola,22030216,,,,372,280,652,2,1,3
,,Dalola,22030217,,,,373,298,671,,,
,,,,,,,745,578,1323,,,
7,Community Center Sirla,Dalola,22030218,,,,357,261,618,2,1,3
,,Dalola,22030219,,,,169,131,300,,,
,,Dalola,22030220,,,,193,126,319,,,
,,,,,,,719,518,1237,,,
8,"Govt Girls Middle School, Naroka",Naroka,22030221,,,,386,278,664,1,1,2
,,,,,,,386,278,664,,,
9,"Govt Primary School,Majaffa",Naroka,22030222,,,,254,196,450,1,1,2
,,Naroka,22030223,,,,211,140,351,,,
,,,,,,,465,336,801,,,
10,"Govt Middle School, Dabban(Male)",Dabban,22030201,,,,262,,262,3,0,3
,,Dabban,22030202,,,,213,,213,,,
,,Dabban,22030203,,,,359,,359,,,
,,Dabban,22030204,,,,274,,274,,,
,,,,,,,1108,647,1108,,,
11,"Govt Middle School, Dabban(Female)",Dabban,22030201,,,,0,139,139,0,2,2
,,Dabban,22030202,,,,0,109,109,,,
,,Dabban,22030203,,,,0,230,230,,,
,,Dabban,22030204,,,,0,169,169,,,
,,,,,,,0,647,647,,,
12,"Govt Primary School, Sehali",Dalola,22030207,,,,596,432,1028,2,1,3
,,,,,,,596,432,1028,,,
13,"Govt Masjid Primary School,Garang",Dalola,22030208,,,,559,350,909,2,1,3
,,Dalola,22030209,,,,372,193,565,,,
,,,,,,,931,543,1474,,,
14,"Govt Primary School, Seri",Dalola,22030210,,,,366,282,648,1,1,2
,,,,,,,366,282,648,,,
15,"Govt Girls Primary School, Darra",Dalola,22030211,,,,190,117,307,2,1,3
,,Dalola,22030214,,,,438,299,737,,,
,,,,,,,628,416,1044,,,
