"",,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
178,178. Govt: Primary School Gandili (Comb),1.Gandli,051030101,,,,192,146,338,2,2,4
"",2.Gandli,051030102,,,,604,491,1095,,,,
"",3.Kotka Dakass,051030103,,,,135,99,234,,,,
"",.,,,,,,931,736,1667,2,2,4
179,"179. Govt: Higher Secondary School Slima SikanderKhel (M)",1.Slima Sikander Khel,051030104,,,,888,0,888,4,0,4
"",2.Nasim Akbar Shah,051030106,,,,304,0,304,,,,
"",.,,,,,,1192,0,1192,4,0,4
180,180. Govt: Primary School No.2 Slima Sikander Khel (F),1.Slima Sikander Khel,051030104,,,,0,732,732,0,4,4
"",2.Nasim Akbar Shah,051030106,,,,0,279,279,,,,
"",.,,,,,,0,1011,1011,0,4,4
181,181. Govt: Primary School Kotka Behram shah (Comb),1.Kotka Beharam Shah,051030105,,,,276,196,472,2,2,4
"",1.Kotka Beharam Shah,051030107,,,,303,228,531,,,,
"",.,,,,,,579,424,1003,2,2,4
182,182. Govt: High School Shahbaz Azmat Khel (Male) PS-I,1 .Shabaz Azmat Khel,051030201,,,,761,0,761,4,0,4
"",1 .Shabaz Azmat Khel,051030210,,,,212,0,212,,,,
"",2.Shabaz Azmat Khel,051030202,,,,245,0,245,,,,
"",2.Shabaz Azmat Khel,051030211,,,,277,0,277,,,,
"",.,,,,,,1495,0,1495,4,0,4
183,"183. G.C.M.S (ADJ) Govt: Primary School ShahbazAzmat Khel (Female) PS-I",1 .Shabaz Azmat Khel,051030201,,,,0,661,661,0,4,4
"",1 .Shabaz Azmat Khel,051030210,,,,0,150,150,,,,
"",2. Shabaz Azmat Khel,051030202,,,,0,226,226,,,,
"",2. Shabaz Azmat Khel,051030211,,,,0,220,220,,,,
"",.,,,,,,0,1257,1257,0,4,4
184,"184. Govt: High School Shahbaz Azmat Khel (Male) PS-II",Shahbaz Azmat Khel,051030203,,,,739,0,739,4,0,4
"",Shahbaz Azmat Khel,051030204,,,,773,0,773,,,,
"",.,,,,,,1512,0,1512,4,0,4
"",185. G.C.M.S (ADJ) Govt: Primary School Shahbaz,3. Shabaz Azmat Khel,051030203,,,,0,586,586,0,4,4
"",Azmat Khel (Female) PS-II,"4, Shabaz Azmat Khel",051030204,,,,0,562,562,,,
"",.,,,,,,0,1148,1148,0,4,4
186,"186. Govt: Girls High School Shahbaz Azmat Khel(Comb) PS-I",1 .Shabaz Azmat Khel,051030205,,,,582,0,582,4,0,4
"",1 .Shabaz Azmat Khel,051030212,,,,438,0,438,,,,
"",.,,,,,,1020,0,1020,4,0,4
187,"187. Govt: Girls High School Shahbaz Azmat Khel(Comb) PS-II",1 .Shabaz Azmat Khel,051030205,,,,0,250,250,0,3,3
"",1 .Shabaz Azmat Khel,051030212,,,,0,626,626,,,,
"",.,,,,,,0,876,876,0,3,3
188,"188. Government Primary School Ghani Michin Khel(Combined)",Ghani Michin Khel,051030206,,,,626,479,1105,2,2,4
"",.,,,,,,626,479,1105,2,2,4
189,"189. Government Primary School Mardi Khel(Combined)",Mardi Khel,051030207,,,,451,387,838,2,1,3
"",.,,,,,,451,387,838,2,1,3
190,190. Govt Girls Primary School Emal Khel (Comb),1. Emal Khel,051030208,,,,742,569,1311,2,2,4
"",2. Emal Khel,051030209,,,,209,155,364,,,,
"",.,,,,,,951,724,1675,2,2,4
194,"194. Govt: Middle School No.2 Jhandu Khel (MalkDaraz) (Male)",1. Jhandu Khel,051030401,,,,929,0,929,3,0,3
"",.,,,,,,929,0,929,3,0,3
195,"195. Govt: Middle School No.2 Jhandu Khel (MalkDaraz) (Male)",2.Jhandu Khel,051030402,,,,468,0,468,4,0,4
"",2.Jhandu Khel,051030408,,,,228,0,228,,,,
"",3. Jhandu Khel,051030403,,,,719,0,719,,,,
"",.,,,,,,1415,0,1415,4,0,4
196,196. GHS Jandu Khel (Female),1.Jhandu Khel,051030401,,,,0,770,770,0,4,4
"",2. Jhandu Khel,051030402,,,,0,386,386,,,,
"",2. Jhandu Khel,051030408,,,,0,190,190,,,,
"",3. Jhandu Khel,051030403,,,,0,525,525,,,,
"",.,,,,,,0,1871,1871,0,4,4
197,197. GPS Fazal Manan Jandu Khel (Combined),1. Noor Mali,051030404,,,,378,288,666,2,2,4
"",1. Noor Mali,051030409,,,,543,402,945,,,,
"",.,,,,,,921,690,1611,2,2,4
198,198. Govt: Girls High School Adami Sultan Shah (Comb),1. Adhami Piran,051030405,,,,833,630,1463,2,2,4
"",.,,,,,,833,630,1463,2,2,4
199,199. GMS Jalal Sada Khel (Combined),Adami Piran,051030406,,,,1023,666,1689,2,2,4
"",.,,,,,,1023,666,1689,2,2,4
200,200. GMS Adamai Rasool Khan (Comb),1. Titer Khel,051030407,,,,540,456,996,2,2,4
"",.,,,,,,540,456,996,2,2,4
201,201. Govt: Girls High School Shamshi Khel (Male) PS-I,1.ShamshiKHel,051030501,,,,794,0,794,4,0,4
"",1.ShamshiKHel,051030502,,,,496,0,496,,,,
"",.,,,,,,1290,0,1290,4,0,4
202,202. GHS Shamshi Khel (Female) PS-I,1.ShamshiKHel,051030501,,,,0,549,549,0,4,4
"",1.ShamshiKHel,051030502,,,,0,584,584,,,,
"",.,,,,,,0,1133,1133,0,4,4
203,203. Govt: Girls High School Shamshi Khel (Male) PS-II,2.Shamshsi Khel,051030503,,,,401,0,401,3,0,3
"",2.Shamshsi Khel,051030507,,,,363,0,363,,,,
"",.,,,,,,764,0,764,3,0,3
204,204. GHS Shamshi Khel (Female) PS-II,2.Shamshsi Khel,051030503,,,,0,372,372,0,3,3
"",2.Shamshsi Khel,051030507,,,,0,345,345,,,,
"",.,,,,,,0,717,717,0,3,3
205,205. Govt: High School Barati Michin Khel (Male),1. Shamshi Khel,051030504,,,,382,0,382,4,0,4
"",1. Shamshi Khel,051030508,,,,235,0,235,,,,
"",2. Barati Michen Khel,051030505,,,,173,0,173,,,,
"",2. Barati Michen Khel,051030509,,,,349,0,349,,,,
"",3. Momen Mughal Khel,051030506,,,,11,0,11,,,,
"",.,,,,,,1150,0,1150,4,0,4
206,206. GPS Bharati Michin Khel (Female),Shamshi Khel,051030504,,,,0,326,326,0,4,4
"",Shamshi Khel,051030508,,,,0,243,243,,,,
"",Bharati Michin Khel,051030505,,,,0,169,169,,,,
"",Bharati Michin Khel,051030509,,,,0,343,343,,,,
"",Momin Mughal Khel,051030506,,,,0,8,8,,,,
"",.,,,,,,0,1089,1089,0,4,4
213,213. Govt: High School Ghoriwala (Male) PS-I,1. Ghoriwala,051030701,,,,849,0,849,3,0,3
"",.,,,,,,849,0,849,3,0,3
"",,2.Ghoriwala,051030702,,,,1099,0,1099,4,0,4
"",,2.Ghoriwala,051030711,,,,304,0,304,,,
"",.,,,,,,1403,0,1403,4,0,4
215,215. Govt: Girls High School Ghoriwala (Female) PS-I,1. Ghoriwala,051030701,,,,0,688,688,0,4,4
"",2.Ghoriwala,051030702,,,,0,898,898,,,,
"",2.Ghoriwala,051030711,,,,0,299,299,,,,
"",.,,,,,,0,1885,1885,0,4,4
216,216. Govt: High School Ghoriwala (Male) PS-II,Ghoriwala,051030703,,,,667,0,667,2,0,2
"",.,,,,,,667,0,667,2,0,2
217,217. Govt: High School Ghoriwala (Male) PS-II,Ghoriwala,051030704,,,,373,0,373,3,0,3
"",Ghoriwala,051030712,,,,373,0,373,,,,
"",.,,,,,,746,0,746,3,0,3
218,218. Govt: Girls High School Ghoriwala (Female) PS-II,Ghoriwala,051030703,,,,0,606,606,0,4,4
"",Ghoriwala,051030704,,,,0,289,289,,,,
