1,2,3,4,5,6,7,8,9,10,11,12,13
1,Government High School Thakot,Thakot,20020102,,,,394,0,394,2,0,2
,Thakot,20020104,,,,481,0,481,,,,
,,,,,,875,0,875,,,,
2,Government Girls Primary School Thakot,Thakot,20020101,,,,899,0,899,2,0,2
,,,,,,899,0,899,,,,
3,Government Primary School Thakot,Thakot,20020101,,,,0,601,601,0,1,1
,Thakot,20020102,,,,0,284,284,,,,
,Thakot,20020104,,,,0,353,353,,,,
,,,,,,0,1238,1238,,,,
4,Government Primary School Hussaini Thakot,Thakot,20020103,,,,697,547,1244,1,1,2
,,,,,,697,547,1244,,,,
5,Basic Health Unit Chanjal,Chanjal,20020307,,,,610,0,610,2,0,2
,Chanjal,20020308,,,,567,0,567,,,,
,,,,,,1177,0,1177,,,,
6,Government Primary School Chanjal,Chanjal,20020307,,,,0,432,432,0,1,1
,Chanjal,20020308,,,,0,382,382,,,,
,,,,,,0,814,814,,,,
7,Government Primary School Goryar,Barsar,20020105,,,,620,455,1075,1,1,2
,,,,,,620,455,1075,,,,
8,Government Primary School Alamai Kondao,Barsar,20020106,,,,728,529,1257,1,1,2
,,,,,,728,529,1257,,,,
9,Government Primary School Jundaar,Bishkot,20020107,,,,550,384,934,1,1,2
,,,,,,550,384,934,,,,
10,Government Primary School Nakhter,Bishkot,20020108,,,,675,468,1143,1,1,2
,,,,,675,468,1143,,,,,
Hutal Batkul,21010801,,,,348,0,348,,,,,
Hutal Batkul,21010802,,,,332,0,332,,,,,
Hutal Batkul,21010803,,,,381,0,381,,,,,
,,Hutal Batkul,21010804,,,,318,0,318,,,
,,,,,,,1379,0,1379,,,
12,Government primary School Hutal Batkul,Hutal Batkul,21010801,,,,0,238,238,0,1,1
,,Hutal Batkul,21010802,,,,0,244,244,,,
,,Hutal Batkul,21010803,,,,0,255,255,,,
,,Hutal Batkul,21010804,,,,0,240,240,,,
,,,,,,,0,977,977,,,
13,Government Girls Primary School Tharkhoy,Qallah,21010805,,,,400,262,662,1,1,2
,,Qallah,21010806,,,,372,241,613,,,
,,,,,,,772,503,1275,,,
14,Government Girls Primary School Drab Qallah,Qallah,21010807,,,,341,229,570,2,1,3
,,Qallah,21010808,,,,486,346,832,,,
,,,,,,,827,575,1402,,,
15,Basic Health Unit Kanai,Kanai,21010809,,,,908,608,1516,2,1,3
,,,,,,,908,608,1516,,,
16,Government Primary School Kanai,Kanai,21010810,,,,0,375,375,0,1,1
,,Kanai,21010811,,,,0,250,250,,,
,,Kanai,21010812,,,,0,356,356,,,
,,,,,,,0,981,981,,,
17,Government High School Kanai,Kanai,21010810,,,,548,0,548,3,0,3
,,Kanai,21010811,,,,368,0,368,,,
,,Kanai,21010812,,,,565,0,565,,,
,,,,,,,1481,0,1481,,,
18,Government Primary School Aban,Aban,21010701,,,,267,216,483,2,1,3
,,Aban,21010702,,,,502,368,870,,,
,,,,,,,769,584,1353,,,
19,Government Primary School Faqiro,Bab,21010703,,,,532,373,905,1,1,2
,,,,,,,532,373,905,,,
20,Government Girls Primary School Bab P.S 1,Bab,21010704,,,,677,357,1034,1,1,2
,,,,,,,677,357,1034,,,
21,Government Girls Primary School Bab P.S 2,Bab,21010705,,,,447,313,760,1,1,2
,,,,,,,447,313,760,,,
22,Government Middle School Kocha Sorgai,Surgai,21010706,,,,292,162,454,2,1,3
,,Surgai,21010707,,,,617,298,915,,,
,,,,,,,909,460,1369,,,
23,Government Primary School Jambera Banda,Jambera,21010903,,,,263,161,424,1,1,2
,,Jambera,21010904,,,,250,169,419,,,
,,Jambera,21010905,,,,231,150,381,,,
,,,,,,,744,480,1224,,,
24,Basic Health Unit Jambera,Jambera,21010901,,,,0,288,288,0,1,1
,,Jambera,21010902,,,,0,205,205,,,
,,Jambera,21010906,,,,0,225,225,,,
,,Jambera,21010907,,,,0,136,136,,,
,,Jambera,21010908,,,,0,88,88,,,
,,,,,,,0,942,942,,,
25,Government High School Jambera,Jambera,21010901,,,,447,0,447,3,0,3
Jambera,21010902,,,,288,0,288,,,,,
Jambera,21010906,,,,355,0,355,,,,,
Jambera,21010907,,,,252,0,252,,,,,
Jambera,21010908,,,,128,0,128,,,,,
,,,,,1470,0,1470,,,,,
26,Government Primary School Gulshoot,Shaltay,21010909,,,,435,197,632,2,1,3
,Shaltay,21010910,,,,233,120,353,,,,
,,,,,,668,317,985,,,,
27,Government High School Kund,Kund,21010911,,,,422,0,422,2,0,2
,Kund,21010912,,,,217,0,217,,,,
,Kund,21010913,,,,271,0,271,,,,
,,,,,,910,0,910,,,,
28,Government Primary School Kund,Kund,21010911,,,,0,278,278,0,1,1
,Kund,21010912,,,,0,161,161,,,,
,Kund,21010913,,,,0,171,171,,,,
,,,,,,0,610,610,,,,
29,Government Primary School Bar Cheeran,Cheeran,21010601,,,,0,360,360,0,1,1
,Cheeran,21010602,,,,0,284,284,,,,
,,,,,,0,644,644,,,,
30,Government High School Cheeran,Cheeran,21010601,,,,501,0,501,2,0,2
,Cheeran,21010602,,,,447,0,447,,,,
,,,,,,948,0,948,,,,
31,Government Primary School Chapry,Cheeran,21010603,,,,289,254,543,1,1,2
,,,,,,289,254,543,,,,
32,Government Primary School Mangano Kalay,Cheeran,21010604,,,,370,245,615,2,1,3
,Cheeran,21010605,,,,332,172,504,,,,
,,,,,,702,417,1119,,,,
33,Government Primary School Kassai,Banna,210020603,,,,457,328,785,2,1,3
,Banna,210020604,,,,332,248,580,,,,
,,,,,,789,576,1365,,,,
34,Government Primary School Banna,Banna,21020605,,,,0,405,405,0,1,1
,Banna,21020606,,,,0,484,484,,,,
,,,,,,0,889,889,,,,
35,Government High School Banna,Banna,21020605,,,,559,0,559,3,0,3
,Banna,21020606,,,,651,0,651,,,,
,,,,,,1210,0,1210,,,,
36,Government High School Tailoos,Tailoos,21020601,,,,585,0,585,2,0,2
,Tailoos,21020602,,,,305,0,305,,,,
,,,,,,890,0,890,,,,
37,Government Girls Middle School Tailoos,Tailoos,21020601,,,,0,461,461,0,1,1
,Tailoos,21020602,,,,0,233,233,,,,
,,,,,,0,694,694,,,,
38,TMA Building Banna,Kass,21020607,,,,452,324,776,1,1,2
,,,,,,452,324,776,,,,
39,Rest House Building Banna,Kass,21020608,,,,545,369,914,1,1,2
,,,,,,545,369,914,,,,
40,Government Primary School Muslim Abad,Koshgram,21020501,,,,796,658,1454,2,1,3
,,,,,,796,658,1454,,,,
41,Government Primary School Koshgram,Koshgram,21020502,,,,312,220,532,1,1,2
,,,,,,312,220,532,,,,
42,Government Middle School Dhoondara,Barray,21020505,,,,538,471,1009,1,1,2
,,,,,,538,471,1009,,,,
43,Government Primary School Barray,Barray,21020506,,,,815,689,1504,2,1,3
,,,,,815,689,1504,,,,,
Asharban,21020503,,,,439,0,439,,,,,
Asharban,21020504,,,,726,0,726,,,,,
,,,,,,1165,0,1165,,,,
45,Government Primary School Asharban,Asharban,21020503,,,,0,312,312,0,1,1
,Asharban,21020504,,,,0,603,603,,,,
,,,,,,0,915,915,,,,
46,Basic Health Unit Biari,Biari,21010405,,,,583,0,583,3,0,3
,Biari,21010406,,,,159,0,159,,,,
,Biari,21010407,,,,421,0,421,,,,
,,,,,,1163,0,1163,,,,
47,Government Girls Primary School Biari,Biari,21010405,,,,0,434,434,0,1,1
,Biari,21010406,,,,0,123,123,,,,
,Biari,21010407,,,,0,315,315,,,,
,,,,,,0,872,872,,,,
48,Government Primary School Biari,Biari,21010408,,,,189,136,325,1,1,2
,Biari,21010409,,,,199,112,311,,,,
,Biari,21010410,,,,145,82,227,,,,
,,,,,,533,330,863,,,,
49,Government Primary School Kar Pokal,Pokal,21010401,,,,299,0,299,3,0,3
,Pokal,21010403,,,,412,0,412,,,,
,Pokal,21010404,,,,294,0,294,,,,
,,,,,,1005,0,1005,,,,
50,Government Primary School Pokal,Pokal,20010402,,,,614,510,1124,1,1,2
,,,,,,614,510,1124,,,,
51,Government Girls Primary School Pokal,Pokal,21010401,,,,0,228,228,0,1,1
,Pokal,21010403,,,,0,269,269,,,,
,Pokal,21010404,,,,0,215,215,,,,
,,,,,,0,712,712,,,,
52,Government Primary School Karg Bala,Karg,21010501,,,,886,614,1500,1,1,2
,,,,,,886,614,1500,,,,
53,Government Primary School Karg Payeen,Karg,21010502,,,,652,420,1072,1,1,2
,,,,,,652,420,1072,,,,
54,Government Girls Primary School Karg,Karg,21010503,,,,443,267,710,1,1,2
,,,,,,443,267,710,,,,
55,Government Primary School Bandi Khanimola,Rabat,21010504,,,,340,254,594,1,1,2
,,,,,,340,254,594,,,,
56,Government Primary School Umray,Rabat,21010505,,,,395,262,657,1,1,2
,,,,,,395,262,657,,,,
57,Government Primary School Syed Abad Sar,Rabat,21010507,,,,520,361,881,1,1,2
,,,,,,520,361,881,,,,
58,Government Middle School Rabat,Rabat,21010506,,,,612,471,1083,1,1,2
,,,,,,612,471,1083,,,,
59,Government Primary School Rashang,Rashang,21010201,,,,855,603,1458,1,1,2
,,,,,,855,603,1458,,,,
60,Government Girls Primary School Rashang,Rashang,21010202,,,,148,97,245,1,1,2
,,,,,,148,97,245,,,,
61,Government High School Rashang P.S 1,Rashang,21010203,,,,230,148,378,1,1,2
,Rashang,21010204,,,,442,298,740,,,,
,,,,,,672,446,1118,,,,
62,Government High School Rashang P.S 2,Rashang,21010205,,,,211,141,352,1,1,2
Rashang,21010206,,,,297,186,483,,,,,
,,,,,508,327,835,,,,,
Gangwal,21010101,,,,0,583,583,,,,,
