"",,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt.  Primary School, Dargalai  (Male)",Dargalai,074010101,-,-,-,413,0,413,3,0,3
"",,Dargalai,074010102,-,-,-,671,0,671,,,
2,"Govt. Girls Primary School, Dargalai (Female)",Dargalai,074010101,-,-,,0,310,310,,,
"",,Dargalai,074010102,-,-,-,0,468,468,,,
3,"Govt.  High School, Mangal Thana  (Combined)",Mangal Thana,074010103,-,-,-,616,480,1096,2,2,4
"",,Mangal Thana,074010104,-,-,-,288,206,494,,,
4,"Govt.  High School, Ghazi Kot  (Combined)",Ghazi Kot,074010201,-,-,-,260,196,456,2,1,3
"",,Ghazi Kot,074010202,-,-,-,363,249,612,,,
5,"Govt.primary School,  Damnair (Combined)",Damnair,074010203,-,-,-,444,342,786,1,1,2
6,"Govt. High School, Dakara (Male)",Dakara,074010204,-,-,-,160,0,160,3,0,3
"",,Dakara,074010206,-,-,-,206,0,206,,,
"",,Dakara,074010205,-,-,-,610,0,610,,,
7,"Govt. Girls Middle School, Dakara (Female)",Dakara,074010204,-,-,-,0,151,151,0,2,2
"",,Dakara,074010206,-,-,-,0,181,181,,,
"",,Dakara,074010205,-,-,-,0,486,486,,,
8,"Govt.  Primary School, Hisar Baba (Combined)",Koprai,074010601,-,-,-,87,66,153,1,1,2
"",,Hisar Baba,074010602,-,-,-,164,115,279,,,
"",,Tarook,074010603,-,-,-,151,101,252,,,
9,"Govt. Middle School, Hall ( Combined)",Hall,074010604,-,-,-,502,437,939,2,1,3
10,"Govt. Girls Primary School, Qasim Khel (Combined)",Qasim Khel,074010605,-,-,-,202,135,337,2,2,4
"",,Qasim Khel,074010606,-,-,-,615,448,1063,,,
11,"Govt. Girls Higher Secondary School, Panjtar (Combined)",Panjtar,074010607,-,-,-,560,428,988,2,1,3
12,"Govt.  High School, Chinglai (Combined)",Chinglai,074010401,-,-,-,382,283,665,2,2,4
"",,Chinglai,074010411,-,-,-,428,382,810,,,
13,Govt. Middle School Jamra (Combined),Chinglai,074010402,-,-,-,345,276,621,2,2,4
"",,Chinglai,074010412,-,-,-,524,405,929,,,
14,"Govt. Girls Higher Secondary School, Chinglai (Female)",Chinglai,074010403,-,-,-,0,374,374,0,3,3
"",,Chinglai,074010404,-,-,-,0,381,381,,,
"",,Chinglai,074010413,-,-,-,0,204,204,,,
15,"Govt.  Primary School, Chinglai (Male)",Chinglai,074010403,-,-,-,496,0,496,4,0,4
"",,Chinglai,074010404,-,-,-,417,0,417,,,
"",,Chinglai,074010413,-,-,-,248,0,248,,,
