1,"Govt: Shaheed Mian Shehzad Ijaz HighSchool Tangi, Polling Station No.I, (Male)",,,Akhtar Abad,035020101,,640,0,640,4,0,4
"",,,,Akhtar Abad,035020103,,591,0,591,,,
"",,,,Akhtar Abad,035020108,,495,0,495,,,
"",Total,,,1726,,1726,4,0,4,,,
2,"Govt: Shaheed Mian Shehzad Ijaz HighSchool Tangi, Polling Station No.II, (Male)",,,Akhtar Abad,035020104,,540,0,540,4,0,4
"",,,,Barazai,035020105,,669,0,669,,,
"",,,,Barazai,035020107,,328,0,328,,,
"",Total,,,1537,,1537,4,0,,,,
3,"Govt: Shaheed Mian Shehzad Ijaz HighSchool Tangi, Polling Station No.III, (Male)",,,Mula Khel,035020102,,707,0,707,3,0,3
"",,,,Barazai,035020106,,657,0,657,,,
"",Total,,,1364,,1364,3,0,3,,,
4,"Govt: Girls High School, Tangi, PollingStation No.I, (Female)",,,Akhtar Abad,035020101,,0,512,512,0,4,4
"",,,,Mula Khel,035020102,,0,605,605,,,
"",,,,Akhtar Abad,035020103,,0,431,431,,,
"",,,,Akhtar Abad,035020108,,0,402,402,,,
"",Total,,,0,1950,1950,0,4,4,,,
5,"Govt: Girls High School, Tangi, PollingStation No.II, (Female)",,,Akhtar Abad,035020104,,0,399,399,,,
"",,,,Barazai,035020105,,0,552,552,0,3,
"",,,,Barazai,035020106,,0,521,521,,,
"",,,,Barazai,035020107,,0,256,256,,,
"",Total,,,0,1728,1728,0,3,3,,,
6,"Govt: High School No.2 Tangi, PollingStation No.I (Male)",,,Doulat Khel,035020201,,258,0,258,3,0,3
"",,,,Nando Khel,035020202,,350,0,350,,,
"",,,,Doulat Khel,035020203,,583,0,583,,,
"",Total,,,1191,,1191,3,0,3,,,
7,Govt: Girls High School Kot Bab (Male),,,Fateh Khel,035020205,,1053,0,1053,3,0,3
"",Total,,,1053,,1053,3,0,3,,,
8,"Govt: High School No.2, Tangi, PollingStation No.II (Male)",,,Nusratzai,035020204,,849,0,849,2,0,2
"",Total,,,849,,849,2,0,2,,,
9,Govt: Middle School Tangi (Male),,,Fateh Khel,035020206,,152,0,152,2,0,2
"",,,,Bachiyan,035020207,,705,0,705,,,
"",Total,,,857,,857,2,0,2,,,
10,"Govt: Girls Middle School, Tangi, PollingStation No.I (Female)",,,Doulat Khel,035020201,,0,218,218,0,3,3
"",,,,Nando Khel,035020202,,0,269,269,,,
"",,,,Doulat Khel,035020203,,0,460,460,,,
"",,,,Nusratzai,035020204,,0,717,717,,,
"",Total,,,0,1664,1664,0,3,3,,,
11,"Govt: Girls Middle School, Tangi, PollingStation No.II (Female)",,,Fateh Khel,035020205,,0,957,957,0,3,3
"",,,,Fateh Khel,035020206,,0,118,118,,,
"",,,,Bachiyan,035020207,,0,627,627,,,
"",Total,,,0,1702,1702,0,3,3,,,
12,"Govt: Primary School No.1 Tangi, PollingStation No.I (Male)",,,Gul Bagh,035020301,,548,0,548,3,0,3
"",,,,Gul Bagh,035020306,,507,0,507,,,
"",Total,,,1055,0,1055,3,0,3,,,
13,"Govt: Primary School No.1 Tangi, PollingStation No.II (Male)",,,Abdul Akbar Khan,035020304,,491,0,491,2,0,2
"",,,,Qilla Miangan,035020305,,219,0,219,,,
"",,,,Abdul Akbar Khan,035020307,,485,0,485,,,
"",Total,,,1195,0,1195,2,0,2,,,
14,Govt: Primary School Kot Baba (Male),,,Gul Bagh,035020302,,785,0,785,,,
"",,,,Usmani Khel,035020303,,529,0,529,,,
"",Total,,,1314,0,1314,3,3,6,,,
15,"Govt: Girls Primary School No.1,TangiBarazai, Polling Station No.I (Female)",,,Gul Bagh,035020301,,0,400,400,0,2,2
"",,,,Gul Bagh,035020306,,0,405,405,,,
"",,,,Gul Bagh,035020302,,0,644,644,,,
"",Total,,,0,1449,1449,0,2,2,,,
16,"Govt: Girls Primary School No.1,TangiBarazai, Polling Station No.II (Female)",,,Usmani Khel,035020303,,0,450,450,0,3,3
"",,,,Abdul Akbar Khan,035020304,,0,413,413,,,
"",,,,Abdul Akbar Khan,035020307,,0,398,398,,,
"",,,,Qilla Miangan,035020305,,0,175,175,,,
"",Total,,,0,1436,1436,0,3,3,,,
17,"Govt: High School, Abazai, Polling StationNo.I (Male)",Abazai,035010101,,,,704,0,704,2,0,2
"",,Abazai,035010102,,,,289,0,289,,,
"",,Abazai,035010109,,,,589,0,589,,,
"",,Abazai,035010110,,,,243,0,243,,,
"",Total,,,1825,0,1825,2,0,2,,,
18,"Govt: High School, Abazai, Polling StationNo.II",Abazai,035010101,,,,0,538,538,0,3,3
"",(Female),Abazai,035010109,,,,0,668,668,,,
"",,Abazai,035010102,,,,0,225,225,,,
"",,Abazai,035010110,,,,0,185,185,,,
"",Total,,,0,1616,1616,0,3,3,,,
19,Govt: Primary School Ziarat Killy,Mera Abazai,035010103,,,,0,299,299,0,3,3
"",(Female),Mera Abazai,035010104,,,,0,416,416,,,
"",,Mera Abazai,035010105,,,,0,313,313,,,
"",Total,,,0,1028,1028,0,3,3,,,
20,"Govt: Primary School Abazai, (Male)",Mera Abazai,035010103,,,,294,0,294,3,0,3
"",,Mera Abazai,035010104,,,,503,0,503,,,
"",,Mera Abazai,035010105,,,,437,0,437,,,
"",Total,,,1234,0,1234,3,0,3,,,
21,"Govt: Middle School Ziarat Killi, (Male)",Mera Abazai,035010106,,,,463,0,463,,,
"",,Mera Abazai,035010107,,,,331,0,331,3,0,
"",,Mera Abazai,035010108,,,,279,0,279,,,
"",,Mera Abazai,035010111,,,,291,0,291,,,
"",Total,,,1364,0,1364,3,0,3,,,
22,"Govt: Girls Primary School, Ziarat Killi,",Mera Abazai,035010106,,,,0,340,340,,,3
"",(Female),Mera Abazai,035010107,,,,0,228,228,,,
"",,Mera Abazai,035010108,,,,0,215,215,,,
"",,Mera Abazai,035010111,,,,0,214,214,,,
"",Total,,,0,997,997,0,3,3,,,
23,"Govt: Degree College Tangi, Polling StationNo.I (Male)",Mera Tangi Barazai,035010201,,,,309,0,309,,,
"",,Mera Tangi Barazai,035010202,,,,280,0,280,,,
"",,Mera Tangi Barazai,035010203,,,,307,0,307,,,
"",,Mera Tangi Barazai,035010204,,,,263,0,263,,,
"",,Mera Tangi Barazai,035010205,,,,528,0,528,,,
"",Total,,,1687,0,1687,4,0,4,,,
24,"Govt: Degree College Tangi, Polling StationNo.II (Male)",Mera Tangi Barazai,035010206,,,,416,0,416,2,0,2
"",,Mera Tangi Barazai,035010207,,,,476,0,476,,,
"",,Mera Tangi Barazai,035010208,,,,468,0,468,,,
"",Total,,,1360,0,1360,2,0,2,,,
25,"Govt: Degree College Tangi, Polling StationNo.III (Male)",Mera Tangi Barazai,035010209,,,,340,0,340,,,
"",,Mera Tangi Barazai,035010210,,,,298,0,298,4,0,4
"",,Mera Tangi Barazai,035010211,,,,680,0,680,,,
"",,Mera Tangi Barazai,035010212,,,,459,0,459,,,
"",Total,,,1777,0,1777,4,0,4,,,
26,"Govt: Degree College Tangi, Polling StationNo.IV",Mera Tangi Barazai,035010201,,,,0,229,229,,,
"",(Female),Mera Tangi Barazai,035010202,,,,0,197,197,,,
"",,Mera Tangi Barazai,035010203,,,,0,228,228,0,4,4
"",,Mera Tangi Barazai,035010204,,,,0,240,240,,,
"",,Mera Tangi Barazai,035010205,,,,0,460,460,,,
"",,Mera Tangi Barazai,035010206,,,,0,296,296,,,
"",Total,,,0,1650,1650,0,4,4,,,
27,"Govt: Degree College Tangi, Polling StationNo.V",Mera Tangi Barazai,035010207,,,,0,313,313,,,
"",(Female),Mera Tangi Barazai,035010208,,,,0,355,355,,,
"",,Mera Tangi Barazai,035010209,,,,0,231,231,,,
"",,Mera Tangi Barazai,035010210,,,,0,221,221,,,
"",,Mera Tangi Barazai,035010211,,,,0,527,527,,,
"",Total,,,0,1647,1647,0,4,4,,,
28,Govt: Middle School Shaukat Abad (Male),Mera Tangi Barazai,035010213,,,,278,0,278,3,0,3
"",,Mera Tangi Barazai,035010214,,,,722,0,722,,,
"",,Mera Tangi Barazai,035010215,,,,326,0,326,,,
"",Total,,,1326,0,1326,3,0,3,,,
29,Govt: Primary School Shaukat abad,Mera Tangi Barazai,035010212,,,,0,356,356,,,
"",(Female),Mera Tangi Barazai,035010213,,,,0,209,209,,,
"",,Mera Tangi Barazai,035010214,,,,0,549,549,,,
"",,Mera Tangi Barazai,035010215,,,,0,278,278,,,
"",Total,,,0,1392,1392,0,3,3,,,
30,Govt: Primary School Station Killy (Male),Tangi Barazai,035010219,,,,389,0,389,,,
"",,Tangi Barazai,035010220,,,,300,0,300,,,
"",,Tangi Barazai,035010221,,,,161,0,161,,,
"",,Tangi Barazai,035010222,,,,261,0,261,,,
"",,Tangi Barazai,035010223,,,,140,0,140,,,
"",Total,,,1251,0,1251,3,0,3,,,
31,"Govt: Middle School, Station Killi, (Male)",Tangi Barazai,035010216,,,,284,0,284,3,0,3
"",,Tangi Barazai,035010217,,,,460,0,460,,,
"",,Tangi Barazai,035010218,,,,391,0,391,,,
"",Total,,,1135,0,1135,3,0,3,,,
32,"Govt: Girls Primary School, Station Killi,",Tangi Barazai,035010216,,,,0,202,202,,,
"",(Female),Tangi Barazai,035010217,,,,0,312,312,,,
"",,Tangi Barazai,035010218,,,,0,288,288,,,
"",Total,,,0,802,802,0,2,2,,,
33,"Govt: Primary School Dherai Killy nearZiarat Killy",Tangi Barazai,035010219,,,,0,291,291,,,
"",(Female),Tangi Barazai,035010220,,,,0,205,205,,,
"",,Tangi Barazai,035010222,,,,0,204,204,,,
"",,Tangi Barazai,035010221,,,,0,109,109,,,
"",,Tangi Barazai,035010223,,,,0,109,109,,,
"",Total,,,0,918,918,0,3,3,,,
34,"Govt: High School Gandhera, PollingStation No.I (Male)",Gandhera Bala,035010301,,,,565,0,565,,,
"",,Gandhera Bala,035010302,,,,378,0,378,,,
"",,Gandhera Bala,035010321,,,,360,0,360,,,
"",Total,,,1303,0,1303,2,0,2,,,
35,"Govt: High School Gandhera, PollingStation No.II (Male)",Gandhera Bala,035010303,,,,989,0,989,4,0,4
"",,Gandhera Bala,035010304,,,,125,0,125,,,
"",,Gandhera Bala,035010305,,,,178,0,178,,,
"",,Gandhera Bala,035010322,,,,118,0,118,,,
"",,Gandhera Bala,035010323,,,,109,0,109,,,
"",Total,,,1519,0,1519,4,0,4,,,
36,"Basic Health Unit, Gandhera (Female)",Gandhera Bala,035010301,,,,0,487,487,0,3,3
"",(Female),Gandhera Bala,035010302,,,,0,327,327,,,
"",,Gandhera Bala,035010321,,,,0,246,246,,,
"",Total,,,0,1060,1060,0,3,3,,,
37,Govt: Middle School Qazi Serai (Female),Gandhera Bala,035010303,,,,0,872,872,0,2,2
"",(Female),Gandhera Bala,035010304,,,,0,111,111,,,
"",,Gandhera Bala,035010322,,,,0,81,81,,,
"",,Gandhera Bala,035010323,,,,0,84,84,,,
"",,Gandhera Bala,035010305,,,,0,126,126,,,
"",Total,,,0,1274,1274,0,2,2,,,
38,"Govt: Primary School, Gandhera Payan,(Male)",Gandhera Payan,035010306,,,,172,0,172,3,0,3
"",,Gandhera Payan,035010308,,,,216,0,216,,,
"",,Gandhera Payan,035010309,,,,217,0,217,,,
"",,Gandhera Payan,035010324,,,,176,0,176,,,
"",,Gandhera Payan,035010325,,,,153,0,153,,,
"",Total,,,934,0,934,3,0,3,,,
39,"Govt: Girls Primary School, Gandhera Bala",Gandhera Payan,035010306,,,,0,140,140,0,2,2
"",(Female),Gandhera Payan,035010324,,,,0,131,131,,,
"",,Gandhera Payan,035010325,,,,0,151,151,,,
"",,Gandhera Payan,035010308,,,,0,185,185,,,
"",,Gandhera Payan,035010309,,,,0,174,174,,,
"",Total,,,0,781,781,0,2,2,,,
40,"Govt: Primary School Zegai karim Dad Khan(Combined)",Gandhera Payan,035010307,,,,431,326,431,2,2,4
"",,Gandhera Payan,035010326,,,,446,332,446,,,
"",Total,,,877,658,1535,2,2,4,,,
41,"Govt: Primary School Khan Jarai, PollingStation No.I (Male)",Behram Khan Dheri,035010310,,,,525,0,525,4,0,4
"",,Behram Khan Dheri,035010311,,,,537,0,537,,,
"",,Behram Khan Dheri,035010312,,,,497,0,497,,,
"",Total,,,1559,0,1559,4,0,4,,,
42,"Govt: Primary School Khan Jarai, PollingStation No.II",Behram Khan Dheri,035010310,,,,0,382,382,0,2,2
"",(Female),Behram Khan Dheri,035010311,,,,0,389,389,,,
"",,Behram Khan Dheri,035010312,,,,0,334,334,,,
"",Total,,,0,1105,1105,0,2,2,,,
43,"Govt: Primary School, Shakoor, PollingStation No.I (Male)",Shakoor,035010313,,,,391,0,391,3,0,3
"",,Shakoor,035010314,,,,340,0,340,,,
"",,Shakoor,035010315,,,,207,0,207,,,
"",,Shakoor,035010320,,,,353,0,353,,,
"",Total,,,1291,0,1291,3,0,3,,,
44,"Govt: Primary School, Shakoor, PollingStation No.II (Male)",Shakoor,035010316,,,,346,0,346,4,0,4
"",,Shakoor,035010317,,,,625,0,625,,,
