"",,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Govt. High School (GHS) Arrandu,Arrandu Khas,001010101,,,,426,333,759,2,1,3
"",,Arrandu khas Bala,001010102,,,,232,154,386,,,
"",,TOTAL VOTERS,,,,,658,487,1145,,,
"",,,,,,,,,,,,
2,"Govt. Girls Primary School (GGPS)Arrandu",Suardam,001010103,,,,373,265,638,1,1,2
"",,Arrandu Lasht,001010104,,,,105,81,186,,,
"",,TOTAL VOTERS,,,,,478,346,824,,,
"",,,,,,,,,,,,
3,"Govt. Primary School (GPS), Markabat(P.S No. 1)",Arrandu-gol Mirkabat,001010201,,,,402,187,589,2,1,3
"",Mati Palool Arandu,001010202,,,,105,39,144,,,,
"",,TOTAL VOTERS,,,,,507,226,733,,,
"",,,,,,,,,,,,
4,"Govt. Primary School (GPS), Akroy",Akroy,001010105,,,,468,339,807,1,1,2
"",,TOTAL VOTERS,,,,,468,339,807,,,
"",,,,,,,,,,,,
5,"Govt. Primary School (GPS),Langoorbat",,,,,,,,,1,1,2
"",,Langoorbat Payeen,001010106,,,,378,271,649,,,
"",,TOTAL VOTERS,,,,,378,271,649,,,
"",,,,,,,,,,,,
"","Govt. Primary School (GPS), RamRam",Baga Dap,001010204,,,,77,24,101,1,1,2
"",,Ram Ram,001010301,,,,210,105,315,,,
"",,TOTAL VOTERS,,,,,287,129,416,,,
"",,,,,,,,,,,,
7,"Govt. Primary School (GPS), Kamsai",Swati Dap,001010302,,,,216,82,298,2,1,3
"",,Goragal,001010303,,,,203,76,279,,,
"",,Kamsai,001010305,,,,343,234,577,,,
"",Unchow Gole,001010203,,,,64,30,94,,,,
"",Motak-gol,001010304,,,,60,12,72,,,,
"",,TOTAL VOTERS,,,,,886,434,1320,,,
"",,,,,,,,,,,,
8,GMPS Darul Uloom Domil Nisar,Damil Nisar,001010401,,,,152,110,262,2,2,4
"",,Damil Nisar Barar,001010402,,,,90,67,157,,,
"",,Kauti,001010403,,,,153,91,244,,,
"",,Kuri Gal,001010404,,,,18,7,25,,,
"",,Gambir-Gol,001010406,,,,63,36,99,,,
"",,Darashot,001010605,,,,183,128,311,,,
"",,Seri Gal,001010405,,,,157,133,290,,,
"",,TOTAL VOTERS,,,,,816,572,1388,,,
"",,,,,,,,,,,,
9,"Govt. High School (GHS), Damel",Shentari,001010503,,,,193,151,344,2,2,4
"",,Panagram,001010504,,,,236,182,418,,,
"",,Karagram,001010505,,,,158,100,258,,,
"",,Dundidari,001010501,,,,372,277,649,,,
"",,Dundidari Kuro,001010502,,,,40,28,68,,,
"",,TOTAL VOTERS,,,,,999,738,1737,,,
"",,,,,,,,,,,,
