1,2,3,4,5,6,7,8,9,10,11,12,13
1,Govt. Primary School Raisan (M),Raisan,046010101,,,,"1,178",0,"1,178",2,0,2
2,Govt:Girls Primary School Raisan(F ),Raisan,046010101,,,,0,926,926,0,2,2
3,"Govt: Girls Primary School Nai abadi Raisan(C )",Naee Abadi Raisan,046010102,,,,446,380,"1,367",2,2,4
"",,Naee Abadi Raisan,046010103,,,,273,268,,,,
4,Govt: Middle School Jozara(C ),"Khawaja Khizre(Jozara)",046010104,,,,685,631,"1,316",2,1,3
5,Govt: High School Lodhi Khel (M),Lodhi Khel,046010201,,,,"1,139",,"2,134",4,0,4
"",,Lodhi Khel,046010202,,,,995,,,,,
6,Govt:Girls Middle School Lodhi Khel (F),Lodhi Khel,046010201,,,,,983,"1,792",0,3,3
"",,Lodhi Khel,046010202,,,,,809,,,,
7,Govt:Primary School Shahu Bazar (C ),Shahu Bazar,046010203,,,,614,437,"1,051",2,1,3
8,Govt:Primary School Shahu Wam (C),Shahu Wam,046010204,,,,922,790,"2,341",2,2,4
"",,Shahu Wam,046010205,,,,363,266,,,,
9,Govt:High School Shahu Khel (C ),Shahu Khel,046010206,,,,"1,006",669,"1,675",2,1,3
10,"Govt:Girls Primary School Pass KilliIbrahimzai(C )","Pass KillyIbrahimzai",046010302,,,,697,590,"1,287",2,1,3
11,Govt:Primary School No.3 Ibrahimzai(C),"Kooz KillyIbrahimzai",046010303,,,,"1,105",943,"2,064",2,2,4
"",,"Kooz KillyIbrahimzai",046010304,,,,11,5,,,,
12,Basic Health Unit Ibrahimzai(C ),"GhalanaiIbrahimzai",046010305,,,,257,206,"1,542",2,2,4
"",,"GhalanaiIbrahimzai",046010306,,,,596,483,,,,
13,Govt:Girls High School Ibrahimzai(C ),"Purana AbadiIbrahimzai",046010307,,,,574,500,"1,074",2,1,3
14,Govt:Girls Middle School Baber Mella(C),Baber Mela,046010301,,,,870,691,"1,561",2,2,4
15,Community Hall Kach Banda (C ),Kach,046010401,,,,997,838,"1,835",2,2,4
16,Govt:Primary School Sheikhan Banda(C ),Kach,046010402,,,,"1,283",886,"2,169",2,2,4
17,Govt:Middle School Merobak(C ),Merobak,046010403,,,,723,521,"1,436",2,1,3
"",,Khalifa Banda,046010404,,,,112,80,,,,
18,Govt:Primary School Kharsha Banda(C ),Kharsha Banda,046010405,,,,509,415,924,1,1,2
19,Govt:Primary School Zanki Banda (C ),Zanki Banda,046010406,,,,756,526,"1,282",2,1,3
20,Govt:Primary School Mardu Khel (C ),Mardu Khel,046010407,,,,890,638,"1,528",2,1,3
21,Govt:Primary School No.1 Spin Khawrai(C ),Sarak Dana,046010504,,,,770,495,"1,265",2,1,3
22,"Govt:Primary School Naway Killi LakhtiBanda(C )","Gul Billa/SpinKhawrai",046010505,,,,789,475,"1,841",2,2,4
"",,"Gul Billa/SpinKhawrai",046010506,,,,317,260,,,,
23,Govt:Primary School Babu Tang (C ),"Mala Khel/BabuTang",046010501,,,,916,641,"1,557",2,2,4
24,Govt:Middle School Wach Bazar(C ),"WachBazar/KurmaywalKilli",046010507,,,,"1,263","1,028","2,291",2,2,4
25,Govt:Primary School Pass Killi Hangu (M),,,Pass Killi,046020404,,"1,287",,"1,287",2,0,2
26,"Govt. Girls Primary School Shahoo Road(M)",,,"Shahoo RoadPass Kalay",046020405,,739,,739,2,0,2
27,"Govt: Girls High School Pass Kalay,Hangu(F)",,,Pass Killi,046020404,,,"1,042","1,715",0,3,3
"",,,,"Shahoo RoadPasskalay",046020405,,,673,,,,
28,Govt: Primary School No.1 Hangu(M),,,Bahader Garhi,046020403,,236,,"1,313",3,0,3
"",,,,"ChashmaMasjid/Bahadar Garhi",046020503,,134,,,,,
"",,,,"ChashmaMasjid/KohiBagh",046020504,,210,,,,,
"",,,,"Warchinwal/Khan Bari",046020507,,489,,,,,
"",,,,Khan Bari,046020508,,244,,,,,
29,Govt. Girls High School No.2 (F),,,Bahader Garhi,046020403,,,179,"1,094",0,2,2
"",,,,"Werchinwal/Khan Barhi",046020507,,,418,,,,
"",,,,Khan Barhi,046020508,,,208,,,,
"",,,,"ChashmaMasjid/Bahadar Garhi",046020503,,,113,,,,
"",,,,"ChashmaMasjid/KohiBagh",046020504,,,176,,,,
30,"Govt:Centinal Modle High School Hangu(M) PS-1",,,"GulBagh/GulshanColony",046020401,,444,,896,2,0,2
