1,"Govt Girls Post GraduateCollage,Haripur. (Male)",,,Moh: Babu,026050101,,252,0,252,,,
"",,,Moh: Babu,026050102,,348,0,348,,,,
"",,,Moh: Babu,026050103,,126,0,126,,,,
Total:,,,,,,726,0,726,2,0,2,
"Govt Girls Post GraduateCollage,Haripur. (Male)",,,Moh:Asifabad,026050104,,241,0,241,,,,
"",,,Moh:Asifabad,026050105,,430,0,430,,,,
"",,,Malkyar Road,026050106,,122,0,122,,,,
"",Total:,,,,,,793,0,793,2,0,2
3,"Govt Girls Post GraduateCollage,Haripur. (Female)",,,Moh: Babu,026050101,,0,199,199,,,
"",,,,Moh: Babu,026050102,,0,323,323,,,
"",,,,Moh: Babu,026050103,,0,114,114,,,
"",,,,Moh:Asifabad,026050104,,0,201,201,,,
"",,,,Moh:Asifabad,026050105,,0,451,451,,,
"",,,,Malkyar Road,026050106,,0,113,113,,,
"",Total:,,,,,,0,1401,1401,0,4,4
4,"Govt Girls High School No.2,Haripur.(Male)",,,Moh: Khoo,026050503,,599,0,599,,,
"",,,,Moh: Khoo,026050505,,509,0,509,,,
"",Total:,,,,,,1108,0,1108,3,0,3
5,"Govt Girls High School No.2,Haripur. (Female)",,,Moh: Khoo,026050503,,0,577,577,,,
"",,,,Moh: Khoo,026050505,,0,490,490,,,
"",Total:,,,,,,0,1067,1067,0,3,3
6,"City Middle School No.4,Haripur.",,,Turbela Road,026050201,,305,292,597,,,
"",,,,Moh: Sawati/ Turbela Roa,. 026050202,,275,255,530,,,
"",Total:,,,,,,580,547,1127,2,2,4
7,"Govt Girls Primary School No.3,Haripur.",,,Sheran Wala Gate Police,ho0w2k6i050401,,523,498,1021,,,
Total:,,,,,,523,498,1021,2,2,4,
8,"Govt Girls Primary School No.3,Haripur. (Male)",,,Moh: Qateel Shafai / Loha,an0/2 M60a5la0k4p0u2ra,,407,0,407,,,
"",,,,Moh: Qateel Shafai / Loha,an0/2 M60a5la0k4p0u8ra,,356,0,356,,,
"",Total:,,,,,,763,0,763,2,0,2
9,"Govt Girls Primary School No.3,Haripur.( Female)",,,Moh: Qateel Shafai / Loha,an0/2 M60a5la0k4p0u2ra,,0,403,403,,,
"",,,,Moh: Qateel Shafai / Loha,an0/2 M60a5la0k4p0u8ra,,0,320,320,,,
"",Total:,,,,,,0,723,723,0,2,2
10,"Govt Primary School No.1,Haripur. (Male)",,,Moh: Ferozpura,026050203,,174,0,174,,,
"",,,,Moh: Ferozpura,026050204,,417,0,417,,,
"",,,,Moh: Ramzani,026050302,,207,0,207,,,
"",Total:,,,,,,798,0,798,3,0,3
11,"Govt Primary School No.1,Haripur.(Female)",,,Moh: Ferozpura,026050203,,0,176,176,,,
"",,,,Moh: Ferozpura,026050204,,0,389,389,,,
"",,,,Moh: Ramzani,026050302,,0,196,196,,,
"",,,,,,,0,761,761,0,2,2
12,"Govt High School No.2,Haripur. (Male)",,,Moh: Ramzani,026050205,,107,0,107,,,
"",,,Moh: Ramzani,026050206,,207,0,207,,,,
"",,,Moh: Session House,026050304,,210,0,210,,,,
"",,,Moh: Session House,026050305,,315,0,315,,,,
Total:,,,,,,839,0,839,3,0,3,
13,"Govt High School No.2,Haripur. (Male)",,,Moh: Ramzani,026050301,,413,0,413,,,
"",,,,Ramzani/ Shakar Shah Ro,d.026050303,,257,0,257,,,
"",,,,Ramzani/ Shakar Shah Ro,d.026050306,,89,0,89,,,
"",Total:,,,,,,759,0,759,2,0,2
14,"Govt High School No.2,Haripur. (Female)",,,Moh: Ramzani,026050205,,0,77,77,,,
"",,,,Moh: Ramzani,026050206,,0,209,209,,,
"",,,,Moh: Ramzani,026050301,,0,390,390,,,
"",,,,Ramzani/ Shakar Shah Ro,d.026050303,,0,230,230,,,
"",,,,Moh: Session House,026050304,,0,198,198,,,
"",,,,Moh: Session House,026050305,,0,265,265,,,
"",,,,Ramzani/ Shakar Shah Ro,d.026050306,,0,78,78,,,
"",Total:,,,,,,0,1447,1447,0,4,4
15,"Govt Model Middle School,Haripur.",,,Moh: Motian,026050501,,332,275,607,,,
"",,,,Moh: Khoo Nai Abadi,026050506,,430,402,832,,,
"",Total:,,,,,,762,677,1439,2,2,4
16,"Govt Girls Primary School No.2,Haripur.",,,Moh: Qadeem,026050502,,704,695,1399,,,
"",Total:,,,,,,704,695,1399,2,2,4
17,"Govt Model Middle School,Haripur.",,,Moh: Darwesh,026050504,,421,353,774,,,
Total:,,,,,,421,353,774,1,1,2,
18,"Govt Centenial Model HigherSecondary School, Haripur.",,,Moh: Soha,026050403,,257,213,470,,,
"",,,,Moh: Soha,026050410,,224,218,442,,,
"",Total:,,,,,,481,431,912,2,1,3
19,"Govt Centenial Model HigherSecondary School, Haripur.",,,Basher Colony,026050406,,164,134,298,,,
"",,,,Basher Colony,026050407,,219,213,432,,,
"",Total:,,,,,,383,347,730,1,1,2
20,Govt Girls Degree College No . 2 Haripur,,Moh: Kund,026050404,,342,313,655,,,,
"",,,,Moh: Kund,026050411,,333,315,648,,,
"",Total:,,,,,,675,628,1303,2,2,4
