1,Government Primary School Mirzakim Korona,-,-,LEWAL ALGADI,48040101,-,416,306,722,1,1,2
2,Government Higher Secondary School Karak PS.1,-,-,KARAK SAR,48040102,-,911,0,911,2,0,2
3,Government Higher Secondary School Karak PS.2,-,-,KARAK SAR,48040102,-,0,779,645,0,2,2
4,Government Middle School Official Colony.,-,-,OFFICIAL COLONY,48040103,-,804,661,1465,2,2,4
5,Government Girls Middle School Algadi Sharqi.,-,-,TANGORI,48040104,-,675,519,1194,2,1,3
6,Government Primary School Algadi karak.,-,-,MOHALLAH SHAH NOOR KHEL,48040201,-,325,255,580,1,1,2
7,Government Girls Primary School Algadi Sharqi.,-,-,MOHALLAH GUL BOSTAN KOROONA,48040202,-,505,418,923,1,1,2
8,Government Girls Primary School Mashrae,-,-,MOHALLAH MASHARI KOROONA,48040205,-,617,510,1127,2,1,3
9,Government Girls Primary School Tapi Algadi,-,-,MOHALLAH MALAK SHAMSUL WAHAB,48040203,-,569,491,1060,1,1,2
10,Government Girls Primary School Gafoorullah Koroona,-,-,MOHALLAH COLLAG TOWN,48040204,-,634,426,1060,2,1,3
11,Government GirlsCommunity Model School Jama kala,-,-,MOHALLAH ABBAS KOROONA,48040206,-,862,658,1520,2,2,4
12,Government Girls Primary School Mashria Banda,-,-,TAPPI ALGADI,48040207,-,532,380,912,1,1,2
13,Government High School Toor Dhand,-,-,TOOR DHAND,48030404,-,870,493,1363,2,1,3
14,Government Primary School Toor Dhand,-,-,PARACHGAN TOOR DHAND,48030405,-,516,321,837,1,1,2
15,Government Girls Higher Secondary School Karak.,-,-,MOHALLAH MOVLI MOHAD NAWAB,48040301,-,656,570,1226,2,1,3
16,Government Primary School Karak Sharqi.,-,-,MOHALLAH FAQIR KHEL,48040302,-,583,455,1038,1,1,2
17,Government Primary School MC Karak,-,-,MOHALLAH ASAT KHEL,48040303,-,587,521,1108,1,1,2
18,Government Primary School Bari Khawar,-,-,MOHALLAH TABLIGI MARKAZ,48040304,-,1045,0,1045,3,0,3
19,Government Girls Primary School Bari Khawar,-,-,MOHALLAH TABLIGI MARKAZ,48040304,-,0,805,564,0,2,2
20,Government Girls Primary School Mitha Wala.,-,-,MITHA WALA,48040305,-,762,0,762,3,0,3
"",,-,-,CHOUNGHI,48040306,-,259,0,259,,,
"",,-,-,Total,,-,1021,0,1021,,,
21,Government Girls Primary School Mitha wala,-,-,MITHA WALA,48040305,-,0,560,560,0,2,2
"",,-,-,CHOUNGHI,48040306,-,0,170,170,,,
"",,-,-,Total,,-,0,730,730,,,
22,Government Middle School Karak.,-,-,KHATTAK HOUSE,48040401,-,497,393,890,2,1,3
"",,-,-,MOHALLAH NIMAK MANDI,48040402,-,273,195,468,,,
"",,-,-,Total,,-,770,588,1358,,,
23,Government Primary School Sharbat Khan Koroona.,-,-,MOHALLAH KHADI KHEL,48040403,-,344,297,641,1,1,2
"",,-,-,TANA ROAD,48040404,-,141,119,260,,,
"",,-,-,Total,,-,485,416,901,,,
24,Government Primary School Town Committee Karak,-,-,TAPPI TARKHOBI,48040405,-,429,423,852,1,1,2
25,Government High School Town Committee Karak.,-,-,TAPPI KARAK,48040406,-,299,258,557,1,1,2
"",,-,-,SESSION COURT.,48040407,-,294,235,529,,,
"",,-,-,Total,,-,593,493,1086,,,
26,Government Primary School Andi Gharbi.,-,-,ANDI KARAK,48030301,-,428,300,728,1,1,2
27,Government Priamry School Lal khel Rehmat Abad PS.1,RAHMAT ABDA NO.1,48030401,-,-,-,1234,0,1234,3,0,3
28,Government Girls Primary School Rahmat Abad PS.2,RAHMAT ABDA NO.1,48030401,-,-,-,0,925,925,0,3,3
