1,Govt: Middle School Dhall Behzadi (Male),,,Behzadi Chiker Kot/ Dhal Behzadi,43020301,,1180,0,1180,4,0,4,
,,,,,,,,,,,,,
2,Govt: Primary School Dhall Behzadi (Female),,,,,,,,,,,,
,,,,Behzadi Chiker Kot/ Dhal Behzadi,43020301,,0,777,777,0,2,2,
3,Govt: Primary School Daggar Banda (Male),Bahadur Kot,43020307,,,,958,0,958,4,0,4,
,,Bahadur Kot,43020308,,,378,0,378,,,,,
4,Govt: Primary School Bahadur Kot (Female),Bahadur Kot,43020307,,,,0,727,727,0,2,2,
,,Bahadur Kot,43020308,,,0,275,275,,,,,
5,Govt: Primary School Banda Ahmad Nagar (C),Bahadur Kot,43020309,,,,,,,,,,
,,,,,,,607,409,1016,1,1,2,
6,"Govt: College of Technology Rawalpindi RoadKohat (C)  (PS-1)",1.Kurd,43020302,,,,755,526,1281,2,2,4,
,,2.Kurd,43020306,,,223,198,421,,,,,
7,"Govt: College of Technology Rawalpindi RoadKohat (C)   (PS-2)",Kurd,43020303,,,,593,386,979,3,1,4,
,,Kurd,43020304,,,252,169,421,,,,,
8,"Govt: working Folks Grammar Primary  SchoolLabour Colony Kohat (C)",1.Kurd,43020305,,,,621,423,1044,1,1,2,
9,Govt: Girls Primary School Kaluchana (C),Kaluchana,43020501,,,,630,405,1035,2,1,3,
10,"Govt: College of Management Sciences Kohat(C)",Main Khel/Mir Ahmad Khel,43020502,,,,682,490,1172,2,1,3,
11,Govt: High School Sheikhan (Male),1. Chak Malayan,43020401,,,,158,0,158,4,0,4,
,,2. Chak Malayan,43020402,,,523,0,523,,,,,
,,3. Sheikhan,43020403,,,581,0,581,,,,,
12,Govt: Girls High School Sheikhan (Female),1. Chak Malayan,43020401,,,,0,139,139,0,3,3,
,,2. Chak Malayan,43020402,,,0,395,395,,,,,
,,3. Sheikhan,43020403,,,0,447,447,,,,,
13,Govt: Primary School Sheikhan  (Male) (PS-1),1. Sheikhan/Aimal Khel,43020404,,,,844,0,844,4,0,4,
,,2. Sheikhan Pata Mela,43020405,,,549,0,549,,,,,
14,"Govt: Girls Primary School Sheikhan  (Female)(PS-1)",1. Sheikhan/Aimal Khel,43020404,,,,0,589,589,0,2,2,
,,2. Sheikhan Pata Mela,43020405,,,0,380,380,,,,,
