1,"Office of Distt: DirectorAgriculture Kohistan",Danka Sakhiabad,014010404,,,,232,226,458,1,1,2
"",,Danka Sakhiabad,014010405,,,,4,6,10,,,
"",,Danka Sakhiabad,014010406,,,,6,7,13,,,
"",,Dassu,014010407,,,,324,309,633,,,
"",,Dassu,014010408,,,,28,23,51,,,
"",,Dassu,014010409,,,,13,16,29,,,
"",,,,,,,607,587,1194,,,
2,Govt: High SchoolTiyal,Shaal Kai,014010303,,,,63,77,140,1,1,2
"",,Tiyal,014010401,,,,196,235,431,,,
"",,Tiyal,014010402,,,,35,40,75,,,
"",,,,,,,294,352,646,,,
3,Govt: High School Chuchang,Logroo,014010201,,,,19,20,39,2,1,3
"",,Zarif Dadair,014010205,,,,20,19,39,,,
"",,Morgaah,014010301,,,,66,61,127,,,
"",,Khooshi,014010403,,,,76,74,150,,,
"",,Kuz Chuchang,014010410,,,,95,97,192,,,
"",,Ber Chuchang No. 1,014010412,,,,166,157,323,,,
"",,Ber Chuchang No. 2,014010413,,,,46,48,94,,,
"",,,,,,,488,476,964,,,
4,"Govt: Girls  Primary SchoolKaigah",Douch Bah,014010103,,,,68,43,111,2,1,3
"",,Shakrat Jishaal,014010104,,,,6,1,7,,,
"",,Jail bail,014010105,,,,46,38,84,,,
"",,Looter,014010106,,,,183,165,348,,,
"",,Looter,014010107,,,,31,30,61,,,
"",,Kaigah,014010305,,,,131,120,251,,,
"",,Paani Baah,014010306,,,,13,15,28,,,
"",,Berseen,014010411,,,,63,49,112,,,
"",,,,,,,541,461,1002,,,
5,"Govt: Primary School UcharNallah",Uchar Sair,014010202,,,,76,69,145,1,1,2
"",,Uchaar,014010203,,,,52,44,96,,,
"",,Dadair,014010204,,,,73,45,118,,,
"",,Charr,014010302,,,,39,37,76,,,
"",,Jainder,014010304,,,,83,83,166,,,
"",,Thoki,014010101,,,,148,147,295,,,
"",,Thoki,014010102,,,,12,14,26,,,
"",,,,,,,483,439,922,,,
6,Govt: High School Jalkot,Kuz Jalkot,014020101,,,,8,6,14,1,1,2
""
""
"",,Kuz Jalkot,014020102,,,,0,0,0,,,
"",,Kuz Jalkot,014020103,,,,9,10,19,,,
"",,Kuz Jalkot,014020104,,,,6,7,13,,,
"",,Kuz Jalkot,014020105,,,,98,98,196,,,
"",,Tajkot,014020106,,,,36,43,79,,,
"",,Taaj Kot,014020107,,,,0,0,0,,,
"",,,,,,,157,164,321,,,
7,Govt: Primary School Charto,Kandrot,014020108,,,,0,0,0,1,1,2
"",,Danaat,014020109,,,,19,14,33,,,
"",,Bosas,014020110,,,,41,34,75,,,
"",,Bairro,014020202,,,,8,15,23,,,
"",,Jailbaik,014020205,,,,4,1,5,,,
"",,Jailbaik,014020206,,,,0,0,0,,,
"",,Ajmeera,014020207,,,,0,0,0,,,
"",,Kuz Bela,014020208,,,,1,0,1,,,
"",,Jaloo,014020307,,,,53,47,100,,,
"",,Jaloo,014020308,,,,46,62,108,,,
"",,Jaloo,014020309,,,,12,11,23,,,
"",,Charto Kuz,014020310,,,,25,22,47,,,
"",,Bar Chartoo,014020311,,,,81,80,161,,,
"",,,,,,,290,286,576,,,
8,"Govt:Girls Primary SchoolNimraty Sosak",Sosak,014020301,,,,67,61,128,2,1,3
"",,Sosak,014020302,,,,25,38,63,,,
"",,Sosak,014020303,,,,39,50,89,,,
"",,Sirinagar,014020304,,,,19,8,27,,,
"",,Sirinagar,014020305,,,,87,48,135,,,
"",,Sirinagar,014020306,,,,30,12,42,,,
"",,,,,,,267,217,484,,,
9,Govt:Primary School Rajkot,DCO Colony,014020201,,,,33,44,77,1,1,2
"",,Rajkot,014020204,,,,126,109,235,,,
"",,Jander Kot,014020203,,,,81,62,143,,,
"",,,,,,,240,215,455,,,
10,Govt: Primary School Pashoot,Pashot No. 1,014020401,,,,33,16,49,1,1,2
"",,Pashot No.2,014020402,,,,36,32,68,,,
"",,Mashoon Dadir,014020403,,,,1,2,3,,,
"",,Aaeel,014020404,,,,9,6,15,,,
"",,Goroo Khas,014020405,,,,2,0,2,,,
"",,,,,,,81,56,137,,,
11,Govt: High School Ber Bela,Barri,014030103,,,,35,32,67,2,1,3
"",,Moos,014030104,,,,62,70,132,,,
"",,Ber Bela,014030105,,,,91,79,170,,,
"",,Kuz Mashwani,014030102,,,,16,13,29,,,
"",,,,,,,204,194,398,,,
12,"Govt: Primary School SedanDadir",Koop Nala,014030208,,,,97,85,182,1,1,2
Bar Gaheen,041030301,,,,140,142,282,,,,,
Bar Gaheen,041030302,,,,11,12,23,,,,,
Iska khail Dadair,041030303,,,,65,58,123,,,,,
Shaloo,041030405,,,,1,0,1,,,,,
Shaloo,041030406,,,,0,0,0,,,,,
Bar Jabri,041030501,,,,13,9,22,,,,,
Kuz jabri,041030502,,,,15,11,26,,,,,
"",,Bar Hamdi,041030503,,,,19,37,56,,,
"",,Dadair Jalas Khail,014030205,,,,76,70,146,,,
"",,Ajal Gat,014030206,,,,139,135,274,,,
"",,Gadar nala,014030209,,,,32,28,60,,,
"",,Sair,014030505,,,,12,5,17,,,
"",,,,,,,620,592,1212,,,
13,"Govt: Primary School KuzGaheen No. 2",Bar Mashwani,014030101,,,,68,73,141,1,1,2
"",,Kuz Gaheen,014030201,,,,258,211,469,,,
"",,Kuz Gaheen,014030202,,,,3,0,3,,,
"",,Bush,041030403,,,,80,72,152,,,
"",,Maidaan Malikabad,041030407,,,,5,6,11,,,
"",,Kuz Hamdi,041030504,,,,11,12,23,,,
"",,Jafar Dadir,014030203,,,,99,83,182,,,
"",,Dodoo,014030204,,,,72,80,152,,,
"",,,,,,,596,537,1133,,,
14,"Govt: Girls Primary SchoolSedam/Sikandar Dadir",saili Khail Dadair,014030207,,,,27,29,56,1,1,2
"",,Khaloot,014030304,,,,25,13,38,,,
"",,Mirshai,041030305,,,,69,41,110,,,
"",,Sikandar Dadir,041030401,,,,70,51,121,,,
"",,Sikandar Dadir,041030402,,,,191,121,312,,,
"",,Saidann Dadir,041030404,,,,49,52,101,,,
"",,,,,,,431,307,738,,,
15,Govt: Middle School Goshali,Shaggo  Bain,014040101,,,,61,39,100,1,1,2
"",,Alooni,014040102,,,,14,5,19,,,
"",,Goorbaa,014040103,,,,46,44,90,,,
"",,Jabri (Zareen Bela),014040104,,,,2,2,4,,,
"",,Goshali,014040105,,,,295,252,547,,,
"",,Bar Osai,014040201,,,,150,114,264,,,
"",,Kuz Osai,014040202,,,,60,55,115,,,
"",,Sairto,014040203,,,,37,26,63,,,
"",,Balogi,014040401,,,,13,11,24,,,
"",,Zood barri,014040402,,,,1,2,3,,,
"",,dogah,014040601,,,,11,7,18,,,
"",,,,,,,690,557,1247,,,
16,"Govt: Girls Primary School KuzBuk",Kuz Dadair,014040204,,,,33,29,62,1,1,2
"",,Ber Dadair,014040205,,,,67,56,123,,,
"",,Buk,014040301,,,,161,156,317,,,
"",,Maidan,014040302,,,,37,18,55,,,
"",,Pashoot,014040303,,,,5,1,6,,,
"",,Jail,014040304,,,,86,91,177,,,
"",,Charro Much,014040305,,,,49,23,72,,,
"",,,,,,,438,374,812,,,
17,Govt: Primary School Kuz Seri,Bela,014040403,,,,39,34,73,1,1,2
"",,Sachoie,014040404,,,,7,8,15,,,
"",,Seri Kuz and Ber,014040405,,,,84,83,167,,,
"",,Athlook,014050603,,,,35,16,51,,,
"",,,,,,,165,141,306,,,
18,"Govt: Primary School MemarShahabad Qaiser Dadair",Kail,014040306,,,,1,1,2,1,1,2
