1,Govt Higher Secondary School Khall (Combined),Gharib Abad,005070601,,,,451,322,773,2,2,4
"",,Gharib Abad,005070602,,,,521,326,847,,,
"",,,,,,,972,648,1620,,,
2,Govt Primary  School Mansoorabad(Combined),Abo Bakray,005070603,,,,1,1,2,2,1,3
"",,Mansoor Abad,005070701,,,,399,277,676,,,
"",,Khall Colony,005070505,,,,161,92,253,,,
"",,Pitaw Colony No-1,005070707,,,,43,21,64,,,
"",,Pitaw Colony No-2,005070708,,,,62,37,99,,,
"",,,,,,,666,428,1094,,,
3,Govt Primary School Namseer (Combined),Namseer,005070502,,,,708,451,1159,2,2,4
"",,,,,,,708,451,1159,,,
4,"GMS, Namseer",Said Abad,005070604,,,,233,145,378,2,1,3
"",,Banda Payeen,005070703,,,,95,62,157,,,
"",,Banda Bala,005070704,,,,231,98,329,,,
"",,Natarai,005070705,,,,25,18,43,,,
"",,,,,,,584,323,907,,,
5,"Govt: Girls Primery School Khall Kandaro/ZoorMandi (Combined)",Zoor Mandi,005070201,,,,611,417,1028,2,2,4
"",,Khall Mandai,005070501,,,,144,94,238,,,
"",,Khall Nimako,005070504,,,,169,113,282,,,
"",,,,,,,924,624,1548,,,
6,Govt Primary School Mera Khall (Combined),Sacha,005070101,,,,365,222,587,2,2,4
"",,Shahidano Kass,005070102,,,,16,6,22,,,
"",,Mera,005070103,,,,52,18,70,,,
"",,Billa,005070104,,,,367,260,627,,,
"",,Kasai,005070105,,,,48,21,69,,,
"",,,,,,,848,527,1375,,,
7,Govt Primary School No.3 Koz Kalay Khall(Male),Koz Kalay,005070202,,,,602,0,602,4,0,4
"",,Koz Kalay,005070203,,,,403,0,403,,,
"",,Makar Dam,005070303,,,,106,0,106,,,
"",,,,,,,1111,0,1111,,,
8,"GGPS, Khall Payeen (Female)",Koz Kalay,005070202,,,,0,449,449,0,2,2
"",,Koz Kalay,005070203,,,,0,253,253,,,
"",,Makar Dam,005070303,,,,0,40,40,,,
"",,,,,,,0,742,742,,,
9,Govt: Middle School  Bar Kalay Khall (Male),Bar Kalay,005070401,,,,525,0,525,2,2,2
"",Bar Kalay,005070404,,,,347,0,347,,,,
"",,,,,,872,0,872,,,,
"",Bar Kalay-,005070402,,,,622,0,622,,,,
10,Bar Kalay-,005070403,,,,751,0,751,,,,
"",,,,,,,1373,0,1373,,,
11,Govt: Primary School No.4  Bar Kalay Khall (Female),Bar Kalay,005070401,,,,0,279,279,0,4,4
"",,Bar Kalay-,005070402,,,,0,382,382,,,
"",,Bar Kalay,005070403,,,,0,544,544,,,
"",,Bar Kalay,005070404,,,,0,229,229,,,
"",,,,,,,0,1434,1434,,,
12,Govt: Girls Middle School Shalfalam (Combined),Shalfalam,005060101,,,,576,322,898,2,2,4
"",,Adi,005060103,,,,187,87,274,,,
"",,Jabagai,005060201,,,,87,48,135,,,
"",,Ghurmatak,005060303,,,,56,36,92,,,
"",,Shatong,005070405,,,,5,3,8,,,
"",,,,,,,911,496,1407,,,
13,Govt: High School Khall Kandaro (M),Kandaro Koto,005070204,,,,35,0,35,3,0,3
"",,Khall Kandaro,005070301,,,,579,0,579,,,
"",,Khall Kandaro,005070302,,,,284,0,284,,,
"",,Gul Bahar Colony,005070304,,,,299,0,299,,,
"",,Khwar Koto,005070305,,,,82,0,82,,,
"",,Kandaro khall,005070503,,,,0,0,0,,,
"",,,,,,,1279,0,1279,,,
"",,,,,,,,,,0,2,2
14,Govt: Girls High School Khall (F),Kandaro Koto,005070204,,,,0,37,37,,,
"",,Khall Kandaro,005070301,,,,0,391,391,,,
"",,Khall Kandaro,005070302,,,,0,169,169,,,
"",,Gul Bahar Colony,005070304,,,,0,170,170,,,
"",,Khwar Koto,005070305,,,,0,58,58,,,
"",,Kandaro khall,005070503,,,,0,0,0,,,
"",,,,,,,0,825,825,,,
"",,,,,,,,,,2,2,4
15,Govt: High School Shalkani Payeen  (Combined),Mano,005060202,,,,122,77,199,,,
"",,Khrarai,005060203,,,,121,70,191,,,
"",,Shalkanai-P,005060204,,,,456,250,706,,,
"",,Shalkanai-B,005060205,,,,188,95,283,,,
"",,,,,,,887,492,1379,,,
16,Govt: High School Luqman Banda (Combined),Aziz Abad,005060405,,,,222,180,402,2,2,4
"",,Luqman Banda,005060501,,,,500,374,874,,,
"",,,,,,,722,554,1276,,,
17,"GPS, Luqman Banda",Maskanai,005060502,,,,199,166,365,2,2,4
"",,Shahab,005060603,,,,222,111,333,,,
"",,Khushal Kot,005060605,,,,115,60,175,,,
"",,Walai Band,005060706,,,,209,126,335,,,
"",,,,,,,745,463,1208,,,
18,Govt: Primary School Dawab,Dawab,005060302,,,,326,171,497,1,1,2
"",,Charam Aab,005060304,,,,168,58,226,,,
"",,,,,,,494,229,723,,,
19,"GPS, Safaray",Safaray,005060701,,,,186,93,279,2,1,3
"",,Nazim Patay,005060702,,,,68,32,100,,,
"",,Ado,005060703,,,,271,124,395,,,
"",,Mula Nala,005060704,,,,107,55,162,,,
"",,,,,,,632,304,936,,,
20,Govt: Primary School Lalo Payeen (Combined),Lalo Payeen,005060301,,,,271,187,458,2,1,3
Kandaw,005060305,,,,263,142,405,,,,,
"",,,,,534,329,863,,,,,
21,Govt: Primary School Adokai (Combined),Adokai,005060401,,,,313,216,529,2,1,3
"",,Kharikot,005060402,,,,76,38,114,,,
"",,Jaa Dherai,005060403,,,,108,71,179,,,
"",,lalo Bala,005060404,,,,185,124,309,,,
"",,,,,,,682,449,1131,,,
22,"GPS, Galkore",Galkore,005060503,,,,408,241,649,2,1,3
"",,Kohey,005060504,,,,120,63,183,,,
"",,Tamblo,005060604,,,,190,86,276,,,
"",,,,,,,718,390,1108,,,
23,Govt: Primary School Kamar Tall (Combined),Kamar Tall,005060601,,,,679,414,1093,1,1,2
"",,,,,,,679,414,1093,,,
24,"GMS, Kamal Khel Tall",Kamal Khel Tall,005060602,,,,655,328,983,2,1,3
"",,Shen Kat,005060705,,,,200,154,354,,,
"",,,,,,,855,482,1337,,,
25,Govt: Primary School  Gawnai Bala(Combined),Jograi/Hasinay,005080202,,,,299,121,420,2,1,3
"",,Pitaw Gawnai,005080203,,,,554,313,867,,,
"",,Shaw,005080603,,,,87,36,123,,,
"",,Quanjai,005080604,,,,134,56,190,,,
"",,,,,,,1074,526,1600,,,
26,Govt: Primary School  Guma Gat(Combined),Sero Kandaw,005080304,,,,134,50,184,1,1,2
"",,Khershano Banda,005080311,,,,6,2,8,,,
"",,Guma Gat,005080706,,,,236,103,339,,,
"",,,,,,,376,155,531,,,
