1,"Government Girls Primary School Batta KundiMale",Kaghan,018020101,,,,1034,0,1034,4,0,4
"",,Kaghan,018020107,,,,125,0,125,,,
"",,,,,,,1159,0,1159,,,
2,"Government Primary School Nalla Dadar BattakundiFemale",Kaghan,018020101,,,,0,680,680,0,3,3
"",,Kaghan,018020107,,,,0,85,85,,,
"",,,,,,,0,765,765,,,
3,"Government High School, NaranCombined",Kaghan,018020102,,,,441,255,696,2,2,4
"",,Kaghan,018020109,,,,228,160,388,,,
"",,,,,,,669,415,1084,,,
4,"Government Primary School NaranCombined",Kaghan,018020103,,,,456,331,787,2,1,3
"",,,,,,,456,331,787,,,
5,"Government Primary School, KaghanCombined",Kaghan,018020104,,,,398,268,666,1,1,2
"",,,,,,,398,268,666,,,
6,"Government High School RajwalCombined (PS-I)",Kaghan,018020111,,,,612,388,1000,2,1,3
"",,,,,,,612,388,1000,,,
7,"Government High School RajwalCombined (PS-II)",Kaghan,018020110,,,,525,321,846,2,1,3
"",,,,,,,525,321,846,,,
8,"Government Primary School SoachCombined",Kaghan,018020108,,,,585,374,959,2,1,3
"",,,,,,,585,374,959,,,
9,"Government Higher Secondary School, KaghanMale",Kaghan,018020105,,,,1325,0,1325,4,0,4
"",,,,,,,1325,0,1325,,,
10,"Government Girls High School, KaghanFemale",Kaghan,018020105,,,,0,939,939,0,3,3
"",,,,,,,0,939,939,,,
11,"Rural Health Center, KaghanMale (PS-I)",Kaghan,018020112,,,,909,0,909,3,0,3
"",,,,,,,909,0,909,,,
12,"Rural Health Center, KaghanFemale (PS-II)",Kaghan,018020112,,,,0,583,583,0,2,2
"",,,,,0,583,583,,,,,
13,"Agriculture Research Station, KaghanMale",Kaghan,018020106,,,,955,0,955,3,0,3
"",,,,,,,955,0,955,,,
14,"Government  Girls Primary School (Larri) Agla GranFemale",Kaghan,018020106,,,,0,593,593,0,2,2
"",,,,,,,0,593,593,,,
15,"Government Middle School KhanianCombined",Pattan Des,018020201,,,,376,287,663,2,1,3
"",,Pattan Des,018020202,,,,281,202,483,,,
"",,,,,,,657,489,1146,,,
16,"Government Girls Primary School Kamal BanCombined",Kamal Ban,018020203,,,,354,227,581,1,1,2
"",,,,,,,354,227,581,,,
17,"Government Primary School Kamal BanCombined",Kamal Ban,018020204,,,,599,497,1096,2,1,3
"",,,,,,,599,497,1096,,,
18,"Government Primary School Bari MaidanCombined",Phaghal,018020205,,,,448,302,750,2,1,3
"",,,,,,,448,302,750,,,
19,"Government High School PhagalCombined",Phaghal,018020206,,,,770,0,770,2,0,2
"",,,,,,,770,0,770,,,
20,"Government Girls Middle School PhagalCombined",Phaghal,018020206,,,,0,585,585,0,2,2
"",,,,,,,0,585,585,,,
21,"Government Girls Primary School, PhagalCombined",Phaghal,018020207,,,,231,149,380,1,1,2
"",,,,,,,231,149,380,,,
22,"Government Primary School Lohar BandaCombined",Phaghal,018020208,,,,334,210,544,1,1,2
"",,,,,,,334,210,544,,,
23,"Government Girls Primary School BatangiCombined",Kalas Jamal Mari,018020209,,,,193,121,314,2,2,4
"",,Kalas Jamal Mari,018020210,,,,388,303,691,,,
"",,,,,,,581,424,1005,,,
24,"Government Girls Primary School ReenCombined",Kalas Jamal Mari,018020211,,,,158,121,279,1,1,2
"",,Kalas Jamal Mari,018020212,,,,196,142,338,,,
"",,,,,,,354,263,617,,,
25,"Government Middle School Seri ManoorMale",Manoor Arsla Khan,018020301,,,,304,0,304,3,0,3
"",,Manoor Muhd: Jan,018020302,,,,600,0,600,,,
"",,,,,,,904,0,904,,,
26,"Government Primary School Seri ManoorFemale",Manoor Arsla Khan,018020301,,,,0,191,191,0,2,2
"",,Manoor Muhd: Jan,018020302,,,,0,361,361,,,
"",,,,,,,0,552,552,,,
27,"Government Middle School, Badal GranMale",Manoor Muhd: Jan,018020303,,,,805,0,805,3,0,3
Manoor Bostan Khan,018020305,,,,260,0,260,,,,,
"",,,,,1065,0,1065,,,,,
28,"Government Girls Primary School, Badal GranFemale",Manoor Muhd: Jan,018020303,,,,0,461,461,0,2,2
"",,Manoor Bostan Khan,018020305,,,,0,177,177,,,
"",,,,,,,0,638,638,,,
29,"Government Primary School Bichla ManoorCombined (Shelter) (Partially improvised)",Manoor Hafeezullah,018020304,,,,419,280,699,1,1,2
"",,,,,,,419,280,699,,,
30,"Government Primary School Banda ManoorCombined",Manoor Hafeezullah,018020307,,,,553,332,885,2,1,3
"",,,,,,,553,332,885,,,
31,"Government Primary School Bela ManoorCombined",Manoor Bostan Khan,018020306,,,,540,382,922,2,1,3
"",,,,,,,540,382,922,,,
32,"Government High School Bela ManoorCombined",Manoor Hafeezullah,018020308,,,,527,367,894,2,1,3
"",,,,,,,527,367,894,,,
33,"Government Girls Primary School Bela ManoorCombined",Manoor Hafeezullah,018020309,,,,334,247,581,1,1,2
"",,,,,,,334,247,581,,,
34,"Government High School MohandriCombined",Jaraid,018020407,,,,337,251,588,2,2,4
"",,Jaraid,018020408,,,,395,264,659,,,
"",,,,,,,732,515,1247,,,
35,"Government Girls Primary School Chamb LassaCombined",Jaraid,018020401,,,,308,210,518,1,1,2
"",,,,,,,308,210,518,,,
36,"Government Primary School Dhanoo JaraidCombined",Jaraid,018020402,,,,521,352,873,2,1,3
"",,,,,,,521,352,873,,,
37,"Government Higher Secondary School, JaraidMale",Jaraid,018020403,,,,842,0,842,4,0,4
"",,Jaraid,018020404,,,,429,0,429,,,
"",,,,,,,1271,0,1271,,,
38,"Government Girls Primary School, Bela JaraidFemale",Jaraid,018020403,,,,0,548,548,0,3,3
"",,Jaraid,018020404,,,,0,303,303,,,
"",,,,,,,0,851,851,,,
39,"Handicarft Center JaraidCombined",Jaraid,018020409,,,,313,233,546,2,2,4
"",,Jaraid,018020410,,,,401,310,711,,,
"",,,,,,,714,543,1257,,,
40,"Forest Office, JaraidCombined",Jaraid,018020405,,,,257,198,455,2,2,4
"",,Jaraid,018020406,,,,401,299,700,,,
"",,,,,,,658,497,1155,,,
41,"Government Middle School Ochri JaraidCombined",Jaraid,018020411,,,,514,375,889,2,1,3
"",,,,,514,375,889,,,,,
42,"Government Primary School Ochri JaraidCombined",Jaraid,018020412,,,,227,189,416,2,1,3
"",,Jaraid,018020413,,,,269,188,457,,,
"",,,,,,,496,377,873,,,
43,"Rural Health Center, KewaiMale",Kewai,018020501,,,,427,0,427,4,0,4
"",,Kewai,018020502,,,,250,0,250,,,
"",,Kewai,018020503,,,,498,0,498,,,
"",,,,,,,1175,0,1175,,,
44,"Government Higher Secondary School, KewaiFemale",Kewai,018020501,,,,0,298,298,0,3,3
"",,Kewai,018020502,,,,0,196,196,,,
"",,Kewai,018020503,,,,0,334,334,,,
"",,,,,,,0,828,828,,,
45,"Government High School, ParisCombined",Paris,018020504,,,,534,408,942,2,1,3
"",,,,,,,534,408,942,,,
46,"Government Girls Primary School Chontian ParasCombined (Improvised)",Paris,018020505,,,,247,201,448,2,2,4
"",,Paris,018020506,,,,268,211,479,,,
"",,Paris,018020508,,,,150,110,260,,,
"",,,,,,,665,522,1187,,,
47,"Government Primary School Ratta Nalla ParasCombined",Paris,018020507,,,,161,124,285,1,1,2
"",,,,,,,161,124,285,,,
48,"Government Primary School ShangrianCombined",Paris,018020509,,,,452,350,802,2,1,3
"",,,,,,,452,350,802,,,
49,"Government Primary School Jabri BhoonjaCombined",Bhoonja,018020513,,,,262,190,452,2,1,3
"",,,,,,,262,190,452,,,
50,"Government Primary School Thunian BhoonjaCombined",Bhoonja,018020514,,,,368,274,642,1,1,2
"",,,,,,,368,274,642,,,
51,"Government High School BhoonjaCombined",Bhoonja,018020515,,,,210,0,210,2,0,2
"",,Bhoonja,018020516,,,,321,0,321,,,
"",,Bhoonja,018020517,,,,165,0,165,,,
"",,,,,,,696,0,696,,,
52,"Government Primary School BhoonjaCombined",Bhoonja,018020515,,,,0,142,142,0,2,2
"",,Bhoonja,018020516,,,,0,261,261,,,
"",,Bhoonja,018020517,,,,0,122,122,,,
"",,,,,,,0,525,525,,,
53,"Government Primary School KohaliCombined",Bhoonja,018020511,,,,168,109,277,2,1,3
Bhoonja,018020512,,,,242,184,426,,,,,
"",,,,,410,293,703,,,,,
54,Government Girls Primary School Faridabad,Bhoonja,018020510,,,,307,235,542,1,1,2
"",,,,,,,307,235,542,,,
55,"Government Primary School Ghanool GranCombined",Ghanool,018020701,,,,226,160,386,2,1,3
"",,Ghanool,018020702,,,,260,186,446,,,
"",,,,,,,486,346,832,,,
56,"Government Girls Primary School GhanoolCombined",Ghanool,018020703,,,,106,79,185,2,1,3
"",,Ghanool,018020704,,,,354,280,634,,,
"",,,,,,,460,359,819,,,
57,"Government Primary School, Gali GhanoolCombined",Ghanool,018020705,,,,344,238,582,1,1,2
"",,,,,,,344,238,582,,,
58,"Government High School, GhanoolCombined",Ghanool,018020706,,,,243,0,243,2,0,2
"",,Ghanool,018020707,,,,213,0,213,,,
"",,Ghanool,018020711,,,,135,0,135,,,
"",,Ghanool,018020712,,,,160,0,160,,,
"",,,,,,,751,0,751,,,
59,"Government Girls High School, GhanoolCombined",Ghanool,018020706,,,,0,169,169,0,2,2
"",,Ghanool,018020707,,,,0,150,150,,,
"",,Ghanool,018020711,,,,0,99,99,,,
"",,Ghanool,018020712,,,,0,97,97,,,
"",,,,,,,0,515,515,,,
60,"Government Primary School Battian GhanoolCombined (Shelter) (Improvised)",Ghanool,018020708,,,,89,52,141,1,1,2
"",,Ghanool,018020709,,,,246,150,396,,,
"",,,,,,,335,202,537,,,
61,"Civil Dispensary, GhanoolCombined",Ghanool,018020710,,,,123,79,202,2,2,4
"",,Ghanool,018020713,,,,208,129,337,,,
"",,Ghanool,018020714,,,,307,199,506,,,
"",,Ghanool,018020715,,,,114,95,209,,,
"",,,,,,,638,407,1045,,,
62,"Government High School BhangianCombined",Bhangian Josacha,018020817,,,,222,119,341,2,2,4
"",,Bhangian Josacha,018020820,,,,287,165,452,,,
"",,,,,,,509,284,793,,,
63,"Government Primary School Sherhi BhangianCombined",Bhangian Josacha,018020818,,,,217,102,319,2,1,3
Bhangian Josacha,018020819,,,,229,164,393,,,,,
"",,,,,446,266,712,,,,,
64,"Government Primary School Hundi ArbanCombined",Bhangian Josacha,018020821,,,,204,143,347,2,1,3
"",,Bhangian Josacha,018020822,,,,339,244,583,,,
"",,,,,,,543,387,930,,,
65,"Government Girls Middle School JosachaCombined",Bhangian Josacha,018020814,,,,223,137,360,1,1,2
"",,,,,,,223,137,360,,,
66,"Government High School, JosachaCombined",Bhangian Josacha,018020815,,,,190,126,316,2,1,3
"",,Bhangian Josacha,018020816,,,,344,221,565,,,
"",,,,,,,534,347,881,,,
67,"Government Girls High School, SangarCombined",Sangar,018020813,,,,429,310,739,2,1,3
"",,,,,,,429,310,739,,,
68,"Government Primary School Hassam AbadCombined",Hasam Abad,018020823,,,,194,142,336,1,1,2
"",,,,,,,194,142,336,,,
69,"Government High School, SangarCombined",Sangar,018020810,,,,414,294,708,2,2,4
"",,Sangar,018020812,,,,381,272,653,,,
"",,,,,,,795,566,1361,,,
70,"Government Primary School SerianCombined",Sangar,018020807,,,,101,76,177,1,1,2
"",,Sangar,018020808,,,,90,58,148,,,
"",,Sangar,018020809,,,,74,48,122,,,
"",,Sangar,018020811,,,,112,69,181,,,
"",,,,,,,377,251,628,,,
71,"Government Girls High School Kappi GaliCombined",Sangar,018020801,,,,372,273,645,1,1,2
"",,,,,,,372,273,645,,,
72,"Government Girls Primary School Sandu SangarCombined",Sangar,018020802,,,,136,100,236,2,2,4
"",,Sangar,018020803,,,,361,259,620,,,
"",,Sangar,018020804,,,,161,105,266,,,
"",,,,,,,658,464,1122,,,
73,"Government Girls Primary School SerianCombined",Sangar,018020805,,,,214,131,345,1,1,2
"",,Sangar,018020806,,,,49,24,73,,,
"",,,,,,,263,155,418,,,
74,"Government Middle School HangraiCombined",Hangrai,018010826,,,,127,87,214,2,1,3
"",,Hangrai,018010827,,,,276,188,464,,,
"",,,,,,,403,275,678,,,
75,"Government Primary School HangraiCombined",Hangrai,018010821,,,,61,35,96,2,1,3
Hangrai,018010822,,,,161,92,253,,,,,
Hangrai,018010825,,,,247,152,399,,,,,
"",,,,,469,279,748,,,,,
76,"Government Primary School Nalla HangraiCombined",Hangrai,018010823,,,,133,100,233,2,1,3
"",,Hangrai,018010824,,,,268,165,433,,,
"",,,,,,,401,265,666,,,
77,"Government Girls Primary School Bela BigarCombined (Improvised)",Ban Bigar,018010812,,,,117,78,195,2,1,3
"",,Ban Bigar,018010813,,,,165,109,274,,,
"",,Ban Bigar,018010814,,,,156,112,268,,,
"",,,,,,,438,299,737,,,
78,"Government Primary School Andhera Bela (Makhan Mohri)Combined (Improvised)",Ban Bigar,018010817,,,,243,153,396,1,1,2
"",,,,,,,243,153,396,,,
79,"GPS Tungli (Ban Bigar)Combined",Ban Bigar,018010815,,,,234,168,402,1,1,2
"",,Ban Bigar,018010816,,,,129,109,238,,,
"",,,,,,,363,277,640,,,
80,"Government Primary School Ban (Ban Bigar)Combined",Ban Bigar,018010818,,,,144,111,255,2,1,3
"",,Ban Bigar,018010819,,,,111,86,197,,,
"",,Ban Bigar,018010820,,,,160,105,265,,,
"",,,,,,,415,302,717,,,
81,"Government Primary School SewarCombined",Ghanaila,018010801,,,,235,159,394,1,1,2
"",,Ghanaila,018010802,,,,79,47,126,,,
"",,,,,,,314,206,520,,,
82,"Government Primary School ChakkaCombined",Ghanaila,018010803,,,,242,161,403,2,1,3
"",,Ghanaila,018010804,,,,76,46,122,,,
"",,Ghanaila,018010805,,,,114,77,191,,,
"",,Ghanaila,018010806,,,,45,28,73,,,
"",,,,,,,477,312,789,,,
83,"Government Primary School PandherCombined",Ghanaila,018010807,,,,122,75,197,1,1,2
"",,Ghanaila,018010808,,,,103,66,169,,,
"",,Ghanaila,018010811,,,,59,33,92,,,
"",,,,,,,284,174,458,,,
84,"Government Primary School Ghanaila PateekaCombined",Ghanaila,018010809,,,,106,71,177,1,1,2
"",,Ghanaila,018010810,,,,99,55,154,,,
"",,,,,,,205,126,331,,,
85,"Government Primary School Jabri ChoshalMale",Choshal,018020601,,,,487,0,487,3,0,3
Shukarha,018020602,,,,382,0,382,,,,,
"",,,,,869,0,869,,,,,
86,"Government Middle School Jabri ChoshalFemale",Choshal,018020601,,,,0,352,352,0,2,2
"",,Shukarha,018020602,,,,0,258,258,,,
"",,,,,,,0,610,610,,,
87,"Government Primary School BanjoCombined",Suwan,018020603,,,,491,308,799,2,1,3
"",,,,,,,491,308,799,,,
88,"Government Primary School Bela SachaMale",Bela Scha,018020604,,,,535,0,535,3,0,3
"",,Bela Scha,018020605,,,,459,0,459,,,
"",,Bagir,018020606,,,,4,0,4,,,
"",,,,,,,998,0,998,,,
89,"Government Middle School Bela SachaFemale (Shelter) (Improvised)",Bela Scha,018020604,,,,0,387,387,0,2,2
"",,Bela Scha,018020605,,,,0,315,315,,,
"",,Bagir,018020606,,,,0,4,4,,,
"",,,,,,,0,706,706,,,
90,"Government Primary School SatbaniCombined",Satbani,018010301,,,,146,121,267,2,2,4
"",,Satbani,018010302,,,,254,177,431,,,
"",,Satbani,018010303,,,,338,263,601,,,
"",,,,,,,738,561,1299,,,
91,"Government Primary School SarboriCombined (Shelter) (Improvised)",Satbani,018010304,,,,212,176,388,2,1,3
"",,Satbani,018010305,,,,387,305,692,,,
"",,,,,,,599,481,1080,,,
92,"Government Primary School Khait SarachCombined",Khait Serash,018010306,,,,188,136,324,2,1,3
"",,Khait Serash,018010308,,,,244,179,423,,,
"",,,,,,,432,315,747,,,
93,"Government High School Khait SarashCombined",Khait Serash,018010307,,,,632,482,1114,2,2,4
"",,,,,,,632,482,1114,,,
94,"Government Girls High School Khait SarashCombined",Khait Serash,018010309,,,,226,176,402,2,2,4
"",,Khait Serash,018010310,,,,426,325,751,,,
"",,,,,,,652,501,1153,,,
95,"Government Primary School JiggenCombined",Jiggen,018010311,,,,261,186,447,2,1,3
"",,Jiggen,018010312,,,,120,85,205,,,
"",,Jiggen,018010315,,,,194,152,346,,,
"",,,,,,,575,423,998,,,
96,"Government Primary School MangCombined",Jiggen,018010313,,,,582,411,993,2,2,4
Jiggen,018010314,,,,423,365,788,,,,,
"",,,,,1005,776,1781,,,,,
97,"Government Primary School PumbaraCombined",Pumbara Patlang,018010316,,,,614,495,1109,2,2,4
"",,Pumbara Patlang,018010317,,,,70,54,124,,,
"",,,,,,,684,549,1233,,,
98,"Government Primary School PatlangCombined",Pumbara Patlang,018010318,,,,75,53,128,2,2,4
"",,Pumbara Patlang,018010319,,,,473,361,834,,,
"",,,,,,,548,414,962,,,
99,"Government Primary School Thankda Katha Mitti KotCombined",Mitti Kot,018010113,,,,240,216,456,1,1,2
"",,Mitti Kot,018010115,,,,115,96,211,,,
"",,,,,,,355,312,667,,,
100,"Government High School Mitti KotCombined",Mitti Kot,018010114,,,,448,370,818,2,1,3
"",,,,,,,448,370,818,,,
101,"Government High School, BalakotMale (PS-I)",Balakot,018010106,,,,305,0,305,3,0,3
"",,Balakot,018010107,,,,706,0,706,,,
"",,,,,,,1011,0,1011,,,
102,"Government Girls Higher Secondary School, BalakotFemale (PS-I)",Balakot,018010106,,,,0,235,235,0,3,3
"",,Balakot,018010107,,,,0,550,550,,,
"",,,,,,,0,785,785,,,
103,"Government High School, BalakotMale (PS-II)",Balakot,018010108,,,,363,0,363,2,0,2
"",,Balakot,018010109,,,,323,0,323,,,
"",,,,,,,686,0,686,,,
104,"Government Girls Higher Secondary School, BalakotFemale (PS-II)",Balakot,018010108,,,,0,294,294,0,2,2
"",,Balakot,018010109,,,,0,251,251,,,
"",,,,,,,0,545,545,,,
105,"Government Middle School, BalakotMale",Balakot,018010101,,,,401,0,401,4,0,4
"",,Balakot,018010102,,,,176,0,176,,,
"",,Balakot,018010103,,,,165,0,165,,,
"",,Balakot,018010104,,,,220,0,220,,,
"",,Balakot,018010105,,,,298,0,298,,,
"",,,,,,,1260,0,1260,,,
106,"Government Primary School BalakotFemale",Balakot,018010101,,,,0,283,283,0,3,3
Balakot,018010102,,,,0,142,142,,,,,
Balakot,018010103,,,,0,147,147,,,,,
Balakot,018010104,,,,0,169,169,,,,,
Balakot,018010105,,,,0,274,274,,,,,
"",,,,,0,1015,1015,,,,,
107,"Government Primary School KharianMale",Balakot,018010110,,,,365,0,365,4,0,4
"",,Balakot,018010111,,,,333,0,333,,,
"",,Balakot,018010112,,,,502,0,502,,,
"",,,,,,,1200,0,1200,,,
108,"Government Primary School BamphoraFemale",Balakot,018010110,,,,0,288,288,0,3,3
"",,Balakot,018010111,,,,0,242,242,,,
"",,Balakot,018010112,,,,0,372,372,,,
"",,,,,,,0,902,902,,,
109,"Government Primary School, TarannaCombined",Taranna,018010116,,,,278,239,517,1,1,2
"",,,,,,,278,239,517,,,
110,"Government Middle School, Shohal Najaf KhanMale",Shohal Najaf Khan,018010117,,,,543,0,543,3,0,3
