"",1,,GGPS No. 3 Tank,,گورنمنٹ گرلز پرائمری سکول نمبر ٣ ٹانک,,Mohalla Maidan,,,,062050101,,0,,460,,460,,0,,3,,3,,Female,
"",,,,,,,Mohalla Sheikhan Wala / Qazian Wala,,,,062050205,,0,,490,,490,,,,,,,,,
"",2,,GGPS Mianwali,,گورنمنٹ گرلز پرائمری سکول مياں ولی,,Mohalla Maidan,,,,062050101,,609,,0,,609,,4,,0,,4,,Male,
"",,,,,,,Mohalla Sheikhan Wala / Qazian Wala,,,,062050205,,615,,0,,615,,,,,,,,,
"",3,,GSSCMHS No.1 Tank,,گورنمنٹ شہيدشيرنوازسينٹنيل ماڈل ہائی سکول نمبر١ ٹانک,,Mohalla Maidan,,,,062050102,,0,,383,,383,,0,,2,,2,,Female,
"",,,,,,,Mohalla Qasaban,,,,062050103,,0,,357,,357,,,,,,,,,
"",4,,GPS No.2 Branch,,گورنمنٹ پرائمری سکول نمبر٢برانچ,,Mohalla Maidan,,,,062050102,,510,,0,,510,,3,,0,,3,,Male,
"",,,,,,,Mohalla Qasaban,,,,062050103,,436,,0,,436,,,,,,,,,
"",5,,GPS No.3,,گورنمنٹ پرائمری سکول نمبر٣,,Gulshan  Colony / Phul Shah Basti,,,,062050104,,0,,521,,521,,0,,2,,2,,Female,
"",,,,,,,Gulshan Colony,,,,062050106,,0,,192,,192,,,,,,,,,
"",6,,"M.C Building, Tank",,ميونسپل کميٹی بلڈنگ، ٹانک,,Gulshan  Colony / Phul Shah Basti,,,,062050104,,617,,0,,617,,2,,0,,2,,Male,
"",,,,,,,Gulshan Colony,,,,062050106,,254,,0,,254,,,,,,,,,
"",7,,"GGPS Mohalla Mehsoodan, Tank",,"گورنمنٹ گرلز پرائمری سکول محلہ محسودان, ٹانک",,Phul Shah Basti / Moh:Mehsoodan,,,,062050105,,0,,374,,374,,0,,3,,3,,Female,
"",,,,,,,Barki Abad,,,,062050107,,0,,541,,541,,,,,,,,,
"",8,,GHS No.3 Tank,,گورنمٹ ہائی سکول نمبر٣ ٹانک,,Phul Shah Basti / Moh:Mehsoodan,,,,062050105,,489,,0,,489,,2,,0,,2,,Male,
"",,,,,,,Barki Abad,,,,062050107,,670,,0,,670,,,,,,,,,
"",9,,GGMS Qutab Colony Tank,,گورنمٹ گرلز مڈل سکول قطب کالونی ٹانک,,Qutab Colony,,,,062050206,,0,,437,,437,,0,,3,,3,,Female,
"",,,,,,,Qutab Colony,,,,062050207,,0,,435,,435,,,,,,,,,
"",,,,,,,Qutab Colony,,,,062050208,,0,,288,,288,,,,,,,,,
"",10,,GPS Qutab Colony Tank,,گورنمنٹ   پرائمری سکول قطب کالونی ٹانک,,Qutab Colony,,,,062050206,,672,,0,,672,,3,,0,,3,,Male,
"",,,,,,,Qutab Colony,,,,062050207,,545,,0,,545,,,,,,,,,
"",,,,,,,Qutab Colony,,,,062050208,,339,,0,,339,,,,,,,,,
"",11,,GGHS No.1 Tank,,گورنمٹ گرلز  ہائی سکول نمبر١ ٹانک,,Mohalla Sheikhan Wala / Sabir Abad,,"!",,062050202,,0,,568,,568,,0,,3,,3,,Female,
"",,,,,,,Mohalla Sheikhan Wala/ Qazian Wala,,,,062050204,,0,,332,,332,,,,,,,,,
"",12,,GHS No.2 Tank,,گورنمٹ ہائی سکول نمبر٢ ٹانک,,Mohalla Sheikhan Wala / Sabir Abad,,"!",,062050202,,734,,0,,734,,3,,0,,3,,Male,
"",,,,,,,Mohalla Sheikhan Wala/ Qazian Wala,,,,062050204,,417,,0,,417,,,,,,,,,
"",13,,"Govt. Girls Degree College, Tank",,گورنمٹ گرلز ڈگری کالج ٹانک,,Sheikhan Wala,,,,062050203,,0,,741,,741,,0,,2,,2,,Female,
"",14,,GPS Sabirabad,,گورنمنٹ پرائمری سکول صابر آباد,,Sheikhan Wala,,,,062050203,,921,,0,,921,,2,,0,,2,,Male,
"",,,,Mohalla Khudrianwala,,""""" """"#$$ $$&",,062050201,,0,,458,,458,,,,,,,,,,,,
"",,,,Mohalla Khudrian Wala/ Dost Muhammad Kati Khel,,"'()+,"""" """"#$$ $&$",,062050301,,0,,469,,469,,,,,,,,,,,,
"",16,,GPS No.1 Tank,,گورنمنٹ پرائمری سکول نمبر١ٹانک,,Mohalla Khudrianwala,,""""" """"#$$ $$&",,062050201,,609,,0,,609,,3,,0,,3,,Male,
"",,,,,,,Mohalla Khudrian Wala/Dost Muhammad Kati Khel,,"'()+,"""" """"#$$ $&$",,062050301,,545,,0,,545,,,,,,,,,
"",17,,GGPS No.2 Tank,,گورنمنٹ گرلز پرائمری سکول نمبر٢ ٹانک,,Mohalla Dost Muhammad Kati Khel,,"'()+,",,062050302,,0,,342,,342,,0,,2,,2,,Female,
