1,Government Primary School Sadu Khan,Sadu Khan,78010101,,,,181,164,345,1,1,2
"",,Sadu Khan,78010102,,,,127,105,232,,,
"",,Sadu Khan,78010103,,,,191,124,315,,,
"",,,,,,,499,393,892,,,
2,Government Primary School Marhani,Sadu Khan,78010104,,,,150,90,240,1,1,2
"",,Sadu Khan,78010105,,,,143,107,250,,,
"",,,,,,,293,197,490,,,
3,Government Primary School Danda,Sadu Khan,78010106,,,,168,105,273,1,1,2
"",,Sadu Khan,78010107,,,,293,219,512,,,
"",,Sadu Khan,78010108,,,,158,93,251,,,
"",,,,,,,619,417,1036,,,
4,Government Primary School Gul Dheri,Dour Maira,78010109,,,,47,76,123,1,1,2
"",,Dour Maira,78010110,,,,166,134,300,,,
"",,,,,,,213,210,423,,,
5,Government Primary School Daur Maira,Dour Maira,78010111,,,,163,144,307,1,1,2
"",,Dour Maira,78010112,,,,62,45,107,,,
"",,Dour Maira,78010113,,,,184,186,370,,,
"",,Dour,78010114,,,,174,141,315,,,
"",,,,,,,583,516,1099,,,
6,Government Girls Primary School Daur Payee,Dour,78010115,,,,76,59,135,1,1,2
"",,Dour,78010116,,,,269,249,518,,,
"",,,,,,,345,308,653,,,
7,Government Middle School Kund Dour,Kund Dour,78010401,,,,115,103,218,1,1,2
"",,Kund Dour,78010402,,,,120,115,235,,,
"",,Kund Dour,78010403,,,,202,172,374,,,
"",,,,,,,437,390,827,,,
8,Government Primary School Zeezaray,Zeezaray,78010404,,,,286,235,521,1,1,2
"",,Zeezaray,78010405,,,,284,246,530,,,
"",,,,,,,570,481,1051,,,
9,Government Primary School Halima Dada,Jabara (Seri),522010502,,,,283,236,519,1,1,2
"",,Halima Dada,78010117,,,,89,83,172,,,
"",,Halima Dada,78010118,,,,119,93,212,,,
"",,,,,,,491,412,903,,,
10,Government Primary School Dada Banda,Dada Banda,78010119,,,,66,57,123,1,1,2
"",,Dada Banda,78010120,,,,63,61,124,,,
"",,Dada Banda,78010121,,,,181,165,346,,,
"",,,,,,,310,283,593,,,
11,Government Primary School Soral,Sooral,522010501,,,,332,255,587,1,1,2
"",,,,,,,332,255,587,,,
12,Government Primary School Chamb Kalagay (Improvised),Cham Kalagay,78010215,,,,10,10,20,1,1,2
"",,Cham Kalagay,78010216,,,,150,125,275,,,
"",,Cham Kalagay,78010217,,,,64,46,110,,,
"",,Cham Kalagay,78010218,,,,7,5,12,,,
"",,Cham Kalagay,78010219,,,,12,8,20,,,
"",,Cham Kalagay,78010220,,,,97,87,184,,,
"",,Cham Kalagay,78010221,,,,23,11,34,,,
"",,Cham Kalagay,78010222,,,,24,24,48,,,
"",,Cham Kalagay,78010225,,,,69,58,127,,,
"",,Cham Kalagay,78010226,,,,44,29,73,,,
"",,Cham Kalagay,78010227,,,,94,73,167,,,
"",,Cham Kalagay,78010228,,,,1,1,2,,,
"",,,,,,,595,477,1072,,,
13,Government Primary School Banjo Banda,Cham Kalagay,78010223,,,,24,15,39,1,1,2
"",,Cham Kalagay,78010224,,,,126,112,238,,,
"",,,,,,,150,127,277,,,
14,Government Girls Primary School Kalish,Kalish,78010623,,,,189,116,305,1,1,2
"",,Kalish,78010624,,,,69,42,111,,,
"",,Kalish,78010625,,,,36,18,54,,,
"",,Kalish,78010626,,,,188,118,306,,,
"",,,,,,,482,294,776,,,
15,Government  Primary School Kalish,Kalish,78010627,,,,139,79,218,1,1,2
"",,Kalish,78010629,,,,205,130,335,,,
"",,,,,,,344,209,553,,,
16,Government  Girls Primary School Noor Kaleem,Kalish,78010628,,,,112,82,194,1,1,2
"",,Shagai,78010207,,,,179,105,284,,,
"",,Shagai,78010208,,,,98,71,169,,,
"",,,,,,,389,258,647,,,
17,Basic Health Unit Shangal Dar,Shangal Dar Bala,78010615,,,,53,38,91,1,1,2
"",,Shangal Dar Bala,78010616,,,,32,20,52,,,
"",,Shangal Dar Bala,78010617,,,,183,119,302,,,
"",,Shangal Dar Bala,78010618,,,,124,102,226,,,
"",,Shangal Dar Payee,78010619,,,,49,38,87,,,
"",,Shangal Dar Payee,78010620,,,,6,4,10,,,
"",,Shangal Dar Payee,78010621,,,,132,81,213,,,
"",,Shangal Dar Payee,78010622,,,,33,25,58,,,
"",,,,,,,612,427,1039,,,
18,Government Primary School Jigal,Jigal,78010201,,,,148,108,256,1,1,2
"",,,,,,,148,108,256,,,
19,Government Middle School Shahdag,Shahdag,78010202,,,,182,166,348,1,1,2
"",,Shahdag,78010203,,,,450,333,783,,,
"",,Shahdag,78010204,,,,77,47,124,,,
"",,,,,,,709,546,1255,,,
20,Government Girls Primary School Kandar Basi Khail,Kanduro (Basi Khail),78010205,,,,214,141,355,1,1,2
"",,Kanduro (Basi Khail),78010206,,,,42,34,76,,,
"",,,,,,,256,175,431,,,
21,Government Middle School Shagai Basi Khail,Shagai,78010209,,,,210,160,370,1,1,2
"",,,,,,,210,160,370,,,
22,Government Primary School Shagai Basi Khail,Shagai,78010210,,,,319,244,563,1,1,2
"",,Shagai,78010211,,,,242,160,402,,,
"",,Shagai,78010212,,,,105,82,187,,,
"",,,,,,,666,486,1152,,,
23,Government Primary School Suri Asharay.,Suri Ashray,78010801,,,,264,184,448,1,1,2
"",,Suri Ashray,78010802,,,,94,68,162,,,
"",,,,,,,358,252,610,,,
24,Government Girls Primary School No.2 Judbah,Judbah,78010301,,,,77,56,133,1,1,2
"",,Judbah,78010302,,,,122,104,226,,,
"",,Judbah,78010303,,,,85,53,138,,,
"",,Judbah,78010304,,,,153,115,268,,,
"",,,,,,,437,328,765,,,
25,Government Middle School Judbah,Judbah,78010305,,,,133,103,236,1,1,2
"",,Judbah,78010306,,,,47,30,77,,,
"",,Judbah,78010307,,,,13,8,21,,,
"",,Judbah,78010308,,,,77,62,139,,,
"",,Judbah,78010309,,,,45,33,78,,,
"",,,,,,,315,236,551,,,
26,Government Primary School Judbah Maira,Judbah,78010310,,,,268,209,477,1,1,2
"",,Judbah,78010311,,,,88,70,158,,,
"",,Gumbat,78010406,,,,77,47,124,,,
"",,Gumbat,78010407,,,,159,106,265,,,
"",,,,,,,592,432,1024,,,
27,Government Primary School Harnail Basi Khail,Harnail,78010313,,,,202,131,333,1,1,2
"",,Harnail,78010314,,,,131,101,232,,,
"",,,,,,,333,232,565,,,
28,Government Primary School Shaloon,Shaloon,78010706,,,,227,167,394,1,1,2
"",,Shaloon,78010707,,,,133,105,238,,,
"",,,,,,,360,272,632,,,
29,Government Primary School Petaow Asharay (Improvised),Petaow Asharay,78010213,,,,336,231,567,1,1,2
"",,Petaow Asharay,78010214,,,,123,109,232,,,
"",,Khanakay,78010704,,,,118,68,186,,,
"",,,,,,,577,408,985,,,
30,Government Primary School Saloo (Improvised),Gitto,78010814,,,,344,124,468,1,1,2
"",,,,,,,344,124,468,,,
31,Government Girls Primary School Gitto (Improvised),Gitto,78010813,,,,329,210,539,1,1,2
"",,Gitto,78010815,,,,231,165,396,,,
"",,Gitto,78010816,,,,172,98,270,,,
"",,,,,,,732,473,1205,,,
32,Government Primary School Handay,Zangia,78010822,,,,315,213,528,1,1,2
"",,Zangia,78010823,,,,121,68,189,,,
"",,,,,,,436,281,717,,,
33,Government Primary School Zangia,Domail,78010705,,,,111,60,171,1,1,2
"",,Zangia,78010824,,,,112,64,176,,,
"",,Zangia,78010825,,,,222,127,349,,,
"",,,,,,,445,251,696,,,
34,Government Primary School Utlair (Improvised),Utlair,78010315,,,,398,240,638,1,1,2
"",,Utlair,78010316,,,,103,66,169,,,
"",,,,,,,501,306,807,,,
35,Government Middle School Cheer,Cheer,78010312,,,,408,342,750,1,1,2
"",,,,,,,408,342,750,,,
36,Government Primary School Sari Kandow,Giggani,78010320,,,,309,212,521,1,1,2
"",,Giggani,78010321,,,,167,100,267,,,
"",,Giggani,78010322,,,,43,30,73,,,
"",,Giggani,78010323,,,,93,84,177,,,
"",,,,,,,612,426,1038,,,
37,Government Girls Primary School Jhatka,Jatka,78010806,,,,69,33,102,1,1,2
"",,Jatka,78010807,,,,55,33,88,,,
"",,Jatka,78010808,,,,106,69,175,,,
"",,Jatka,78010810,,,,56,25,81,,,
"",,Jatka,78010811,,,,61,37,98,,,
"",,Jatka,78010812,,,,162,114,276,,,
"",,,,,,,509,311,820,,,
38,Government Primary School Karan Sydan (Improvised),Mori Danna,78010317,,,,163,113,276,1,1,2
"",,Mori Danna,78010318,,,,98,77,175,,,
"",,Mori Danna,78010319,,,,76,53,129,,,
"",,Kalaser,78010708,,,,155,84,239,,,
"",,Jatka,78010809,,,,149,84,233,,,
"",,,,,,,641,411,1052,,,
39,Government Primary School Shatal Kasi,Shatal,78010817,,,,70,44,114,1,1,2
"",,Shatal,78010818,,,,66,48,114,,,
"",,Shatal,78010819,,,,57,44,101,,,
"",,Shatal,78010820,,,,141,80,221,,,
"",,Shatal,78010821,,,,309,171,480,,,
"",,,,,,,643,387,1030,,,
40,Government Primary School Soorban,Soorban,78010803,,,,43,22,65,1,1,2
"",,Soorban,78010804,,,,97,40,137,,,
"",,Soorban,78010805,,,,333,174,507,,,
"",,,,,,,473,236,709,,,
41,Government Middle School Bartooni,Bartooni-1,78010601,,,,105,82,187,1,1,2
"",,Bartooni-1,78010602,,,,22,13,35,,,
"",,Bartooni-1,78010603,,,,141,111,252,,,
"",,Bartooni-1,78010604,,,,262,169,431,,,
"",,Bartooni-1,78010605,,,,81,65,146,,,
"",,,,,,,611,440,1051,,,
42,Government Primary School Kobai Bartooni,Bartooni-1,78010606,,,,219,169,388,1,1,2
"",,Bartooni-2,78010610,,,,124,95,219,,,
"",,Bartooni-2,78010611,,,,6,3,9,,,
"",,Bartooni-2,78010612,,,,71,49,120,,,
"",,Bartooni-2,78010613,,,,18,23,41,,,
"",,Bartooni-2,78010614,,,,124,89,213,,,
"",,,,,,,562,428,990,,,
43,Government Primary School Chapra Bartooni,Bartooni-1,78010607,,,,170,139,309,1,1,2
"",,Bartooni-1,78010608,,,,107,76,183,,,
"",,Bartooni-2,78010609,,,,96,88,184,,,
"",,,,,,,373,303,676,,,
44,Government Primary School Kamaser,Kamaser,78010507,,,,104,78,182,1,1,2
"",,Kamaser,78010508,,,,200,143,343,,,
"",,Kamaser,78010509,,,,364,220,584,,,
"",,,,,,,668,441,1109,,,
45,Government Middle School Mangri,Mangri,78010510,,,,130,93,223,1,1,2
"",,Mangri,78010511,,,,186,144,330,,,
"",,Mangri,78010512,,,,132,102,234,,,
"",,Mangri,78010513,,,,184,126,310,,,
"",,,,,,,632,465,1097,,,
46,Government Girls Primary School Kotlay (Improvised),Kotlay,78010408,,,,162,136,298,1,1,2
"",,Kotlay,78010409,,,,92,60,152,,,
"",,,,,,,254,196,450,,,
47,Government Primary School Soormal Nusrat Khail,Soormal (Nusrat Khail),78010504,,,,318,212,530,1,1,2
"",,,,,,,318,212,530,,,
48,Government Primary School Balkot,Balkot,78010410,,,,53,37,90,1,1,2
"",,Balkot,78010411,,,,133,85,218,,,
"",,Balkot,78010412,,,,118,77,195,,,
"",,,,,,,304,199,503,,,
49,Government Girls Primary School Balkot,Balkot,78010413,,,,82,57,139,1,1,2
"",,Balkot,78010414,,,,302,201,503,,,
"",,,,,,,384,258,642,,,
50,Government Primary School Sachka,Sachka,78010505,,,,272,230,502,1,1,2
"",,Sachka,78010506,,,,233,189,422,,,
"",,,,,,,505,419,924,,,
51,Government Primary School Phagban (PS-I) (Improvised),Phagban,78010501,,,,479,382,861,1,1,2
"",,,,,,,479,382,861,,,
52,Government Primary School Phagban (PS-II)(Improvised),Phagban,78010502,,,,144,111,255,1,1,2
"",,Phagban,78010503,,,,256,240,496,,,
"",,,,,,,400,351,751,,,
53,Government Primary School Kand Bala,Kund Bala,522010107,,,,268,207,475,1,1,2
"",,,,,,,268,207,475,,,
54,Government Primary School Gud Gali,Kund Bala,522010108,,,,304,233,537,1,1,2
"",,,,,,,304,233,537,,,
55,Government Girls Primay School Kand Payee,Kund Payee,522010109,,,,267,189,456,1,1,2
"",,Kund Payee,522010110,,,,209,111,320,,,
"",,,,,,,476,300,776,,,
56,Government Middle School Dharo,Dharo,522010101,,,,62,41,103,1,1,2
"",,Dharo,522010102,,,,77,59,136,,,
"",,Dharo,522010103,,,,53,33,86,,,
"",,Dharo,522010104,,,,164,119,283,,,
"",,Dharo,522010105,,,,58,37,95,,,
"",,,,,,,414,289,703,,,
57,Government Primary School Torum,Torum,522010106,,,,203,135,338,1,1,2
"",,,,,,,203,135,338,,,
58,Government Primary School Zunglay,Zunglay,522010308,,,,101,50,151,1,1,2
"",,Zunglay,522010309,,,,140,84,224,,,
"",,Zunglay,522010310,,,,90,57,147,,,
"",,,,,,,331,191,522,,,
59,Government Primary School Beran (Improvised),Lari Beernar,522010304,,,,44,29,73,1,1,2
"",,Lari Beernar,522010305,,,,44,14,58,,,
"",,Lari Beernar,522010306,,,,69,73,142,,,
"",,,,,,,157,116,273,,,
60,Government Primary School Copra  (Improvised),Copra,522010414,,,,197,145,342,1,1,2
"",,Copra,522010415,,,,45,45,90,,,
"",,,,,,,242,190,432,,,
61,Government Middle School Darbani,Darbani,522010209,,,,67,49,116,1,1,2
"",,Darbani,522010210,,,,229,211,440,,,
"",,Darbani,522010211,,,,37,49,86,,,
"",,,,,,,333,309,642,,,
62,Government Girls Primary School Arabay Jalbang (improvised),Darbani,522010212,,,,92,77,169,1,1,2
"",,Darbani,522010213,,,,55,40,95,,,
"",,Darbani,522010214,,,,114,85,199,,,
"",,Pirkhail Akazai,522010301,,,,59,45,104,,,
"",,Pirkhail Akazai,522010302,,,,59,37,96,,,
"",,Pirkhail Akazai,522010303,,,,106,62,168,,,
"",,,,,,,485,346,831,,,
63,Government Primary School Lashora,Lashora,522010215,,,,212,204,416,1,1,2
"",,Lashora,522010216,,,,201,185,386,,,
"",,,,,,,413,389,802,,,
64,Government Girls Primary School Machra Akazai,Lashora,522010217,,,,328,299,627,1,1,2
"",,,,,,,328,299,627,,,
65,Government Primary School Sormal Akazai,Soormal Akazai,522010111,,,,171,147,318,1,1,2
"",,Soormal Akazai,522010112,,,,155,117,272,,,
"",,,,,,,326,264,590,,,
66,Government Primary School Maira Akazai,Maira Akazai,522010206,,,,310,217,527,1,1,2
"",,Maira Akazai,522010207,,,,120,100,220,,,
"",,,,,,,430,317,747,,,
67,Government Primary School Khadang,Maira Akazai,522010208,,,,439,375,814,1,1,2
"",,,,,,,439,375,814,,,
68,Government High School Bimbal,Bimbal,522010201,,,,223,183,406,1,1,2
"",,Bimbal,522010202,,,,127,129,256,,,
"",,Bimbal,522010203,,,,140,147,287,,,
"",,,,,,,490,459,949,,,
69,Government Primary School Baliyani,Baliyani Akazai,522010204,,,,337,288,625,1,1,2
"",,Baliyani Akazai,522010205,,,,209,182,391,,,
"",,,,,,,546,470,1016,,,
70,Government Primary School Reel Boryan,Karoon,522010405,,,,80,50,130,1,1,2
"",,Karoon,522010407,,,,35,19,54,,,
"",,,,,,,115,69,184,,,
71,Government Middle School Seri Kohani,Karoon,522010406,,,,162,116,278,1,1,2
"",,Karoon,522010408,,,,155,99,254,,,
"",,Karoon,522010409,,,,54,45,99,,,
"",,,,,,,371,260,631,,,
