1,2,3,4,5,6,7,8,9,10,11
1,AGRICULTURAL OFFICE ATTOCK (MALE) I (P),Mohallah Mehmood Abad,101030405,,464,0,464,,,
"",,Mohallah Mehmood Abad,101030406,,983,0,983,,,
"",,Total: -,,,1447,0,1447,4,0,4
2,"GOVT. GIRLS HIGH SCHOOL PEOPLES COLONYATTOCK (FEMALE) II (P)",Mohallah Mehmood Abad,101030405,,0,438,438,,,
"",,Mohallah Mehmood Abad,101030406,,0,881,881,,,
"",,Total: -,,,0,1319,1319,0,4,4
3,"AGRICUTURAL OFFICE ATTOCK OFFICE OFRESEARCH OFFICER (MALE II) (P)",Darus Salam Colony,101030202,,316,0,316,,,
"",,Darus Salam Colony,101030203,,497,0,497,,,
"",,Darus Salam Colony,101030301,,286,0,286,,,
"",,Total: -,,,1360,0,1360,4,0,4
4,"AGRICUTURAL OFFICE ATTOCK OFFICE OFRESEARCH OFFICER (FEMALE II) (P)",Darus Salam Colony,101030202,,0,271,271,,,
"",,Darus Salam Colony,101030203,,0,508,508,,,
"",,Darus Salam Colony,101030301,,0,259,259,,,
"",,Total: -,,,0,1038,1038,0,3,3
5,AGRICULTURAL OFFICE ATTOCK (MALE) (P),Darus Salam Colony,101030204,,512,0,512,,,
"",,Darus Salam Colony,101030205,,165,0,165,,,
"",,Darus Salam Colony,101030302,,261,0,261,,,
"",,Darus Salam Colony,101030308,,196,0,196,,,
"",,Total: -,1134,0,1134,4,0,4,,
6,"GOVT. BOYS HIGHER SECONDARY SCHOOL  ATTOCK(FEMALE) (P)",Darus Salam Colony,101030204,,0,551,551,,,
"",,Darus Salam Colony,101030205,,0,277,277,,,
"",,Darus Salam Colony,101030302,,0,221,221,,,
"",,Darus Salam Colony,101030308,,0,185,185,,,
"",,Total: -,,,0,1234,1234,0,4,4
7,"M.C. BOYS PRIMARY SCHOOL BEHAR COLONYATTOCK. (MALE)(P)",Mehrpura Gharbi,101030403,,598,0,598,,,
"",,Mehrpura Gharbi,101030410,,52,0,52,,,
"",,Mohallah Muhammadpur Colony,101030404,,382,0,382,,,
"",,Total: -,,,1032,0,1032,3,0,3
8,"M.C. GIRLS ELEMENTARY SCHOOL MEHR PURA(WEST) ATTOCK (FEMALE) (P)",Mehrpura Gharbi,101030403,,0,535,535,,,
Mehrpura Gharbi,101030410,,0,80,80,,,,,
Mohallah Muhammadpur Colony,101030404,,0,339,339,,,,,
Total: -,,,0,954,954,0,3,3,,
Peoples Colony,101030401,,420,0,420,,,,,
9,"GOVT. GIRLS HIGH SCHOOL PEOPLES COLONYATTOCK (MALE) (P)",Madni/Peoples Colony,101030304,,328,0,328,,,
"",,"Block-B Peoples ColonyMadni/Peoples Colony",101030307,,210,0,210,,,
"",,,101030310,,8,0,8,,,
"",,Madni/Peoples Colony,101030311,,3,0,3,,,
"",,Madni/Peoples Colony,101030312,,153,0,153,,,
"",,Total: -,,,1406,0,1406,4,0,4
10,"GOVT. GIRLS HIGH SCHOOL PEOPLES COLONYATTOCK (FEMALE) (P)",Peoples Colony,101030401,,0,387,387,,,
"",,Peoples Colony,101030408,,0,284,284,,,
"",,Madni/Peoples Colony,101030304,,0,301,301,,,
"",,"Block-B Peoples ColonyMadni/Peoples Colony",101030307,,0,181,181,,,
"",,,101030310,,0,5,5,,,
"",,Madni/Peoples Colony,101030311,,0,0,0,,,
"",,Madni/Peoples Colony,101030312,,0,105,105,,,
"",,Total: -,,,0,1263,1263,0,4,4
11,"DEAF & DEFECTIVE HEARING SCHOOL PEOPLECOLONY  ATTOCK (MALE)(P)",Peoples Colony,101030305,,611,0,611,,,
"",,Peoples Colony,101030306,,228,0,228,,,
"",,Peoples Colony,101030309,,518,0,518,,,
"",,Total: -,,,1357,0,1357,4,0,4
12,"DEAF & DEFECTIVE HEARING SCHOOL PEOPLECOLONY  ATTOCK (FEMALE)(P)",Peoples Colony,101030305,,0,492,492,,,
"",,Peoples Colony,101030306,,0,215,215,,,
"",,Peoples Colony,101030309,,0,453,453,,,
"",,Total: -,,,0,1160,1160,0,4,4
13,"DEAF & DEFECTIVE HEARING SCHOOL PEOPLECOLONY  ATTOCK (MALE)(P)",Farooq e Azam Colony,101030402,,1,0,1,,,
"",,Farooq e Azam Colony,101030407,,2,0,2,,,
"",,Farooq e Azam Colony,101030409,,750,0,750,,,
"",,Total: -,,,753,0,753,2,0,2
14,"DEAF & DEFECTIVE HEARING SCHOOL PEOPLECOLONY  ATTOCK (FEMALE)(P)",Farooq e Azam Colony,101030402,,0,6,6,,,
"",,Farooq e Azam Colony,101030407,,0,56,58,,,
"",,Farooq e Azam Colony,101030409,,0,625,1375,,,
"",,Total: -,,,0,687,1439,0,4,4
15,"OFFICE OF THE DEPUTY DISTRICT OFFICER,AGRICULTURE (Extension) (COMBINED)",Mohallah Mehrpura Sharqi,101030101,,610,576,1186,,,
"",,Total: -,,,610,576,1186,2,2,4
16,SOIL CONSERVATION OFFICE ATTOCK (MALE)(P),Mohallah Mehrpura Sharqi,101030102,,536,0,536,,,
"",,Mohallah Mehrpura Sharqi,101030103,,456,0,456,,,
"",,Total: -,,,992,0,992,3,0,3
17,SOIL CONSERVATION OFFICE ATTOCK (FEMALE)(P),Mohallah Mehrpura Sharqi,101030102,,0,485,485,,,
Mohallah Mehrpura Sharqi,101030103,,0,473,473,,,,,
Total: -,,,0,958,958,0,3,3,,
""
""
"",18,"GOVT. BOYS HIGHER SECONDARY SCHOOL (HALL)(MALE)(P)",Mohallah Awan Sharif/Christian Town,101030104,,334,0,334,,,
"",,,Mohallah Awan Sharif,101030105,,329,0,329,,,
