1,2,3,,4,5,6,,7,,8,9,,10,,11,
1,Govt Tibbia College near Sabzi,"Hafeez Colony,",239070201,,,,719,,0,719,,4,,0,,4
"","Mandi, Bahawalpur (Male)",Miani Mandar,,,,,,,,,,,,,,
"",(Academic Portion).,Mohallah Miani,239070202,,,,260,,0,260,,,,,,
"",,Mandar,,,,,,,,,,,,,,
"",,"Model Town-B,",239070204,,,,373,,0,373,,,,,,
"",,Shams Colony,,,,,,,,,,,,,,
"",,,,,,,1352,,0,1352,,,,,,
2,Govt Tibbia College near Sabzi,"Hafeez Colony,",239070201,,,,0,,587,587,,0,,3,,3
"","Mandi, Bahawalpur (Female)",Miani Mandar,,,,,,,,,,,,,,
"",(Hospital Portion).,Mohallah Miani,239070202,,,,0,,203,203,,,,,,
"",,Mandar,,,,,,,,,,,,,,
"",,"Model Town-B,",239070204,,,,0,,328,328,,,,,,
"",,Shams Colony,,,,,,,,,,,,,,
"",,,,,,,0,,1118,1118,,,,,,
3,"Office District Live Stock, Habib",Izzafi Habib,239070501,,,,241,,0,241,,3,,0,,3
"",Colony (Male).,Colony,,,,,,,,,,,,,,
"",,Izzafi Habib,239070502,,,,353,,0,353,,,,,,
"",,"Colony, Gulshan",,,,,,,,,,,,,,
"",,Faiz,,,,,,,,,,,,,,
"",,"Rehmat Colony,",239070505,,,,455,,0,455,,,,,,
"",,Habib Colony,,,,,,,,,,,,,,
"",,,,,,,1049,,0,1049,,,,,,
4,Office Assistant Direcotr,Izzafi Habib,239070501,,,,0,,198,198,,0,,3,,3
"","Agriculture Tahfuz Nabatat,",Colony,,,,,,,,,,,,,,
"",Gulburg Road Nursery (Female).,Izzafi Habib,239070502,,,,0,,336,336,,,,,,
"",,"Colony, Gulshan",,,,,,,,,,,,,,
"",,Faiz,,,,,,,,,,,,,,
"",,"Rehmat Colony,",239070505,,,,0,,428,428,,,,,,
"",,Habib Colony,,,,,,,,,,,,,,
"",,,,,,,0,,962,962,,,,,,
5,Govt. Boys Primary School Basti,Agha Pur,239060803,,,,412,,360,772,,2,,2,,4
"","Bheen, Agha Pur (Combined)",Agha Pur,239060804,,,,380,,321,701,,,,,,
"",,Model Town,239070407,,,,136,,133,269,,,,,,
"",,Ghalla Mandi,,,,,,,,,,,,,,
"",,,,,,,928,,814,1742,,,,,,
6,"Homeo Pathic College, Model","Model Town-B,",239070203,,,,248,,0,248,,4,,0,,4
"","Town-B, Bahawalpur (Western",Haidar Colony,,,,,,,,,,,,,,
"",Portion) (Male).,"Model Town-B,",239070405,,,,221,,0,221,,,,,,
"",,Official Colony,,,,,,,,,,,,,,
"",,"Model Town-B,",239070406,,,,417,,0,417,,,,,,
"",,Basti Dewan,,,,,,,,,,,,,,
"",,,,,,,886,,0,886,,,,,,
7,Office Market Committee Ghalla,"Model Town-B,",239070203,,,,0,,238,238,,0,,4,,4
"","Mandi, Model Town-B,",Haidar Colony,,,,,,,,,,,,,,
"",Bahawalpur (Female).,"Model Town-B,",239070405,,,,0,,194,194,,,,,,
"",,Official Colony,,,,,,,,,,,,,,
"",,"Model Town-B,",239070406,,,,0,,339,339,,,,,,
"",,Basti Dewan,,,,,,,,,,,,,,
"",,,,,,,0,,771,771,,,,,,
8,"Public Park Model Town-C, Public",Model Town-C,239070103,,,,421,,0,421,,4,,0,,4
"","Side, Govt High School, Shahdra",,,,,,,,,,,,,,,
"","Public Park Model Town-C, Public",,,,,,,,
"","Side, Govt High School, Shahdra",Model Town-C,239070104,495,0,495,,,
"",(High Section) (Male),,,,,,,,
"",,Model Town-C,239070107,382,0,382,,,
"",,,,1298,0,1298,,,
9,"Govt High School, Shahdra (High",Model Town-C,239070103,0,393,393,0,3,3
"","Section) Model Town-C,",Model Town-C,239070104,0,458,458,,,
"",Bahawalpur (Female),,,,,,,,
"",,Model Town-C,239070107,0,364,364,,,
"",,,,0,1215,1215,,,
10,"Govt Girls Primary School, Kousar","Kousar Colony,",239070408,470,0,470,4,0,4
"","Colony, Bahawalpur (Male).62",Shahdra Road,,,,,,,
"",,Commercial,239070409,814,0,814,,,
"",,Colony,,,,,,,
"",,Commercial,239070410,316,0,316,,,
"",,Colony,,,,,,,
"",,,,1600,0,1600,,,
11,"MC Model Girls High School,","Kousar Colony,",239070408,0,334,334,0,3,3
"","Model Town-B, near Kousar",Shahdra Road,,,,,,,
"","Colony near Ghalla Mandi,",Commercial,239070409,0,707,707,,,
"",Bahawalpur (Female).63,Colony,,,,,,,
"",,Commercial,239070410,0,222,222,,,
"",,Colony,,,,,,,
"",,,,0,1263,1263,,,
12,"Govt Shahdra High School, Pakki","Rehman Colony,",239070101,329,0,329,4,0,4
"","Mohajir Colony, Peoples Colony,",Khan Colony,,,,,,,
"",Tahli Wala (Male) (Primary,Rehman Colony,239070102,401,0,401,,,
"",Section).,"Peoples Colony,",239070106,229,0,229,,,
"",,Model Town-B,,,,,,,
"",,"Rehman Colony,",239070108,198,0,198,,,
"",,Khan Colony,,,,,,,
"",,Pakki Mohajir,239070402,828,0,828,,,
"",,Colony,,,,,,,
"",,,,1985,0,1985,,,
13,"Govt Shahdra High School, Model","Rehman Colony,",239070101,0,265,265,0,3,3
"","Town-C, Bahawalpur (Female).",Khan Colony,,,,,,,
"",,Rehman Colony,239070102,0,328,328,,,
"",,"Peoples Colony,",239070106,0,206,206,,,
"",,Model Town-B,,,,,,,
"",,"Rehman Colony,",239070108,0,190,190,,,
"",,Khan Colony,,,,,,,
"",,Pakki Mohajir,239070402,0,568,568,,,
"",,Colony,,,,,,,
"",,,,0,1557,1557,,,
14,"Govt Girls Elementary School,",Shahdra,239070105,726,0,726,4,0,4
"",Basti Shahdra near Jamia Masjid,Kachi Mohajir,239070401,407,0,407,,,
"",(Male),Colony,,,,,,,
"",,Shahdra,239070403,666,0,666,,,
"",,"Shahdra, Model",239070404,585,0,585,,,
"",,Town-B,,,,,,,
"",,,,2384,0,2384,,,
15,Office Union Council Basti,Shahdra,239070105,0,571,571,0,4,4
"",Shahdra (Female).,Kachi Mohajir,239070401,0,306,306,,,
"",,Colony,,,,,,,
"",,Shahdra,239070403,0,538,538,,,
"",,"Shahdra, Model",239070404,0,490,490,,,
"",,Town-B,,,,,,,
"",,,,0,1905,1905,,,
16,Office Agriculture Engineering,"Farooq Town,",239070506,137,0,137,2,0,2
"",Punjab Ahmedpur East Road near,Balouch Colony,,,,,,,
"",Zakhira (Male),"Sarwar Abad,",239070507,342,0,342,,,
"",,Labana Chowk,,,,,,,
"",,"Farooq Town,",239070508,241,0,241,,,
"",,Balouch Colony,,,,,,,
"",,"Goth Ghanni,",239070701,486,0,486,,,
"",,Labana Chowk,,,,,,,
"",,,,1206,0,1206,,,
