Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. ofvoters on theelectoral rollin caseelectoral areais bifurcated","Number of voters assigned to pollingstation",Number of polling  booths,,,,,,
"",,"Name of ElectoralAreas","Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Government Boys High SchoolThanil Kamal",THANIL KAMAL,128050301,-,-,,553,0,553,2,0,2
"",,THANIL KAMAL,128050302,-,-,,274,0,274,,,
"",,THANIL KAMAL,128050303,-,-,,173,0,173,,,
1 Total,,,,-,-,-,1000,0,1000,2,0,2
2,"Government Boys High SchoolThanil Kamal",THANIL KAMAL,128050301,-,-,,0,519,519,0,2,2
"",,THANIL KAMAL,128050302,-,-,,0,285,285,,,
"",,THANIL KAMAL,128050303,-,-,,0,137,137,,,
2 Total,,,,-,-,-,0,941,941,0,2,2
3,"Government Girls High SchoolThanil Kamal",THANIL KAMAL,128050304,-,-,,0,194,194,0,2,2
"",,THANIL KAMAL,128050305,-,-,,0,234,234,,,
"",,THANIL KAMAL,128050306,-,-,,0,152,152,,,
"",,"THANIL KAMAL(DANGI ZAIR)",128050307,-,-,,0,271,271,,,
3 Total,,,,-,-,-,0,851,851,0,2,2
4,"Government Girls High SchoolThanil Kamal",THANIL KAMAL,128050304,-,-,,199,0,199,2,0,2
"",,THANIL KAMAL,128050305,-,-,,300,0,300,,,
"",,THANIL KAMAL,128050306,-,-,,164,0,164,,,
"",,"THANIL KAMAL(DANGI ZAIR)",128050307,-,-,,302,0,302,,,
4 Total,,,,-,-,-,965,0,965,2,0,2
5,"Government Boys Primary SchoolHarraj",HARAJ (PIND DAKHLI),128050205,-,-,,512,477,989,1,1,2
6,"Government Boys ElementarySchool Dhoke Mureed",HARAJ (DANGI ZAIR),128050206,-,-,,497,471,968,1,1,2
6 Total,,,,-,-,-,497,471,968,1,1,2
7,"Government Boys ElementarySchool Ghug",GHUG,128050402,-,-,,522,443,965,2,2,4
"",,GHUG,128050403,-,-,,346,342,688,,,
7 Total,,,,-,-,-,868,785,1653,2,2,4
8,"Government Boys High SchoolMehro Peelo",PEELO,128040304,-,-,,587,586,1173,1,1,2
"",,"RAKH PEELO (DHOKEJALIAN)",128040307,-,-,,13,11,24,,,
8 Total,,,,-,-,-,600,597,1197,1,1,2
9,"Government Girls Primary SchoolDingi Bala",DINGI,128040201,-,-,,323,256,579,1,1,2
9 Total,,,,-,-,-,323,256,579,1,1,2
10,"Government Girls High SchoolMehro Peelo",MEHRO,128040301,-,-,,346,375,721,2,1,3
"",,MEHRO,128040302,-,-,,172,171,343,,,
"",,MEHRO,128040303,-,-,,56,55,111,,,
"",,MADAT ABAD,128040305,-,-,,6,4,10,,,
10 Total,,,,-,-,-,580,605,1185,2,1,3
11,"Government Primary School Gah.",GAH,128040401,-,-,,195,185,380,2,1,3
"",,GAH,128040402,-,-,,442,415,857,,,
11 Total,,,,-,-,-,637,600,1237,2,1,3
12,"Government Elementary SchoolBegal (Primary Portion)",BIGAL,128040403,-,-,,614,573,1187,2,1,3
12 Total,,,,-,-,-,614,573,1187,2,1,3
13,"Government Primary SchoolSohair",SOHER,128040503,-,-,,351,393,744,1,1,2
13 Total,,,,-,-,-,351,393,744,1,1,2
14,"Government Elementary SchoolKhara",KHARA,128040504,-,-,,649,654,1303,2,1,3
14 Total,,,,-,-,-,649,654,1303,2,1,3
15,"Government Model PrimarySchool Marath",MARATH,128040404,-,-,,462,447,909,1,1,2
15 Total,,,,-,-,-,462,447,909,1,1,2
16 Total,,,,-,-,-,398,360,758,1,1,2
17,Basic Health Unit Neela,"NEELA (MOHALLAHKAMRAN ABAD)",128040903,-,-,,322,326,648,2,2,4
"",,NILA,128040905,-,-,,484,449,933,,,
17 Total,,,,-,-,-,806,775,1581,2,2,4
18,"Government Girls Model PrimarySchool Dhok Ranjha","NEELA (DHOKERANJHA)",128040901,-,-,,456,374,830,1,1,2
18 Total,,,,-,-,-,456,374,830,1,1,2
19,"Government Girls High SchoolNeela","NEELA (NAZD BAIRIWALI MASJID)",128040904,-,-,,760,699,1459,2,2,4
19 Total,,,,-,-,-,760,699,1459,2,2,4
20,Government High School Dulha,"DULLAH (DHOKESHEREEN, DHOKELUDHIAL)",128040101,-,-,,477,0,477,3,0,3
"",,"DULLAH (DHOKEGHUGH)",128040102,-,-,,358,0,358,,,
"",,"DULLAH (MOHALLAHSHUMALI WALLAH,MOHALLAH SHARQI)",128040104,-,-,,621,0,621,,,
20 Total,,,,-,-,-,1456,0,1456,3,0,3
21,Government High School Dullah,"DULLAH (DHOKESHEREEN, DHOKELUDHIAL)",128040101,-,-,,0,415,415,0,2,2
"DULLAH (DHOKEGHUGH)",128040102,-,-,,0,306,306,,,,,
"DULLAH (MOHALLAHSHUMALI WALLAH,MOHALLAH SHARQI)",128040104,-,-,,0,653,653,,,,,
22,"Government Primary SchoolJabbi",GABBI,128040501,-,-,,469,359,828,2,2,4
"",,GABBI,128040502,-,-,,472,413,885,,,
22 Total,,,,-,-,-,941,772,1713,2,2,4
23,"Government Primary SchoolDhoke Dabri",DHOK DABRI,128040505,-,-,,410,387,797,2,2,4
"",,DHOK DABRI,128040506,-,-,,381,339,720,,,
23 Total,,,,-,-,-,791,726,1517,2,2,4
24,"Government Primary SchoolChackoka Dullah.","DULLAH (DHOKEKOKA)",128040103,-,-,,297,0,297,3,0,3
"",,"DULLAH (MOHALLAHDHAKI MUGHLAN)",128040105,-,-,,246,0,246,,,
"",,"DULLAH ( DHOKEGONDAL)",128040106,-,-,,182,0,182,,,
"",,"DULLAH (CHAK KOOKAA, DHOKEBHANDAR)",128040107,-,-,,647,0,647,,,
24 Total,,,,-,-,-,1372,0,1372,3,0,3
25,"Government Primary SchoolChackoka Dullah.","DULLAH (DHOKEKOKA)",128040103,-,-,,0,263,263,0,2,2
"",,"DULLAH (MOHALLAHDHAKI MUGHLAN)",128040105,-,-,,0,231,231,,,
"",,"DULLAH ( DHOKEGONDAL)",128040106,-,-,,0,151,151,,,
"",,"DULLAH (CHAK KOOKAA, DHOKEBHANDAR)",128040107,-,-,,0,633,633,,,
25 Total,,,,-,-,-,0,1278,1278,0,2,2
26,"Government Girls ElementarySchool Balo Kassar",BALOKASSAR,128040802,-,-,,687,697,1384,2,2,4
26 Total,,,,-,-,-,687,697,1384,2,2,4
27,"Government Model PrimarySchool Shah Pur",SHAH PUR,128040801,-,-,,390,453,843,1,1,2
27 Total,,,,-,-,-,390,453,843,1,1,2
28,Government High School Uthwal,OTHWAL,128040306,-,-,,953,0,953,2,0,2
28 Total,,,,-,-,-,953,0,953,2,0,2
29,Government High School Uthwal,OTHWAL,128040306,-,-,,0,882,882,0,2,2
29 Total,,,,-,-,-,0,882,882,0,2,2
30,"Government Girls High SchoolJamalwal",JAMALWAL,128040202,-,-,,453,0,453,2,0,2
"",,JAMALWAL,128040203,-,-,,617,0,617,,,
30 Total,,,,-,-,-,1070,0,1070,2,0,2
31,"Government Elementary SchoolJamalwal",JAMALWAL,128040202,-,-,,0,428,428,0,2,2
"",,JAMALWAL,128040203,-,-,,0,635,635,,,
31 Total,,,,-,-,-,0,1063,1063,0,2,2
32,"Government High SchoolMaingan",MENGAN,128031001,-,-,,739,0,739,2,0,2
"",,MENGAN,128031002,-,-,,419,0,419,,,
32 Total,,,,-,-,-,1158,0,1158,2,0,2
33,"Government High SchoolMaingan",MENGAN,128031001,-,-,,0,713,713,0,2,2
"",,MENGAN,128031002,-,-,,0,428,428,,,
33 Total,,,,-,-,-,0,1141,1141,0,2,2
34,"Government Girls ElementarySchool Maingan",MENGAN,128031003,-,-,,413,385,798,1,1,2
34 Total,,,,-,-,-,413,385,798,1,1,2
35,Basic Health Unit Maingan,"BULHAY BALA(MAINGAN)",128031004,-,-,,609,581,1190,1,1,2
35 Total,,,,-,-,-,609,581,1190,1,1,2
36,"Government Primary SchoolBullhay Bala",BULHE BALA,128040605,-,-,,614,568,1182,2,1,3
36 Total,,,,-,-,-,614,568,1182,2,1,3
37,"Government Model PrimarySchool Dhaku .",DHAKOO,128040606,-,-,,497,458,955,1,1,2
37 Total,,,,-,-,-,497,458,955,1,1,2
38,"Government Girls CommunityModel School Chak Bhoun",CHAK BHOWN,128040601,-,-,,446,474,920,2,1,3
"",,CHAK BHOWN,128040602,-,-,,141,160,301,,,
38 Total,,,,-,-,-,587,634,1221,2,1,3
39,"Government Primary SchoolChak Bhoun",CHAK BHOWN,128040603,-,-,,480,497,977,2,2,4
CHAK BHOWN,128040604,-,-,,199,179,378,,,,,
40,Government High School Vero,WAIRO,128040701,-,-,,291,306,597,1,1,2
"",,WAIRO,128040702,-,-,,192,205,397,,,
40 Total,,,,-,-,-,483,511,994,1,1,2
41,"Government Primery SchoolDhok Lari",WAIRO,128040703,-,-,,243,183,426,1,1,2
41 Total,,,,-,-,-,243,183,426,1,1,2
42,"Government Girls ElementarySchool Lakhwal",LAKHWAL,128040704,-,-,,322,0,322,2,0,2
"",,LAKHWAL,128040705,-,-,,180,0,180,,,
"",,LAKHWAL,128040706,-,-,,174,0,174,,,
"",,LAKHWAL,128040707,-,-,,282,0,282,,,
42 Total,,,,-,-,-,958,0,958,2,0,2
43,"Government Girls ElementarySchool Lakhwal",LAKHWAL,128040704,-,-,,0,324,324,0,2,2
"",,LAKHWAL,128040705,-,-,,0,159,159,,,
"",,LAKHWAL,128040706,-,-,,0,149,149,,,
"",,LAKHWAL,128040707,-,-,,0,249,249,,,
43 Total,,,,-,-,-,0,881,881,0,2,2
44,"Government Boys High SchoolMangwal",MANGWAL,128050101,-,-,,720,0,720,2,0,2
"",,"MANGWAL (BAGHZAIR/DHOKE BUDHA)",128050105,-,-,,284,0,284,,,
44 Total,,,,-,-,-,1004,0,1004,2,0,2
45,"Government Boys High SchoolMangwal",MANGWAL,128050101,-,-,,0,697,697,0,2,2
"",,"MANGWAL (BAGHZAIR/DHOKE BUDHA)",128050105,-,-,,0,240,240,,,
45 Total,,,,-,-,-,0,937,937,0,2,2
46,"Government Girls High SchoolMangwal",MANGWAL,128050102,-,-,,478,0,478,3,0,3
"",,"MANGWAL (WADRAY,FIMKASAR, DHUMAN)",128050103,-,-,,416,0,416,,,
"",,"MANGWAL (BAGHBALA)",128050104,-,-,,241,0,241,,,
46 Total,,,,-,-,-,1135,0,1135,3,0,3
47,"Government Girls High SchoolMangwal",MANGWAL,128050102,-,-,,0,474,474,0,2,2
"",,"MANGWAL (WADRAY,FIMKASAR, DHUMAN)",128050103,-,-,,0,358,358,,,
"",,"MANGWAL (BAGHBALA)",128050104,-,-,,0,205,205,,,
47 Total,,,,-,-,-,0,1037,1037,0,2,2
48,"Government Boys Priamry SchoolRawal Bala",RAWAL,128050904,-,-,,583,0,583,2,0,2
"",,RAWAL,128050905,-,-,,417,0,417,,,
48 Total,,,,-,-,-,1000,0,1000,2,0,2
49,"Government Girls Primary SchoolRawal Bala",RAWAL,128050904,-,-,,0,560,560,0,2,2
"",,RAWAL,128050905,-,-,,0,360,360,,,
49 Total,,,,-,-,-,0,920,920,0,2,2
50,"Government Girls Primary SchoolLatifal",LATIFAL,128050501,-,-,,641,575,1216,2,1,3
50 Total,,,,-,-,-,641,575,1216,2,1,3
51,"Government Girls High SchoolSikaryala",SIKARYALAH,128050502,-,-,,428,399,827,2,2,4
"",,SIKARYALAH,128050503,-,-,,389,377,766,,,
