"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. ofvoters on theelectoral rollin caseelectoral areais bifurcated","Number of voters assigned to pollingstation",Number of polling  booths,,,,,,
"",,,"Name of ElectoralAreas","Census BlockCode","Name of ElectoralAreas","Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Government Boys High SchoolThanil Kamal",THANIL KAMAL,128050301,-,-,,553,0,553,2,0,2
"",,,THANIL KAMAL,128050302,-,-,,274,0,274,,,
"",,,THANIL KAMAL,128050303,-,-,,173,0,173,,,
"",1 Total,,,,-,-,-,1000,0,1000,2,0,2
"",2,"Government Boys High SchoolThanil Kamal",THANIL KAMAL,128050301,-,-,,0,519,519,0,2,2
"",,,THANIL KAMAL,128050302,-,-,,0,285,285,,,
"",,,THANIL KAMAL,128050303,-,-,,0,137,137,,,
"",2 Total,,,,-,-,-,0,941,941,0,2,2
"",3,"Government Girls High SchoolThanil Kamal",THANIL KAMAL,128050304,-,-,,0,194,194,0,2,2
"",,,THANIL KAMAL,128050305,-,-,,0,234,234,,,
"",,,THANIL KAMAL,128050306,-,-,,0,152,152,,,
"",,,"THANIL KAMAL(DANGI ZAIR)",128050307,-,-,,0,271,271,,,
"",3 Total,,,,-,-,-,0,851,851,0,2,2
"",4,"Government Girls High SchoolThanil Kamal",THANIL KAMAL,128050304,-,-,,199,0,199,2,0,2
"",,,THANIL KAMAL,128050305,-,-,,300,0,300,,,
"",,,THANIL KAMAL,128050306,-,-,,164,0,164,,,
"",,,"THANIL KAMAL(DANGI ZAIR)",128050307,-,-,,302,0,302,,,
"",4 Total,,,,-,-,-,965,0,965,2,0,2
"",5,"Government Boys PrimarySchool Harraj",HARAJ (PIND DAKHLI),128050205,-,-,,512,477,989,1,1,2
"",5 Total,,,,-,-,-,512,477,989,1,1,2
6 Total,,,,-,-,-,497,471,968,1,1,2
7,"Government Boys ElementarySchool Ghug",GHUG,128050402,-,-,,522,443,965,2,2,4
"",,GHUG,128050403,-,-,,346,342,688,,,
7 Total,,,,-,-,-,868,785,1653,2,2,4
8,"Government Boys High SchoolMehro Peelo",PEELO,128040304,-,-,,587,586,1173,1,1,2
"",,"RAKH PEELO (DHOKEJALIAN)",128040307,-,-,,13,11,24,,,
8 Total,,,,-,-,-,600,597,1197,1,1,2
9,"Government Girls PrimarySchool Dingi Bala",DINGI,128040201,-,-,,323,256,579,1,1,2
9 Total,,,,-,-,-,323,256,579,1,1,2
10,"Government Girls High SchoolMehro Peelo",MEHRO,128040301,-,-,,346,375,721,2,1,3
"",,MEHRO,128040302,-,-,,172,171,343,,,
"",,MEHRO,128040303,-,-,,56,55,111,,,
"",,MADAT ABAD,128040305,-,-,,6,4,10,,,
10 Total,,,,-,-,-,580,605,1185,2,1,3
11,"Government Primary School Gah.",GAH,128040401,-,-,,195,185,380,2,1,3
"",,GAH,128040402,-,-,,442,415,857,,,
11 Total,,,,-,-,-,637,600,1237,2,1,3
12,"Government Elementary SchoolBegal (Primary Portion)",BIGAL,128040403,-,-,,614,573,1187,2,1,3
12 Total,,,,-,-,-,614,573,1187,2,1,3
13,"Government Primary SchoolSohair",SOHER,128040503,-,-,,351,393,744,1,1,2
13 Total,,,,-,-,-,351,393,744,1,1,2
14,"Government Elementary SchoolKhara",KHARA,128040504,-,-,,649,654,1303,2,1,3
14 Total,,,,-,-,-,649,654,1303,2,1,3
15,"Government Model PrimarySchool Marath",MARATH,128040404,-,-,,462,447,909,1,1,2
15 Total,,,,-,-,-,462,447,909,1,1,2
16,"Government Elementry SchoolNeela","NEELA (BOYS HIGHSCHOOL)",128040902,-,-,,398,360,758,1,1,2
16 Total,,,,-,-,-,398,360,758,1,1,2
