"",1,2,3,4,5,6,7,8,9,10,11,12,13,
93,1,Government Boys Elementary School Kot Amir Shah,KOT AMEER SHAH,255010101,-,-,,210,180,390,2,2,4,Combined
"",,,KOT AMEER SHAH,255010102,-,-,,549,445,994,,,,
"",,,,,-,-,,759,625,1384,,,,
93,2,Government Boys Elementary School Kot Amir Shah,KOT AMEER SHAH,255010103,-,-,,431,327,758,2,1,3,Combined
"",,,KOT AMEER SHAH,255010104,-,-,,292,196,488,,,,
"",,,,,-,-,,723,523,1246,,,,
93,3,Government Girls Primary School Shamlaat Vinoka,VINOKA,255010201,-,-,,480,281,761,1,1,2,Combined
"",,,,,-,-,,480,281,761,,,,
93,4,Government Girls Commounity Model Primary School Vinoka,VINOKA,255010202,-,-,,219,158,377,2,1,3,Combined
"",,,VINOKA,255010203,-,-,,204,183,387,,,,
"",,,VINOKA,255010204,-,-,,179,146,325,,,,
"",,,,,-,-,,602,487,1089,,,,
93,5,Government Boys Primary School Vinoka,VINOKA,255010205,-,-,,162,139,301,2,2,4,Combined
"",,,VINOKA,255010206,-,-,,321,321,642,,,,
"",,,VINOKA,255010207,-,-,,158,122,280,,,,
"",,,,,-,-,,641,582,1223,,,,
93,6,Girls Comunity Elementary School Vinoka,VINOKA,255010208,-,-,,654,441,1095,1,1,2,Combined
"",,,,,-,-,,654,441,1095,,,,
93,7,Government Boys High School Wallah,WALLAH,255010301,-,-,,372,271,643,2,2,4,Combined
"",,,WALLAH,255010303,-,-,,442,364,806,,,,
"",,,,,-,-,,814,635,1449,,,,
93,8,Government Girls  Elementry School Wallah,WALLAH,255010304,-,-,,562,0,562,2,0,2,Male
"",,,WALLAH,255010305,-,-,,550,0,550,,,,
"",,,,,-,-,,1112,0,1112,,,,
93,9,Government Girls  Elementry School Wallah,WALLAH,255010304,-,-,,0,495,495,0,2,2,Female
"",,,WALLAH,255010305,-,-,,0,427,427,,,,
"",,,,,-,-,,0,922,922,,,,
