ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF PP-285 DGKHAN-I,,,,,,,,,,,,
Election to the Provincial Assembly of the Punjab,,,,,,,,,,,,
PP-285 DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Boys Primary School Daulat Wala(Combined)",DAULAT WALA 1/2,225010101,,,,433,343,776,1,1,2
"",,DAULAT WALA 2/2,225010102,,,,218,163,381,,,
"",,Total,,,,,651,506,1157,,,
2,"Boys Primary School Bhuch(Combined)",BHAUCH 1/2,225010103,,,,281,182,463,1,1,2
"",,BHAUCH 2/2,225010104,,,,159,105,264,,,
"",,Total,,,,,440,287,727,,,
3,"Boys Primary School Shadi Wala(Combined)",SHADI WALA 1/2,225010105,,,,394,212,606,1,1,2
"",,SHADI WALA 2/2,225010106,,,,242,170,412,,,
"",,Total,,,,,636,382,1018,,,
4,"Boys Primary School Jarwar(Combined)",LAKHANI 1/5,225010107,,,,210,113,323,2,1,3
"",,LAKHANI 2/5,225010108,,,,572,423,995,,,
"",,Total,,,,,782,536,1318,,,
5,"Boys Primary School Marah(Combined)",LAKHANI 3/5,225010109,,,,220,167,387,2,1,3
"",,LAKHANI 3/5,225010112,,,,328,180,508,,,
"",,LAKHANI 4/5,225010110,,,,384,290,674,,,
"",,Total,,,,,932,637,1569,,,
6,"Boys High School Lakhani(Combined)",LAKHANI 5/5,225010111,,,,330,241,571,1,1,2
"",,LAKHANI 5/5,225010113,,,,333,310,643,,,
"",,Total,,,,,330,241,571,,,
7,Boys High  School Wajjan (Male),JHANGRA SHUMALI 1/4,225010201,,,,"1,818",0,1818,3,0,3
"",,Total,,,,,1818,0,1818,,,
8,Boys High  School Wajjan (Female),JHANGRA SHUMALI 1/4,225010201,,,,0,"1,468",1468,0,2,2
Total,,,,,0,1468,1468,,,,,
JHANGRA SHUMALI 2/4,225010202,,,,98,106,204,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
9,Boys High School Wajjan (Combined),JHANGRA SHUMALI 2/4,225010206,,,,104,50,154,2,2,4
"",,JHANGRA SHUMALI 2/4,225010207,,,,183,61,244,,,
"",,JHANGRA SHUMALI 3/4,225010203,,,,221,120,341,,,
"",,JHANGRA SHUMALI 4/4,225010204,,,,206,104,310,,,
"",,JHANGRA SHUMALI 3/4,225010208,,,,125,102,227,,,
"",,JHANGRA SHUMALI 3/4,225010209,,,,125,102,227,,,
"",,Total,,,,,1168,747,1915,,,
10,"Boys Primary School Jhangi Dermani(Combined)",JHANGRA JANUBI 1/5,225010301,,,,605,351,956,2,1,3
JHANGRA JANUBI 2/5,225010302,,,,256,133,389,,,,,
Total,,,,,861,484,1345,,,,,
JHANGRA JANUBI 3/5,225010303,,,,281,200,481,1,1,2,,
JHANGRA JANUBI 4/5,225010304,,,,359,242,601,,,,,
JHANGRA JANUBI 5/5,225010305,,,,382,266,648,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
12,"Boys Middle School Jalo Wali(Combined)",JALLOWALI 1/5,225010401,,,,1020,807,1827,2,2,4
"",,Total,,,,,1020,807,1827,,,
13,"Girls High School Jalo Wali(Combined)",JALLOWALI 2/5,225010402,,,,384,316,700,2,2,4
"",,JALLOWALI 5/5,225010405,,,,43,3,46,,,
"",,JALLOWALI 3/5,225010403,,,,259,173,432,,,
"",,JALLOWALI 4/5,225010404,,,,234,160,394,,,
"",,JALLOWALI 5/5,225010409,,,,56,63,119,,,
"",,Total,,,,,976,715,1691,,,
14,"Boys Primery School Chooni(Combined)",CHUNI 1/3,225010406,,,,178,86,264,2,1,3
"",,CHUNI 2/3,225010407,,,,221,169,390,,,
"",,CHUNI 3/3,225010408,,,,535,400,935,,,
"",,Total,,,,,934,655,1589,,,
15,"Girls High School Mithey Wali(Combined)",MITHE WALI 1/12,225010501,,,,175,138,313,2,1,3
"",,MITHE WALI 2/12,225010502,,,,251,207,458,,,
"",,MITHE WALI 3/12,225010503,,,,279,182,461,,,
"",,Total,,,,,705,527,1232,,,
16,"Boys Primary School Mithey Wali(Combined)",MITHE WALI 4/12,225010504,,,,572,480,1052,2,2,4
"",,MITHE WALI 5/12,225010505,,,,105,69,174,,,
"",,MITHE WALI 6/12,225010506,,,,125,106,231,,,
"",,MITHE WALI 7/12,225010507,,,,225,189,414,,,
"",,MITHE WALI 5/12,225010513,,,,100,80,180,,,
"",,Total,,,,,1127,924,2051,,,
17,"Boys High School Mithey Wali(Combined)",MITHE WALI 8/12,225010508,,,,245,192,437,1,1,2
MITHE WALI 9/12,225010509,,,,128,106,234,,,,,
MITHE WALI 10/12,225010510,,,,95,80,175,,,,,
MITHE WALI 11/12,225010511,,,,101,75,176,,,,,
MITHE WALI 12/12,225010512,,,,88,70,158,,,,,
Total,,,,,657,523,1180,,,,,
KOTANI 1/5,225010601,,,,130,106,236,,,,,
KOTANI  2/5,225010602,,,,138,108,246,,,,,
KOTANI 3/5,225010603,,,,114,58,172,,,,,
KOTANI 3/5,225010606,,,,186,83,269,,,,,
KOTANI 3/5,225010607,,,,129,96,225,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
19,"Girls Middle School Kotani(Combined)",KOTANI 4/5,225010604,,,,236,85,321,2,2,4
"",,KOTANI 4/5,225010608,,,,308,158,466,,,
"",,KOTANI 4/5,225010609,,,,324,164,488,,,
"",,Total,,,,,868,407,1275,,,
20,"Boys Primary School Mundrani(Combined)",Kohar 1/13,225010701,,,,209,151,360,2,2,4
KOTANI 5/5,225010605,,,,156,110,266,,,,,
KOTANI 5/5,225010610,,,,251,184,435,,,,,
Qaisrani Wala,225010714,,,,0,0,0,,,,,
Kohar 2/13,225010702,,,,274,215,489,,,,,
Kohar 3/13,225010703,,,,174,130,304,,,,,
Kohar 4/13,225010704,,,,175,110,285,,,,,
Total,,,,,1239,900,2139,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
21,Boys High School Kohar (Combined),Kohar  Unit 5/13,225010705,,,,75,57,132,2,2,4
"",,Kohar  Unit 7/13,225010707,,,,245,226,471,,,
"",,Kohar  Unit 8/13,225010708,,,,173,138,311,,,
"",,Kohar  Unit 9/13,225010709,,,,427,342,769,,,
"",,Kohar  Unit 6/13,225010706,,,,121,95,216,,,
"",,Total,,,,,1041,858,1899,,,
22,"Boys Primary School Bilwani(Combined)",Kohar  Unit 10/13,225010710,,,,451,287,738,1,1,2
"",,Kohar  Unit 11/13,225010711,,,,37,26,63,,,
"",,Kohar  Unit 12/13,225010712,,,,87,60,147,,,
"",,Kohar  Unit 13/13,225010713,,,,87,75,162,,,
"",,Total,,,,,662,448,1110,,,
23,Boys Middle School Binda (Male),Vehova Shumali 1/8,225010801,,,,"1,042",0,1042,4,0,4
"",,Vehova Shumali 1/8,225010802,,,,892,0,892,,,
"",,Total,,,,,1934,0,1934,,,
24,Boys Middle School Binda (Female),Vehova Shumali 1/8,225010801,,,,0,714,714,0,3,3
"",,Vehova Shumali 1/8,225010802,,,,0,682,682,,,
"",,Total,,,,,0,1396,1396,,,
25,"Girls Primary School Dagar Wali(Combined)",Vehova Shumali 2/14,225010803,,,,392,322,714,2,2,4
"",,Vehova Shumali 3/14,225010804,,,,307,105,412,,,
"",,Vehova Shumali 4/14,225010805,,,,303,213,516,,,
"",,Vehova Shumali 3/14,225010808,,,,303,314,617,,,
"",,Total,,,,,1305,954,2259,,,
26,"Union Council Office Vehova(Combined)",Vehova Janubi unit 1/19,225010901,,,,243,209,452,2,1,3
"",,Vehova Janubi unit 2/19,225010902,,,,111,95,206,,,
"",,Vehova Janubi unit 3/19,225010903,,,,49,49,98,,,
"",,Vehova Janubi unit 4/19,225010904,,,,0,0,0,,,
"",,Vehova Janubi unit 5/19,225010905,,,,237,165,402,,,
"",,Vehova Janubi unit 3/19,225010921,,,,113,91,204,,,
"",,Total,,,,,753,609,1362,,,
27,"Project Manager Office Vehova(Combined)",Vehova Shumali 1/8,225010806,,,,527,260,787,2,2,4
Vehova Shumali 1/8,225010807,,,,298,280,578,,,,,
Vehova Janubi unit 5/19,225010906,,,,276,218,494,,,,,
Total,,,,,1101,758,1859,,,,,
Vehova Janubi unit 6/19,225010907,,,,403,355,758,,,,,
"Sl.No.","No & name of polling stationProject Manager Office Vehova",In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",(Combined),Vehova Janubi unit 6/19,225010922,,,,608,391,999,,,
"",,Total,,,,,1268,927,2195,,,
29,"Boys High School Vehova(Combined)",Vehova Janubi unit 9/19,225010909,,,,573,392,965,2,1,3
