1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. MC Elementary School No.8 HFD (SouthSide)",-,-,"T.B. Clinic Alipur Road,HFD.",169080102,,563,462,1025,1,1,2
1 Total,,-,-,,,-,563,462,1025,1,1,2
2,"Govt. MC Elementary School No.8 HFD  (WestSide)",-,-,"Saim Nala Alipur road,Old Hospital",169080204,,1316,0,1316,3,0,3
2 Total,,-,-,,,-,1316,0,1316,3,0,3
3,"Govt. MC Elementary School No.8 HFD (EastSide)",-,-,"Saim Nala Alipur road,Old Hospital",169080204,,0,1160,1160,0,2,2
3 Total,,-,-,,,-,0,1160,1160,0,2,2
4,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad(North Side-A)",-,-,"Railway Road, HFD",169080101,,936,0,936,3,0,3
"",,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080103,,370,0,370,,,
"",,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080210,,233,0,233,,,
4 Total,,-,-,,,-,1539,0,1539,3,0,3
5,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (South Side)",-,-,"Railway Road, HFD",169080101,,0,792,792,0,3,3
"",,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080103,,0,318,318,,,
"",,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080210,,0,208,208,,,
5 Total,,-,-,,,-,0,1318,1318,0,3,3
6,"Govt. MC Primary School No.1 Hafizabad (ForBoys) Alipur Road (East Side)",-,-,"Beken House School,Jaggan Wala Road etc",169080205,,688,0,688,2,1,3
"",,-,-,"Beken House School,Jaggan Wala Road etc",169080205,,0,606,606,,,
6 Total,,-,-,,,-,688,606,1294,2,1,3
7,"Govt. MC Primary School No.1 Hafizabad (ForBoys) Alipur Road (East Side)",-,-,"Beken House School,Jaggan Wala Road etc",169080208,,1158,0,1158,2,0,2
7 Total,,-,-,,,-,1158,0,1158,2,0,2
8,Govt. Boys Primary School Ali Town,-,-,"Beken House School,Jaggan Wala Road etc",169080208,,0,915,915,0,2,2
8 Total,,-,-,,,-,0,915,915,0,2,2
9,"Govt.Islamia Post Graduate College forWomen, Hafizabad (Old Block)",-,-,"Awan Mahal Cinma, AliPur Road, Saim Nala",169080206,,1357,0,1357,3,0,3
9 Total,,-,-,,,-,1357,0,1357,3,0,3
10,"Govt.Islamia Post Graduate College forWomen, Hafizabad (Old Block)",-,-,"Awan Mahal Cinma, AliPur Road, Saim Nala",169080206,,0,1151,1151,0,2,2
10 Total,,-,-,,,-,0,1151,1151,0,2,2
11,"Govt.Islamia Post Graduate College forWomen, Hafizabad (New Block)",-,-,Kot Hashmat,169080303,,948,862,1810,1,1,2
12,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (North Side-B)",-,-,"Mohalah Rehmat Wala,Awan Mahal Cenema,HFD",169080104,,1328,0,1328,2,0,
12 Total,,-,-,,,-,1328,0,1328,2,0,
13,"Govt.  Double Section Girls High School Ali PurRoad, Hafizabad (North Side-C)",-,-,"Mohalah Rehmat Wala,Awan Mahal Cenema,HFD",169080211,,924,0,924,2,0,
13 Total,,-,-,,,-,924,0,924,2,0,
14,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (South East Side-A)",-,-,"Mohalah Rehmat Wala,Awan Mahal Cenema,HFD",169080104,,0,1226,1226,0,2,
14 Total,,-,-,,,-,0,1226,1226,0,2,
15,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (South East Side-B)",-,-,Kot Hashmat,169080211,,0,714,714,0,2,
15 Total,,-,-,,,-,0,714,714,0,2,
16,Govt.Primary School Kot Hashmat,-,-,Kot Hashmat,169080301,,557,0,557,3,0,
"",,-,-,Kot Hashmat,169080302,,361,0,361,,,
16 Total,,-,-,,,-,918,0,918,3,0,
17,Govt.Girls  Primary School Kot Hashmat,-,-,Kot Hashmat,169080301,,0,414,414,0,2,
"",,-,-,Moh. Garhi Gous,169080302,,0,250,250,,,
17 Total,,-,-,,,-,0,664,664,0,2,
18,"Govt. Model Primary School Garhi GhousHafizabad",-,-,Mohallah Garhi Ghouse,169100105,,615,450,1065,1,1,
18 Total,,-,-,,,-,615,450,1065,1,1,
19,"Govt. Secondary School No.1 Hafizabad EastSide",-,-,"Mohalah RehmatanWala, Feroz wala, DeraAfzal",169080105,,809,0,809,2,0,
"",,-,-,"Mohalah RehmatanWala, Feroz wala, DeraAfzal",169080212,,30,0,30,,,
