"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Govt.Boys Primary School Kot SaidMuhammad","Kot SaidMuhammad",169050201,-,-,,392,285,677,2,1,3
"",,,Bhunda Tarar,169050205,-,-,,250,201,451,,,
"",,,Thatha Cheena,169050206,-,-,,227,163,390,,,
"",1 Total,,,,-,-,-,869,649,1518,2,1,3
"",2,Govt. Elementary School Khan Pur,Chaine Wali,169050203,-,-,,292,210,502,2,1,3
"",,,Khan Pur,169050905,-,-,,614,476,1090,,,
"",2 Total,,,,-,-,-,906,686,1592,2,1,3
"",3,Govt.Boys Elementary School Rahgo Syedan,Rahgo Seyedan,169050103,-,-,,598,0,598,2,0,2
"",,,Rahgo Seyedan,169050104,-,-,,330,0,330,,,
"",3 Total,,,,-,-,-,928,0,928,2,0,2
"",4,Govt. Girls Elementary School Rahgo Seyedan,Rahgo Seyedan,169050103,-,-,,0,491,491,0,2,2
"",,,Rahgo Seyedan,169050104,-,-,,0,277,277,,,
"",4 Total,,,,-,-,-,0,768,768,0,2,2
"",5,"Govt. Elementary School English MediumMuzafar Nau (East Side)",Raja Tarar,169041001,-,-,,420,0,420,2,0,2
"",,,Muzaffar Nau,169041002,-,-,,320,0,320,,,
"",,,Muzaffar Kohna,169041003,-,-,,126,0,126,,,
"",5  Total,,,,-,-,-,866,0,866,2,0,2
"",6,Govt. Girls Elementary School  Muzafar Nau,Raja Tarar,169041001,-,-,,0,354,354,0,2,2
"",,,Muzaffar Nau,169041002,-,-,,0,237,237,,,
"",,,Muzaffar Kohna,169041003,-,-,,0,91,91,,,
"",6 Total,,,,-,-,-,0,682,682,0,2,2
"",7,Govt.Girls Model Elementary School Pheroki,Pheroki,169040901,-,-,,488,357,845,1,1,2
"",,,Pheroki,169040902,-,-,,158,118,276,,,
"",7  Total,,,,-,-,-,646,475,1121,1,1,2
"",8,"Govt. English Medium Primary School, HardoThatha Bama",Hardo Thatha Bama,169040903,-,-,,287,218,505,1,1,2
"",,,Hardo Thatha Bama,169040904,-,-,,180,113,293,,,
"",8  Total,,,,-,-,-,467,331,798,1,1,2
"",9,Govt. Elementary School Gujjarke,Kot Jafar,169040705,-,-,,112,92,204,1,1,2
"",,,Gujarkay,169040706,-,-,,314,247,561,,,
"",,,Tarigrah,169040907,-,-,,171,131,302,,,
"",9  Total,,,,-,-,-,597,470,1067,1,1,2
"",10,"Govt. Girls Elementary School EnglishMedium Kot Ishaq (East Side)",Thatha Ahsan,169040504,-,-,,87,0,87,3,0,3
"",,Kot Ishaq,169040507,-,-,,603,0,603,,,,
"",,Kot Ishaq,169040508,-,-,,318,0,318,,,,
"",,Kot Ishaq,169040509,-,-,,425,0,425,,,,
10  Total,,,,-,-,-,1433,0,1433,3,0,3,
"",11,"Govt. Girls Elementary School  EnglishMedium Kot Ishaq  (West Side)",Thatha Ahsan,169040504,-,-,,0,46,46,0,2,2
"",,,Kot Ishaq,169040507,-,-,,0,522,522,,,
