"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voters on theelectoral roll in case electoralarea is bifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,"Name ofElectoral Areas","Census BlockCode","Name ofElectoral Areas","Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Govt Cap. Hasnat Ali Khan High SchoolSohawa (M) (P)",-,-,"Moh Eid GahSohawa",125050101,,1716,0,1716,4,0,4
"",1 Total,,,,-,-,-,1716,0,1716,4,0,4
"",2,"Govt Cap. Hasnat Ali Khan Shaheed HighSchool Sohawa (F) (P)",-,-,"Moh Eid GahSohawa",125050101,,0,1593,1593,0,4,4
"",2 Total,,,,-,-,-,0,1593,1593,0,4,4
"",3,"Govt Cap. Hasnat Ali Khan High SchoolSohawa (C) (P)",-,-,"Hydri MohallahHigh SchoolSohawa",125050103,,696,676,1372,2,2,4
"",3 Total,,,,-,-,-,696,676,1372,2,2,4
"",4,"Govt. Cap. Hasnat Ali Khan Shaheed HighSchool Sohawa (M) (P)",-,-,"Mohra PariSohawa",125050102,,407,0,407,4,0,4
"",,,-,-,"Moh MadniSohawa",125050104,,679,0,679,,,
"",,,-,-,"KhurakhaKhengranSohawa",125050105,,472,0,472,,,
"",,,-,-,"KhurakhaKhengranSohawa",125050106,,226,0,226,,,
"",4 Total,,,,-,-,-,1784,0,1784,4,0,4
"",5,"Govt. Cap. Hasnat Ali Khan High SchoolSohawa (F) (P)",-,-,"Mohra PariSohawa",125050102,,0,413,413,0,4,4
"-",-,"Moh MadniSohawa",125050104,,0,680,680,,,,,,
"-",-,"KhurakhaKhengranSohawa",125050105,,0,463,463,,,,,,
"-",-,"KhurakhaKhengranSohawa",125050106,,0,214,214,,,,,,
6,Govt. Degree College Sohawa (C) (P),-,-,Aral,125050107,,150,166,316,2,2,4
"",-,-,"Nai Abadi DheriSohawa",125050207,,673,623,1296,,,,
6 Total,,,,-,-,-,823,789,1612,2,2,4
7,"Govt. Technical Training Institute AbadSohawa (M) (P)",Akra Mohra,125011002,-,-,,185,216,401,1,1,2
7 Total,,,,-,-,-,185,216,401,1,1,2
8,"Govt. Technical Training Institute AbadSohawa (M) (P)",-,-,Sohawa Khass,125050108,,303,0,303,4,0,4
"",-,-,Sohawa Khass,125050109,,497,0,497,,,,
"",-,-,Sohawa Khass,125050110,,440,0,440,,,,
8 Total,,,,-,-,-,1240,0,1240,4,0,4
9,"Govt. Technical Training Institute AbadSohawa (F) (P)",-,-,Sohawa Khass,125050108,,0,301,301,0,4,4
"",-,-,Sohawa Khass,125050109,,0,419,419,,,,
"",-,-,Sohawa Khass,125050110,,0,396,396,,,,
9 Total,,,,-,-,-,0,1116,1116,0,4,4
10,"Govt. Girls Higher Secondary School,Sohawa (M) (P)",-,-,"MohShaheedanSohawa",125050201,,371,0,371,2,0,2
"",-,-,"Moh QasabSohawa",125050204,,475,0,475,,,,
"",-,-,"Moha JamiaMasjid Sohawa",125050205,,395,0,395,,,,
10 Total,,,,-,-,-,1241,0,1241,2,0,2
11,"Govt. Girls Higher Secondary School,Sohawa (F) (P)",-,-,"MohShaheedanSohawa",125050201,,0,328,328,0,2,2
"",-,-,"Moh QasabSohawa",125050204,,0,495,495,,,,
"",-,-,"Jamia MasjidSohawa",125050205,,0,396,396,,,,
11 Total,,,,-,-,-,0,1219,1219,0,2,2
12,"Govt. Boys Elementary School Sohawa (C)(P)",-,-,"Moh Ch YousafSohawa",125050202,,726,659,1385,2,2,4
"",-,-,"Moh Dak KhanaSohawa",125050203,,350,341,691,,,,
12 Total,,,,-,-,-,1076,1000,2076,2,2,4
13,"Govt Girls Higher Secondary SchoolPrimary Portion Sohawa © (P)",-,-,"Moh Tanki NaiAbadi Sohawa",125050206,,668,664,1332,2,2,4
13 Total,,,,-,-,-,668,664,1332,2,2,4
14,"Govt. Boys Primary Bhit Mast,(C) (P)",-,-,Khorka,125050208,,469,417,886,2,2,4
"",-,-,Bhit Mast,125050209,,530,491,1021,,,,
14 Total,,,,-,-,-,999,908,1907,2,2,4
15,Govt. Boys High School Bakrala (C) (P),"ChakMuhammadHassan",125021007,-,-,,4,4,8,1,1,2
"",Rakh Jandi,125021008,-,-,,0,0,0,,,,
15 Total,,,,-,-,-,357,341,698,1,1,2
16,Govt. Boys High School Bakrala (C),Bakrala,125021002,-,-,,347,336,683,2,1,3
"",Chak Miana,125021006,-,-,,174,146,320,,,,
16 Total,,,,-,-,-,521,482,1003,2,1,3
17,Govt Girls High School Bakrala (C) (P),Bakrala,125021003,-,-,,347,385,732,2,2,4
"",Bakrala,125021004,-,-,,393,350,743,,,,
"","Rakh BinSmahal",125021009,-,-,,0,0,0,,,,
17 Total,,,,-,-,-,740,735,1475,2,2,4
18,Govt. Model Primary School Banth (C) (P),Gorsian,125020903,-,-,,455,380,835,1,1,2
18 Total,,,,-,-,-,455,380,835,1,1,2
19,Govt. Model Primay School Banth,Banth,125020904,-,-,,548,449,997,1,1,2
19 Total,,,,-,-,-,548,449,997,1,1,2
20,Govt. Boys Elementary School Umral(C) (P),Umral,125021005,-,-,,720,647,1367,2,1,3
20 Total,,,,-,-,-,720,647,1367,2,1,3
21,"Govt. Boys Elementry School Bangala (C)(P)",Bangala,125020901,-,-,,539,536,1075,2,2,4
"",Kansi,125020907,-,-,,17,12,29,,,,
"","Malal Be-Charagh",125020908,-,-,,1,0,1,,,,
21 Total,,,,-,-,-,557,548,1105,2,2,4
22,Govt. Boys Elementry School Bangala (C),Bangala Ratli,125020902,-,-,,327,293,620,2,2,4
"",Dohala,125020905,-,-,,32,16,48,,,,
"",Ganda Paik,125020906,-,-,,112,115,227,,,,
22 Total,,,,-,-,-,471,424,895,2,2,4
23,Govt. High School Lehri (C) (P),Lehri,125020803,-,-,,761,0,761,2,0,2
"",Rawatara,125020804,-,-,,270,0,270,,,,
"","Rakh SagarB/Charagh",125020810,-,-,,0,0,0,,,,
"",Rakh Lehri,125020811,-,-,,0,0,0,,,,
23 Total,,,,-,-,-,1031,0,1031,2,0,2
24,Govt. High School Lehri,Lahri,125020803,-,-,,0,765,765,0,2,2
"",Rawatara,125020804,-,-,,0,282,282,,,,
"",Rakh Sagar,125020810,-,-,,0,0,0,,,,
"",Rakh Lehri,125020811,-,-,,0,0,0,,,,
24 Total,,,,-,-,-,0,1047,1047,0,2,2
25,"Govt. Model Elementary School Gadari (C)(P)",Gadri Hardo,125020805,-,-,,352,356,708,1,1,2
"",Gadri Hardo,125020806,-,-,,53,66,119,,,,
"",Gadri Hardo,125020807,-,-,,166,142,308,,,,
25 Total,,,,-,-,-,571,564,1135,1,1,2
"",,Punchor,125020802,-,-,,570,551,1121,,,
26 Total,,,,-,-,-,831,777,1608,2,2,4
27,Govt. Boys Primary School Dabul(C) (P),Dabul,125020808,-,-,,215,175,390,1,1,2
"",Ghangral,125020809,-,-,,240,227,467,,,,
27 Total,,,,-,-,-,455,402,857,1,1,2
28,Govt. Model Primary School Khariot (C) (P),Chak Nala,125020702,-,-,,294,240,534,2,2,4
"",Khariot,125020703,-,-,,301,261,562,,,,
"",Khariot,125020704,-,-,,330,282,612,,,,
28 Total,,,,-,-,-,925,783,1708,2,2,4
29,Govt. High School Karoonta (C) (P),"Mehr KuliChohan",125020602,-,-,,160,162,322,2,2,4
"","KaroontaSikandral",125020701,-,-,,506,461,967,,,,
29 Total,,,,-,-,-,666,623,1289,2,2,4
30,"Govt Girls Primary School Jhanda Maira ©(P)",Pari Sakanderial,125020604,-,-,,306,308,614,2,2,4
"",Pari Sakanderial,125020605,-,-,,313,289,602,,,,
30 Total,,,,-,-,-,619,597,1216,2,2,4
31,"Govt. Boys Elmentary School Gaderiam (C)(P)",Bhera,125020601,-,-,,14,10,24,1,1,2
"",Gaderiam,125020603,-,-,,580,542,1122,,,,
31 Total,,,,-,-,-,594,552,1146,1,1,2
32,Govt. Boys High School Kot Dhamiak(C) (P),Kot Dhamiak,125020501,-,-,,537,530,1067,2,2,4
"",Kot Dhamiak,125020502,-,-,,294,297,591,,,,
32 Total,,,,-,-,-,831,827,1658,2,2,4
33,Govt. Girls High School Phel Mirza(C) (P),Hathia,125020401,-,-,,490,412,902,1,1,2
"","Pail BanneyKhan",125020503,-,-,,145,156,301,,,,
33 Total,,,,-,-,-,635,568,1203,1,1,2
34,Govt Girls High School Pail Mirza © (P),Pail Bangial,125020504,-,-,,398,313,711,1,1,2
"",Pail Handal,125020505,-,-,,156,145,301,,,,
34 Total,,,,-,-,-,554,458,1012,1,1,2
35,"Govt Girls Primary School, Hathia Khas©(P)",Hathia,125020402,-,-,,608,580,1188,1,1,2
35 Total,,,,-,-,-,608,580,1188,1,1,2
36,Govt. High School Hathia (C) (P),Hathia,125020403,-,-,,497,481,978,2,2,4
"",Ghaurkri,125020506,-,-,,121,115,236,,,,
"",Santhoi,125020507,-,-,,59,49,108,,,,
36 Total,,,,-,-,-,677,645,1322,2,2,4
37,Govt. Boys Primary School Doongi (C) (P),Diwan Hazoori,125020302,-,-,,719,674,1393,2,2,4
"",Hathia Doongi,125020404,-,-,,296,274,570,,,,
37 Total,,,,-,-,-,1015,948,1963,2,2,4
38,Govt. High School Diwan Hazoori (C) (P),Diwan Hazoori,125020301,-,-,,372,421,793,2,2,4
Diwan Hazoori,125020303,-,-,,439,373,812,,,,,
39,"Govt. Girls Elementary School Tandoi (C)(P)",Tandoi,125020304,-,-,,425,377,802,1,1,2
39 Total,,,,-,-,-,425,377,802,1,1,2
40,"Govt. Boys Primary School Pind MattayKhan (C) (P)","Pind MattayKhan",125020201,-,-,,470,475,945,2,1,3
"",Gurrah Mang,125020206,-,-,,223,199,422,,,,
40 Total,,,,-,-,-,693,674,1367,2,1,3
41,"Govt. Girls Primary School Pind MattayKhan (C) (P)","Pind MattayKhan",125020202,-,-,,366,364,730,2,2,4
"","Pind MattayKhan",125020203,-,-,,405,369,774,,,,
41 Total,,,,-,-,-,771,733,1504,2,2,4
42,Govt. Girls Elementary School Sasral © (P),Bhat Sher Ali,125020103,-,-,,175,147,322,2,2,4
"",Mohra Lal,125020104,-,-,,143,120,263,,,,
"",Sasral,125020105,-,-,,485,488,973,,,,
42 Total,,,,-,-,-,803,755,1558,2,2,4
