DRAFT LIST OF POLLING STATIONS NA-93 KHUSHAB-I,,,,,,,,,,,,
"Sr.No.",Name and Location of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. ofVoters on theElectoral Rollin caseelectoralareas isbifurcated","Total Number ofRegistered Votersassigned to thePolling Stations",No. of Booths,,,,,,
"",,Name of Electoral Area,"Cesus BlockCode","Name ofElectoral Area","Cesus BlockCode",Male,Female,Total,Male,Female,Tota,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Government Boys High School,Anga.(COMBINED)",Anga,266010101,,,,342,323,665,,,
"",Anga,266010106,,,,249,247,496,,,,
"",Anga,266010108,,,,152,148,300,,,,
"",,,,,,,743,718,1461,2,2,4
2,"Government Girls High School,Anga (Middle Portion).(COMBINED)",Anga,266010102,,,,460,470,930,,,
"",,Anga,266010103,,,,255,247,502,,,
"",,,,,,,715,717,1432,2,2,4
3,"Government Girls High School,Anga (Primary Portion).(COMBINED)",Anga,266010104,,,,150,154,304,,,
"",,Anga,266010105,,,,175,171,346,,,
"",,Anga,266010107,,,,350,326,676,,,
"",,Rakh Anga,266010110,,,,0,0,0,,,
"",,,,,,,675,651,1326,2,2,4
4,"Government Girls Primary School,Kotli.(COMBINED)",Kotli,266010109,,,,481,428,909,,,
"",,,,,,,481,428,909,1,1,2
5,"Government Boys High School,Ugali.(COMBINED)",Ugali,266010201,,,,581,592,1173,,,0
"",,,,,,,581,592,1173,1,1,2
6,Ugali,266010202,,,,496,549,1045,,,0,
"",,,,,,,496,549,1045,1,1,2
7,"Government Boys Elementary School,Shakar Kot.(COMBINED)",Shakar Kot,266010203,,,,339,335,674,,,0
"",,,,,,,339,335,674,1,1,2
8,"Government Girls Primary School,Sakar Kot. (High Portion)(COMBINED)",Shakar Kot,266010204,,,,490,476,966,,,0
"",,,,,,,490,476,966,1,1,2
9,"Government Boys Elementary School,Shakar Kot (Primary Portion).",Sarhal,266010205,,,,633,638,1271,,,0
"",Sarhal,266010206,,,,173,166,339,,,0,
"",,,,,,,806,804,1610,2,2,4
10,"Government Boys Primary School,Dhook Mir Baz Khan Uchhali.(COMBINED)",Uchali,266010301,,,,598,663,1261,,,0
"",Uchali,266010302,,,,269,158,427,,,0,
"",Uchali,266010303,,,,253,177,430,,,0,
"",,,,,,,1120,998,2118,2,2,4
11,"Government Girls Primary School,Chontra Uchalli.(COMBINED)",Uchali,266010304,,,,421,411,832,,,0
"",,Uchali,266010305,,,,412,363,775,,,0
"",,Rakh Uchali,266010317,,,,40,22,62,,,0
"",,,,,,,873,796,"1,669",2,2,4
12,"Government Boys Higher SecondarySchool,Uchalli (High Portion)(COMBINED)",Uchali,266010306,,,,258,261,519,,,0
"",,Uchali,266010311,,,,131,134,265,,,0
"",,Uchali,266010312,,,,87,86,173,,,0
"",,Uchali,266010313,,,,77,86,163,,,0
"",,Rakh Sakaser Mianwali,266010322,,,,187,155,342,,,0
"",,Rakh Sakaser Khushab,266010323,,,,25,21,46,,,0
"",,Rakh Sakaser Attack,266010324,,,,5,1,6,,,0
"",,,,,,,770,744,"1,514",2,2,4
Uchali,266010307,,,,173,178,351,,,0,,
Uchali,266010314,,,,337,353,690,,,0,,
