DRAFT LIST OF POLLING STATIONS PP-82 KHUSHAB-I,,,,,,,,,,,,
"Sr.No.",Name and Location of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. ofVoters on theElectoral Rollin caseelectoralareas isbifurcated","Total Number ofRegistered Votersassigned to thePolling Stations",No. of Booths,,,,,,
"",,Name of Electoral Area,"Cesus BlockCode",Name of Electoral Area,"Cesus BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Government Boys High School,Anga.(COMBINED)",Anga,266010101,,,,342,323,665,,,
"",Anga,266010106,,,,249,247,496,,,,
"",Anga,266010108,,,,152,148,300,,,,
"",,,,,,,743,718,1461,2,2,4
2,"Government Girls High School,Anga (Middle Portion).(COMBINED)",Anga,266010102,,,,460,470,930,,,
"",,Anga,266010103,,,,255,247,502,,,
"",,,,,,,715,717,1432,2,2,4
3,"Government Girls High School,Anga (Primary Portion).(COMBINED)",Anga,266010104,,,,150,154,304,,,
"",,Anga,266010105,,,,175,171,346,,,
"",,Anga,266010107,,,,350,326,676,,,
"",,Rakh Anga,266010110,,,,0,0,0,,,
"",,,,,,,675,651,1326,2,2,4
4,"Government Girls Primary School,Kotli.(COMBINED)",Kotli,266010109,,,,481,428,909,,,
"",,,,,,,481,428,909,1,1,2
5,"Government Boys High School,Ugali.(COMBINED)",Ugali,266010201,,,,581,592,1173,,,0
"",,,,,,,581,592,1173,1,1,2
6,Ugali,266010202,,,,496,549,1045,,,0,
"",,,,,,,496,549,1045,1,1,2
7,"Government Boys Elementary School,Shakar Kot.(COMBINED)",Shakar Kot,266010203,,,,339,335,674,,,0
"",,,,,,,339,335,674,1,1,2
8,"Government Girls Primary School,Sakar Kot. (High Portion)(COMBINED)",Shakar Kot,266010204,,,,490,476,966,,,0
"",,,,,,,490,476,966,1,1,2
9,"Government Boys Elementary School,Shakar Kot (Primary Portion).",Sarhal,266010205,,,,633,638,1271,,,0
"",Sarhal,266010206,,,,173,166,339,,,0,
"",,,,,,,806,804,1610,2,2,4
10,"Government Boys Primary School,Dhook Mir Baz Khan Uchhali.(COMBINED)",Uchali,266010301,,,,598,663,1261,,,0
"",Uchali,266010302,,,,269,158,427,,,0,
"",Uchali,266010303,,,,253,177,430,,,0,
"",,,,,,,1120,998,2118,2,2,4
11,"Government Girls Primary School,Chontra Uchalli.(COMBINED)",Uchali,266010304,,,,421,411,832,,,0
"",,Uchali,266010305,,,,412,363,775,,,0
"",,Rakh Uchali,266010317,,,,40,22,62,,,0
"",,,,,,,873,796,"1,669",2,2,4
12,"Government Boys Higher SecondarySchool,Uchalli (High Portion)(COMBINED)",Uchali,266010306,,,,258,261,519,,,0
"",,Uchali,266010311,,,,131,134,265,,,0
"",,Uchali,266010312,,,,87,86,173,,,0
"",,Uchali,266010313,,,,77,86,163,,,0
"",,Rakh Sakaser Mianwali,266010322,,,,187,155,342,,,0
"",,Rakh Sakaser Khushab,266010323,,,,25,21,46,,,0
"",,Rakh Sakaser Attack,266010324,,,,5,1,6,,,0
"",,,,,,,770,744,"1,514",2,2,4
Uchali,266010307,,,,173,178,351,,,0,,
Uchali,266010314,,,,337,353,690,,,0,,
"",Marged,,,,,,,,,0,,
"",,,,,,,510,531,"1,041",1,1,2
14,"Government Girls High School,Uchalli (High Portion)(COMBINED)",Uchali,266010308,,,,100,97,197,,,0
"",Uchali,266010309,,,,126,121,247,,,0,
"",Uchali,266010310,,,,501,497,998,,,0,
"",,,Total:-,,,,727,715,"1,442",2,2,4
15,"Government Girls High School,Uchali (Middle Portion).(COMBINED)",Uchali,266010315,,,,592,434,1026,,,0
"",,Uchali,266010316,,,,136,249,385,,,0
"",,,,,,,728,683,1411,2,2,4
16,"Government Boys Elementary School,Chitta.(COMBINED)",Chitta,266010318,,,,338,362,700,,,
"",Chitta,266010319,,,,205,193,398,,,,
"",Chitta,266010320,,,,248,222,470,,,,
"",Rakh Chitta,266010321,,,,0,0,0,,,,
"",,,,,,,791,777,"1,568",2,2,4
17,"Government Boys Degree College,Naushera.(COMBINED)",Dhaka,266010401,,,,623,633,1256,,,
"",,,,,,,623,633,1256,1,1,2
18,"Government Boys Elementary School,Mustafabad Dhaka۔(COMBINED)",Dhaka,266010402,,,,697,720,1417,,,
"",,,,,,,697,720,1417,1,1,2
19,"Government Boys Primary School,Dhaka.(COMBINED)",Dhaka,266010403,,,,503,493,996,,,
"",Dhaka,266010404,,,,182,173,355,,,,
"",,,,,,,685,666,1351,2,2,4
20,"Government Boys Higher SecondarySchool,Her-do-Sodhi.(COMBINED",Her-do-Sodhi,266010501,,,,450,411,861,,,0
"",,,,,,,450,411,861,1,1,2
21,Her-do-Sodhi,266010502,,,,520,492,1012,,,0,
"",,,,,,,522,493,1015,1,1,2
22,"Government Boys Elementary School,Jhalar.(COMBINED)",Jhalar,266010503,,,,243,232,475,,,0
"",,Jhalar,266010504,,,,441,463,904,,,0
"",,Rakh Jhalar,266010506,,,,0,1,1,,,0
"",,,,,,,684,696,"1,380",2,2,4
23,"Government Boys Primary School,Colony Saddiqueabad.(FEMALE)",Saddiqueabad,266010601,,,,0,490,490,,,0
"",Saddiqueabad,266010602,,,,0,385,385,,,0,
"",,,,,,,0,875,875,0,2,2
24,"Government Model Primary School No.01,Mohallah Shahal Saddiqueabad.(MALE)",Saddiqueabad,266010601,,,,537,0,537,,,0
"",,Saddiqueabad,266010602,,,,399,0,399,,,0
"",,,,,,,936,0,936,2,0,2
25,"Government Boys High School,Saddiqueabad.(COMBINED)",Saddiqueabad,266010603,,,,691,676,1367,1,1,2
26,"Government Girls High School,Saddiqueabad.(COMBINED)",Saddiqueabad,266010604,,,,269,256,525,,,0
"",,Saddiqueabad,266010605,,,,457,428,885,,,0
"",,,,,,,726,684,"1,410",2,2,4
27,"Government Girls Elementry School,Surakki.(COMBINED)",Surraki,266010606,,,,352,389,741,,,0
"",,Surraki,266010608,,,,147,135,282,,,0
"",,,,,,,499,524,1023,1,1,2
28,"Government Boys High School,Surraki No.I (High Portion)(COMBINED)",Surraki,266010607,,,,463,469,932,,,0
"",,,,,,,463,469,932,1,1,2
29,"Government Boys High School,Surraki No.II (Middle Portion)(COMBINED)",Surraki,266010609,,,,381,378,759,,,0
"",Surraki,266010610,,,,311,284,595,,,0,
"",Rakh Surreki,266010611,,,,0,0,0,,,0,
30,"Government Girls High School,Khura (East)۔(COMBINED)",Khura,266010701,,,,895,793,1688,,,0
"",,,,,,,895,793,1688,1,1,2
31,"Government Girls High School,Khura (North).(COMBINED)",Khura,266010702,,,,368,336,704,,,0
"",,Khura,266010704,,,,331,256,587,,,0
"",,,,,,,699,592,1291,1,1,2
32,"Government Boys High School,Khura (High Portion)(COMBINED)",Khura,266010703,,,,331,256,587,,,0
"",,,,,,,331,256,587,1,1,2
33,"Government Girls High School,Khura (West)(COMBINED)",Khura,266010705,,,,609,516,1125,,,0
"",,,,,,,609,516,1125,1,1,2
34,"Government Boys High School,Khura (Middle Portion)(COMBINED)",Rakh Chanaki,266010505,,,,22,23,45,,,0
"",Khura,266010706,,,,243,230,473,,,0,
"",Khura,266010707,,,,271,244,515,,,0,
"",Rakh Khura,266010714,,,,25,15,40,,,0,
"",,,,,,,561,512,1073,1,1,2
35,"Government Girls High School,Khura (South)(COMBINED)",Khura,266010708,,,,301,244,545,,,0
"",,Khura,266010709,,,,340,280,620,,,0
"",,,,,,,641,524,1165,1,1,2
36,"Government Boys Elementary School,Kalyal.(COMBINED)",Rakh Hayat-ul-mir,266010715,,,,31,22,53,,,0
"",,Kalyal,266010710,,,,476,425,901,,,0
"",,Kalyal,266010713,,,,533,480,1013,,,0
"",,,,,,,1040,927,1967,2,2,4
Kalyal,266010711,,,,430,379,809,,,0,,
"",,,,,,,491,430,921,1,1,2
38,"Government Boys High School,Kuradhi.(COMBINED)",Kuradhi,266010801,,,,492,473,965,,,0
"",,Kuradhi,266010802,,,,76,40,116,,,0
"",,Kuradhi,266010803,,,,102,99,201,,,0
"",,Kuradhi,266010804,,,,188,149,337,,,0
"",,,,,,,858,761,"1,619",2,2,4
39,"Government Girls High School, Kuradhi.(COMBINED)",Kuradhi,266010805,,,,382,423,805,,,0
"",,Kuradhi,266010806,,,,360,327,687,,,0
"",,Rakh Kuradhi,266010807,,,,0,0,0,,,0
"",,,,,,,742,750,"1,492",2,2,4
40,"Government Boys High School,Mardwal (High Portion).",Mardwal,266010901,,,,179,183,362,,,0
"",,Mardwal,266010902,,,,352,324,676,,,0
"",,,,,,,531,507,1038,1,1,2
