"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",1,"Star College, Main G.T. Road, Kot Shahab Din,Shadrah Lahore ()",,,Khadam Colony,185030602,,1666,,1666,2,0,2,Male
"",1 Total,,,,,,,1666,0,1666,2,0,2,
"",2,"Oldage Employees benefit main G.T.Road, KotShahab Din Shahdara Lahore ()",,,"Kamboh Gali No.2,3 KotShahab Din",185030605,,876,,876,2,0,2,Male
"",2 Total,,,,,,,876,0,876,2,0,2,
"",3,"Oldage Employees benefit main G.T.Road, KotShahab Din Shahdara Lahore ()",,,Khadam Colony,185030602,,,1415,1415,0,4,4,Female
"",3,,,"Kamboh Gali No.2,3 KotShahab Din",185030605,,,717,717,Female,,,,
"",3 Total,,,,,,,0,2132,2132,0,4,4,
"",4,"Directorate of Social Security 65 G.T. RoadShahdara Lahore ()",,,"Jinnah Park Kot ShahabDin",185030603,,,292,292,0,4,4,Female
"",4,,,"G.T Road Kot ShahabDin",185030604,,,356,356,Female,,,,
"",4,,,"Gali No.5 Kot ShahabDin",185030601,,,735,735,Female,,,,
"",4 Total,,,,,,,0,1383,1383,0,4,4,
"",5,"Star College, Main G.T. Road, Kot Shahab Din,Shadrah Lahore ()",,,"Jinnah Park Kot ShahabDin",185030603,,309,,309,3,0,3,Male
"",5,,,"Gali No.5 Kot ShahabDin",185030601,,869,,869,Male,,,,
"",5 Total,,,,,,,1178,0,1178,3,0,3,
"",6,"Directorate of Social Security 65 G.T. RoadShahdara Lahore ()",,,"G.T Road Kot ShahabDin",185030604,,393,,393,2,0,2,Male
"",6 Total,,,,,,,393,0,393,2,0,2,
"",7,"Kinzul Imran School, Sadar Street, Main Bazar KotShahab Din ()",,,"Masjid Khalil / DeraChoudary Kashif Chatha",185030505,,794,,794,2,0,2,Male
"",7 Total,,,,,,,794,0,794,2,0,2,
"",8,"Directorate of Social Security 65 G.T. RoadShahdara Lahore ()",,,Jinaah Park,185030506,,607,,607,3,0,3,Male
"",8,,,"Gali No.7,9 Lajpat Nagar",185030503,,553,,553,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
9,"Central Cadit School Lajpat Road ShahdaraLahore  ()",,,"Masjid Khalil / DeraChoudary Kashif Chatha",185030505,,,643,643,0,4,4,Female
9,,,Jinaah Park,185030506,,,556,556,Female,,,,
9,,,"Gali No.7,9 Lajpat Nagar",185030503,,,398,398,Female,,,,
9 Total,,,,,,,0,1597,1597,0,4,4,
10,"Hira Islamic and Public School, MuhammadiChowk, Lajpat Road, Lahore ()",,,"Itifaq Colony LajpatNagar",185030502,,541,393,934,2,1,3,Combined
10 Total,,,,,,,541,393,934,2,1,3,
11,"Central Cadit School Lajpat Road ShahdaraLahore  ()",,,Chatha Park,185030504,,1402,,1402,3,0,3,Male
11,,,Chatha Park,185030508,,0,,0,Male,,,,
11 Total,,,,,,,1402,0,1402,3,0,3,
12,"Central Cadit School Lajpat Road ShahdaraLahore  ()",,,Chatha Park,185030504,,,1039,1039,0,2,2,Female
12,,,Chatha Park,185030508,,,0,0,Female,,,,
12 Total,,,,,,,0,1039,1039,0,2,2,
13,"Adeel Central Model School, St. No. 4, ChathaPark, Shahdara ()",,,"Hameed Park / ChathaPark",185030501,,664,,664,4,0,4,Male
13,,,"Hameed Park / ChathaPark",185030507,,867,,867,Male,,,,
13 Total,,,,,,,1531,0,1531,4,0,4,
14,"New Muslim Modle School Near Masjid AnayatGhoshia Near Aziz Colony Shahdara Lahore  ()",,,"Hameed Park / ChathaPark",185030501,,,518,518,0,3,3,Female
14,,,"Hameed Park / ChathaPark",185030507,,,663,663,Female,,,,
14 Total,,,,,,,0,1181,1181,0,3,3,
15,"The Nation School, Dogar Chowk, Main Bazar,Lajpat Road, Lahore ()",,,"Islam Nagar Sui GasRoad",185030401,,410,,410,4,0,4,Male
15,,,"Gulzar Colony ChowkIslam Nagar",185030402,,283,,283,Male,,,,
15,,,Aziz Colony,185030201,,609,,609,Male,,,,
15,,,Islam nagar aziz Colony,185030202,,393,,393,Male,,,,
15 Total,,,,,,,1695,0,1695,4,0,4,
16,"The Nation School, Dogar Chowk, Main Bazar,Lajpat Road, Lahore ()",,,Islam nagar aziz Colony,185030202,,,320,320,0,3,3,Female
16,,,"Islam Nagar Sui GasRoad",185030401,,,342,342,Female,,,,
16,,,"Gulzar Colony ChowkIslam Nagar",185030402,,,222,222,Female,,,,
16,,,Aziz Colony,185030201,,,461,461,Female,,,,
