Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"",,"Name of electoralarea","Census blockcode","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt Boys Primary School, Chanu Shahbaz (Comb) (P)",Chanu Shahbaz,217050701,,,,207,174,381,1,1,2
1,,Chanu Shahbaz,217050702,,,,166,117,283,,,
Total,,,,,,,373,291,664,1,1,2
2,"Govt Girls Primary School, Rajapur at Rawani (Comb)(P)",Rawani,217050101,,,,988,836,1824,2,2,4
2,,Rawani,217050102,,,,,,,,,
Total,,,,,,,988,836,1824,2,2,4
3,"Govt.Boys High School, Rawani Part-I (Comb) (P)",Rawani,217050103,,,,551,484,1035,1,1,2
3,,Rawani,217050110,,,,,,,,,
Total,,,,,,,551,484,1035,1,1,2
4,"Govt.Boys Middle School,Chak wala Part-I (Male) (P)",Rawani,217050104,,,,1190,0,1190,3,0,3
4,,Rawani,217050105,,,,,,,,,
4,,Rawani,217050111,,,,,,,,,
5,"Govt.Boys Middle School,Chak wala Part-II (Female)(P)",Rawani,217050104,,,,0,926,926,0,2,2
5,,Rawani,217050105,,,,,,,,,
5,,Rawani,217050111,,,,,,,,,
Total,,,,,,,0,926,926,0,2,2
6,"Govt. Girls Middle School, Daulat pur at Rawani Part-I(Male) (P)",Rawani,217050106,,,,1237,0,1237,3,0,3
6,,Rawani,217050107,,,,,,,,,
6,,Rawani,217050108,,,,,,,,,
Total,,,,,,,1237,0,1237,3,0,3
7,"Govt. Girls Middle School, Daulat pur at Rawani Part-II(Female) (P)",Rawani,217050106,,,,0,1087,1087,0,2,2
7,,Rawani,217050107,,,,,,,,,
7,,Rawani,217050108,,,,,,,,,
Total,,,,,,,0,1087,1087,0,2,2
8,"Govt.Boys Primary School, thakar wala (Comb) (P)",Rawani,217050109,,,,592,526,1118,1,1,2
Total,,,,,,,592,526,1118,1,1,2
9,"Govt.Girls Middle  School, Daulat Pur Rawani Part-III(Comb) (P)",Kotli Jhndir,217050703,,,,229,232,461,1,1,2
Total,,,,,,,229,232,461,1,1,2
10,"Govt. Elementary School,Chak No.381/WB (Comb) (P)",Chak No.381/WB,219030801,,,,368,278,646,2,2,4
10,,Chak No.381/WB,219030802,,,,534,363,897,,,
Total,,,,,,,902,641,1543,2,2,4
11,"Govt.Girls High School,Chak No.377/W.B (Comb) (T)",Chak No.377/WB,219030803,,,,586,556,1142,1,1,2
Total,,,,,,,586,556,1142,1,1,2
12,"Govt Elementary School,Chak No.382/WB (Comb) (P)",Chak No.382/WB,219030804,,,,447,361,808,2,2,4
12,,Chak No.382/WB,219030805,,,,333,267,600,,,
Total,,,,,,,780,628,1408,2,2,4
13,"Govt. Boys High School, Chak No.378/WB (Comb) (P)",Chak No.378/WB,219030601,,,,518,465,983,1,1,2
Total,,,,,,,518,465,983,1,1,2
14,"Govt Boys Middle  School,Chak No.379/WB (Comb) (P)",Chak No.379/WB,219030602,,,,418,348,766,2,2,4
14,,Chak No.379/WB,219030603,,,,392,291,683,,,
Total,,,,,,,810,639,1449,2,2,4
15,"Govt Girls Elementary School,Chak No.380/WB (Comb)(T)",Chak No.380/WB,219030604,,,,703,588,1291,2,1,3
Total,,,,,,,703,588,1291,2,1,3
16,"Govt Boys Primary School,354/WB (Comb) (P)",Chak No.354/WB,219030203,,,,636,518,1154,2,1,3
Total,,,,,,,636,518,1154,2,1,3
17,"Govt.Girls Model Elementary School, 354/WB (Comb)(P)",Chak No.354/WB,219030204,,,,522,403,925,1,1,2
Total,,,,,,,522,403,925,1,1,2
18,"Basic Health Unit, Chak No.353/WB (Comb) (P)",Chak No.353/WB,219030201,,,,416,323,739,2,2,4
18,,Chak No.352/WB,219030102,,,,15,5,20,,,
Total,,,,,,,1021,878,1899,2,2,4
19,"Govt.Girls Middle School, Chak No. 356/WB (Comb) (P)",Chak No.356/WB,219030205,,,,610,502,1112,2,1,3
Total,,,,,,,610,502,1112,2,1,3
20,"Govt.Boys High School,Chak No.356/WB Part-I (Comb)(P)",Chak No.356/WB,219030206,,,,465,373,838,1,1,2
Total,,,,,,,465,373,838,1,1,2
21,"Govt.Boys High School,Chak No.356/WB Part-II (Comb)(P)",Chak No.356/WB,219030207,,,,415,312,727,1,1,2
21,,Chak No.356/WB,219030208,,,,148,116,264,,,
Total,,,,,,,563,428,991,1,1,2
22,"Govt Girls Primary School, Chak No.374/WB (West)(Comb) (P)",Chak No.374/WB,219030504,,,,357,291,648,2,2,4
22,,Chak No.374/WB,219030505,,,,203,192,395,,,
22,,Chak No.373/WB,219030901,,,,224,191,415,,,
Total,,,,,,,784,674,1458,2,2,4
23,"Govt Boys Primary School, Dehssi wala (Comb) (P)",Dessi,219030905,,,,685,584,1269,2,1,3
Total,,,,,,,685,584,1269,2,1,3
24,"Basic Health Unit, Chak No.386/WB (Comb) (P)",Chak No.386/WB,219030902,,,,622,567,1189,2,1,3
Total,,,,,,,622,567,1189,2,1,3
25,"Govt. Girls Primary School, 386/WB (Comb) (P)",Chak No.386/WB,219030903,,,,562,464,1026,1,1,2
Total,,,,,,,562,464,1026,1,1,2
26,"Govt Girls Primary School, Chak No.387/WB (Comb)(P)",Chak No.387/WB,219030904,,,,460,409,869,1,1,2
Total,,,,,,,460,409,869,1,1,2
27,"Govt Boys Primary School,Chak No. 389/WB East(Comb) (P)",Chak No.389/WB East,219030907,,,,655,570,1376,2,2,4
Total,,,,,,,655,570,1376,2,2,4
28,"Govt Girls Primary School,Chak No. 389/WB West(Comb) (P)",Chak No.389/WB West,219030906,,,,698,678,1225,2,1,3
Total,,,,,,,698,678,1225,2,1,3
29,"Govt. Sharif Shaheed High School,Chak No. 376/WB(Comb) (P)",Chak No.376/WB,219030301,,,,409,350,759,2,1,3
29,,Chak No.376/WB,219030302,,,,170,117,287,,,
29,,Chak No.375/WB,219030307,,,,57,44,101,,,
Total,,,,,,,636,511,1147,2,1,3
30,"Govt Boys Primary School ,Chak No. 370/WB (Comb)(P)",Chak No. 370/WB,219030306,,,,636,549,1185,2,1,3
Total,,,,,,,636,549,1185,2,1,3
31,"Govt Boys Primary School,Chak No. 371/WB (Comb)(P)",Chak No.371/WB,219030303,,,,510,470,980,1,1,2
Total,,,,,,,510,470,980,1,1,2
32,,Chak No.371/WB,219030305,,,,,,,,,
Total,,,,,,,479,389,868,1,1,2
33,"Canal Rest House, Chak No. 368/WB Kot Missri (Male)(P)",Chak No. 368/WB,219030103,,,,892,0,892,3,0,3
33,,Chak No. 368/WB,219030104,,,,193,0,193,,,
Total,,,,,,,1085,0,1085,3,0,3
34,"Canal Rest House, Chak No. 368/WB Kot Missri(Female) (P)",Chak No. 368/WB,219030103,,,,0,757,757,0,2,2
34,,Chak No. 368/WB,219030104,,,,0,148,148,,,
Total,,,,,,,0,905,905,0,2,2
35,"Govt Girls Primary School, 368/WB (Comb) (P)",Chak No. 368/WB,219030105,,,,553,439,992,2,1,3
35,,Chak No. 368/WB,219030106,,,,79,65,144,,,
Total,,,,,,,632,504,1136,2,1,3
36,"Govt Girls Community Model School,Chak No.369/WB(Comb) (P)",Chak No.369/WB,219030101,,,,643,567,1210,2,1,3
Total,,,,,,,643,567,1210,2,1,3
37,"Govt Elementary School,Chak No. 360/WB (Comb) (P)",Chak No. 360/WB,219031203,,,,362,348,710,1,1,2
Total,,,,,,,362,348,710,1,1,2
