DRAFT LIST OF POLLING STATIONS FOR A CONSTITUENCY ELECTION 2018 TO THE PROVINCIAL ASSEMBLY OF THE PUNJAB.,Booth Type,,,,,,,,,,,,
No. and Name of Constituency PP-65 M.B.Din-I,,,,,,,,,,,,,
No. and Name of Polling Station,In Case of Rural Area,In Case of Urban Area,"S.No. of voterson theElectoral Roll in",Number of Voters,Number of Polling Booths,,,,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"CensusBlock Code",Male,Female,Total,"MaleBooths","FemaleBooths","TotalBooths",,
"",,,,,,,,,,,,,
1,"Government Boys HigherSecondary School Sohawa BolaniEast. (Male)",Sohawa Bolani,175020701,,,,385,0,385,2,0,2,Male
"",,Sohawa Bolani,175020704,,,,357,0,357,,,,
"",,Sohawa Bolani,175020705,,,,351,0,351,,,,
"",,Sohawa Bolani,175020706,,,,264,0,264,,,,
"",,Total,1357,0,1357,,,,,,,,
2,"Government Boys HigherSecondary School Sohawa BolaniSouth (Male)",Sohawa Bolani,175020703,,,,145,0,145,1,0,1,Male
"",,Sohawa Bolani,175020712,,,,139,0,139,,,,
"",,Sohawa Bolani,175020713,,,,147,0,147,,,,
"",,Sohawa Bolani,175020714,,,,144,0,144,,,,
"",,Sohawa Bolani,175020715,,,,99,0,99,,,,
"",,Total,674,0,674,,,,,,,,
3,"Government Girls High School,Sohawa Bolani East (Female)",Sohawa Bolani,175020701,,,,0,327,327,0,2,2,Female
Sohawa Bolani,175020703,,,,0,122,122,,,,,,
Sohawa Bolani,175020704,,,,0,269,269,,,,,,
Sohawa Bolani,175020705,,,,0,239,239,,,,,,
Sohawa Bolani,175020706,,,,0,239,239,,,,,,
Sohawa Bolani,175020712,,,,0,86,86,,,,,,
Sohawa Bolani,175020713,,,,0,105,105,,,,,,
Sohawa Bolani,175020714,,,,0,93,93,,,,,,
Sohawa Bolani,175020715,,,,0,95,95,,,,,,
Total,0,1575,1575,,,,,,,,,,
Sohawa Bolani,175020702,,,,572,0,572,,,,,,
Sohawa Bolani,175020707,,,,536,0,536,,,,,,
