"",Sr. No,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,No. of Voters assigned to Polling Station,Number of Polling Booths,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total
"",1,2,3,4,5,6,7,8,9,10,11,12
1,"Government Boys Middle School, SurajMiani alias Mari Wala",Raj Ghat Suraj Miani,212010601,,,211,0,211,3,0,3,
"",,Raj Ghat Suraj Miani,212010602,,,303,0,303,,,,
"",,Karam Town Raj Ghat,212010603,,,267,0,267,,,,
"",,Raj Ghat,212010604,,,285,0,285,,,,
"",,Raj Ghat,212010605,,,283,0,283,,,,
"",,Near Middle School Raj Ghat,212010606,,,161,0,161,,,,
1 Total,,,,,,1510,0,1510,3,0,3,
2,"Government Boys Middle School, SurajMiani alias Mari Wala",Raj Ghat Suraj Miani,212010601,,,0,192,192,0,3,3,
"",,Raj Ghat Suraj Miani,212010602,,,0,287,287,,,,
"",,Karam Town Raj Ghat,212010603,,,0,220,220,,,,
"",,Raj Ghat,212010604,,,0,174,174,,,,
"",,Raj Ghat,212010605,,,0,298,298,,,,
"",,Near Middle School Raj Ghat,212010606,,,0,149,149,,,,
2 Total,,,,,,0,1320,1320,0,3,3,
3,"Government Girls Primary School, DhorKot",Basti Dhor Kot,212010623,,,707,0,707,2,0,2,
"",,Basti Dhor Kot,212010624,,,557,0,557,,,,
3 Total,,,,,,1264,0,1264,2,0,2,
4,"Government Girls Primary School, DhorKot",Mouza Tindni Suraj Miani,212010625,,,361,315,676,1,1,2,
"",,Mouza Tindni Suraj Miani,212010626,,,244,197,441,,,,
4 Total,,,,,,605,512,1117,1,1,2,
5,"Government Girls Higher SecondaryJunior Branch School, Ram Pur Sair Mianinear Darbar Sakhi Sultan",Darbar Sakhi Sultan Suraj Miani,212010620,,,441,0,441,4,0,4,
"",,Ram Pur Sair Miani,212010632,,,90,0,90,,,,
"",,Mohallah Raza Abad Suraj Miani,212010633,,,411,0,411,,,,
"",,Mohallah Raza Abad Suraj Miani,212010634,,,146,0,146,,,,
"",,Mohallah Raza Abad Suraj Miani,212010635,,,178,0,178,,,,
"",,Mohallah Raza Abad Suraj Miani,212010636,,,518,0,518,,,,
5 Total,,,,,,1784,0,1784,4,0,4,
6,"Government Girls Primary School, RamPur Sair Miani near Darbar Sakhi Sultan",Darbar Sakhi Sultan Suraj Miani,212010620,,,0,438,438,0,3,3,
"",,Ram Pur Sair Miani,212010632,,,0,79,79,,,,
"",,Mohallah Raza Abad Suraj Miani,212010633,,,0,383,383,,,,
"",,Mohallah Raza Abad Suraj Miani,212010634,,,0,93,93,,,,
"",,Mohallah Raza Abad Suraj Miani,212010635,,,0,138,138,,,,
"",,Mohallah Raza Abad Suraj Miani,212010636,,,0,465,465,,,,
6 Total,,,,,,0,1596,1596,0,3,3,
7,"Government Elementary Islamia JaffariaSchool, Suraj Miani Alamdar Chowk","Chah Mamolay Wala Raj Ghat (RamPur)",212010630,,,310,274,584,2,2,4,
"",,Chah Sitaray Wala,212010631,,,432,359,791,,,,
7 Total,,,,,,742,633,1375,2,2,4,
8,"Government Girls Primary School,Shahadat wala",Ram Pur Sair Miani,212010628,,,400,344,744,2,2,4,
"",,Basti Rasool Pur Suraj Miani,212010629,,,594,497,1091,,,,
8 Total,,,,,,994,841,1835,2,2,4,
9,"Office of the Union Council, Suraj Miani",Ram Pur Sair Miani,212010627,,,509,415,924,1,1,2,
10,"Government Boys Primary School, FerozColony (5-Marla Scheme Mohalla",5 Marla Scheme Suraj Miani,212010607,,,350,279,629,2,2,4
"",,5 Marla Scheme Suraj Miani,212010608,,,520,444,964,,,
10 Total,,,,,,870,723,1593,2,2,4
11,"Government Boys Primary School, FerozColony (5-Marla Scheme MohallaMominabad)",VIP Colony Suraj Miani,212010609,,,524,458,982,1,1,2
11 Total,,,,,,524,458,982,1,1,2
12,"Government Girls Primary School, AlamdiSura (Basti Tibbi)",VIP Colony Suraj Miani Alamdi Sura,212010610,,,432,0,432,4,0,4
"",,Jafria Bazar Suraj Miani,212010611,,,314,0,314,,,
"",,Jafria Bazar Suraj Miani,212010612,,,368,0,368,,,
"",,Jafria Bazar Suraj Miani,212010613,,,181,0,181,,,
"",,Jafria Bazar Suraj Miani,212010614,,,502,0,502,,,
"",,Jafria Bazar Suraj Miani,212010638,,,210,0,210,,,
12 Total,,,,,,2007,0,2007,4,0,4
13,"Government Girls Primary School, AlamdiSura (Basti Tibbi)",VIP Colony Suraj Miani Alamdi Sura,212010610,,,0,343,343,0,4,4
"",,Jafria Bazar Suraj Miani,212010611,,,0,279,279,,,
"",,Jafria Bazar Suraj Miani,212010612,,,0,360,360,,,
"",,Jafria Bazar Suraj Miani,212010613,,,0,159,159,,,
"",,Jafria Bazar Suraj Miani,212010614,,,0,517,517,,,
"",,Jafria Bazar Suraj Miani,212010638,,,0,68,68,,,
13 Total,,,,,,0,1726,1726,0,4,4
14,"Government Boys Middle School, IslamiaJafria Suraj Miani",New Town Suraj Miani Tahli Wala,212010616,,,435,0,435,3,0,3
"",,Mohallah Mahajreen Suraj Miani,212010618,,,722,0,722,,,
"",,Mohallah Sadat Suraj Miani,212010619,,,431,0,431,,,
14 Total,,,,,,1588,0,1588,3,0,3
15,"Government Boys Middle School, IslamiaJafria Suraj Miani",New Town Suraj Miani Tahli Wala,212010616,,,0,384,384,0,3,3
"",,Mohallah Mahajreen Suraj Miani,212010618,,,0,597,597,,,
"",,Mohallah Sadat Suraj Miani,212010619,,,0,367,367,,,
15 Total,,,,,,0,1348,1348,0,3,3
16,"Government Boys Middle School, IslamiaJafria (Suraj Miani)","Mohallah Khokhran MohallahMohajreen Suraj Miani",212010617,,,137,0,137,2,0,2
"",,Chah Mamolay Wala Suraj Miani,212010621,,,302,0,302,,,
"",,Chah Mamolay Wala Suraj Miani,212010622,,,305,0,305,,,
16 Total,,,,,,744,0,744,2,0,2
17,"Government Boys Middle School, IslamiaJafria (Suraj Miani)","Mohallah Khokhran MohallahMohajreen Suraj Miani",212010617,,,0,132,132,0,2,2
"",,Chah Mamolay Wala Suraj Miani,212010621,,,0,317,317,,,
"",,Chah Mamolay Wala Suraj Miani,212010622,,,0,249,249,,,
17 Total,,,,,,0,698,698,0,2,2
18,"Government Boys Primary School, SeerKharak","Seer Kharak Chungi No. 4 (TarafMubarak Awal)",212010101,,,413,330,743,1,1,2
18 Total,,,,,,413,330,743,1,1,2
19,"Government Boys Primary School, SeerKharak No. 1","Sewra Chungi No. 3 (Taraf MubarakAwal)",212010102,,,577,413,990,2,1,3
"",,"Basti Gujran Wali near Sewra Chowk(Taraf Mubarak Awal)",212010103,,,230,158,388,,,
19 Total,,,,,,807,571,1378,2,1,3
20,"Government Girls Primary School, DuranaLangana",Mouza Durana Langana,212010406,,,168,161,329,1,1,2
Mouza Durana Langana,212010407,,,416,352,768,,,,,
21,"Government Girls Middle School, Haji Pur",Durana Langana,212010403,,,356,308,664,2,2,4
"",,Durana Langana,212010404,,,128,103,231,,,
"",,Durana Langana,212010422,,,551,436,987,,,
21 Total,,,,,,1035,847,1882,2,2,4
22,"Government Girls Middle School, Haji Pur",Wapda Town Durana Langana,212010408,,,198,127,325,2,1,3
"",,Wapda Town Durana Langana,212010409,,,479,474,953,,,
22 Total,,,,,,677,601,1278,2,1,3
23,"Government Boys Primary School, BastiChowkidar Wala",Syed Wala Durana Langana,212010401,,,223,144,367,2,2,4
"",,Syed Wala Durana Langana,212010421,,,238,251,489,,,
"",,"Gareen Avenue, 5 Marla Scheme,Kotla Matar Ban Durana Langana",212010414,,,94,113,207,,,
"",,"Gareen Avenue, 5 Marla Scheme,Kotla Matar Ban Durana Langana",212010430,,,75,26,101,,,
"",,Kotla Matar Ban Durana Langana,212010415,,,399,334,733,,,
23 Total,,,,,,1029,868,1897,2,2,4
24,"Government Boys Primary School, BastiShor Kot",Basti Shor Kot Durana Langana,212010413,,,57,43,100,2,1,3
"",,Basti Shor Kot Durana Langana,212010428,,,55,47,102,,,
"",,Basti Shor Kot Durana Langana,212010429,,,182,165,347,,,
"",,Babran Wala,212010420,,,432,338,770,,,
24 Total,,,,,,726,593,1319,2,1,3
25,"Government Boys Primary School,Mansoor Nagar",5 Marla Scheme Durana Langana,212010402,,,25,0,25,1,0,1
"",,Durana Langana,212010405,,,321,0,321,,,
25 Total,,,,,,346,0,346,1,0,1
26,"Government Boys Primary School,Mansoor Nagar",5 Marla Scheme Durana Langana,212010402,,,0,26,26,0,1,1
"",,Durana Langana,212010405,,,0,293,293,,,
26 Total,,,,,,0,319,319,0,1,1
27,"Government Girls Primary School,Ahmedabad, Chah Kotlay Wala",Taraf Mubarak Doem (Tariqabad),212010204,,,511,400,911,1,1,2
27 Total,,,,,,511,400,911,1,1,2
