"","ELECTION COMMISSION OF PAKISTANFORMFORM-28{ See rule  50 }LIST OF POLLING STATIONS FOR A CONSTITUENCYElection to the National Assembly of the PunjabNo. and name of ConstituencyNA-181-Muzaffargarh-I",,,,,,,,,,,,
"",Sr.No.,No. and name of Polling Station,In case f rural areas,In case f urban areas,,"Number of voters assingnedto polling station",Nuimber of polling booths,,,,,,
"",,,Name of Electoral Area,"Census blockcode","Name of ElectoralArea","Census blockcode","Sr. No. of voters onthe eletoral roll incase electoral areais birurcated",,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,Basic Health Unit 531 TDA,531/TDA,237060101,_,_,,279,195,474,1,1,2
"",,,532/TDA,237060102,_,_,,398,242,640,,,
"",,,,,_,_,,,,,,,
"",2,Government Girls Primary School 533 /TDA,533/TDA,237060103,_,_,,387,274,661,1,1,2
"",,,534/TDA,237060104,_,_,,257,177,434,,,
"",,,,,_,_,,,,,,,
"",3,Government Girls Primary School 536 TDA,535/TDA,237060105,_,_,,108,86,194,2,1,3
"",,,536/TDA,237060106,_,_,,343,210,553,,,
"",,,,,_,_,,,,,,,
"",4,Government Boys Primary School Zubair Abad,617/TDA,237060201,_,_,,555,372,927,2,1,3
"",,,617/TDA,237060202,_,_,,415,276,691,,,
"",,,,,_,_,,,,,,,
"",5,Government Boys Primary School 619 TDA,618/TDA,237060203,_,_,,291,243,534,2,1,2
"",,,619/TDA,237060204,_,_,,322,222,544,,,
"",,,,,_,_,,,,,,,
"",6,Government Boys Primary School 624 TDA,624/TDA,237060205,_,_,,416,341,757,2,1,3
"",,,625/TDA,237060206,_,_,,504,337,841,,,
"",,,,,_,_,,,,,,,
"",7,Government Boys Primary School 620/TDA,620/TDA,237060301,_,_,,367,253,620,2,1,2
"",,,621/TDA,237060302,_,_,,388,255,643,,,
"",,,,,_,_,,,,,,,
"",8,Government Boys Primary School 578 (622 TDA),622/TDA,237060303,_,_,,293,168,461,,,
"",,,623/TDA,237060304,_,_,,336,199,535,2,1,3
"",,,624/TDA,237060305,_,_,,116,68,184,,,
"",,,,,_,_,,,,,,,
"",9,Government Boys Primary School 626 TDA,626/TDA,237060401,_,_,,590,398,988,2,1,3
"",10,Government Girls Primary School 628/TDA,627/TDA,237060402,_,_,,356,250,606,1,1,2
628/TDA,237060403,_,_,,209,185,394,,,,,,
"",,_,_,,,,,,,,,,
632/TDA,237060404,_,_,,369,241,610,,,,,,
"",Government Boys Primary School 633 TDA,633/TDA,237060405,_,_,,532,393,925,2,1,3
"",,,,_,_,,,,,,,
12,Government Girls Primary School 536 TDA,537/TDA,237060501,_,_,,207,142,349,2,1,3
"",,537/TDA,237060502,_,_,,421,308,729,,,
"",,,,_,_,,,,,,,
13,Government Girls Primary School 539 TDA,538/TDA,237060503,_,_,,581,407,988,2,1,3
"",,539/TDA,237060504,_,_,,281,200,481,,,
"",,,,_,_,,,,,,,
14,Government Girls Primary School 541 TDA,540/TDA,237060505,_,_,,310,228,538,2,1,3
"",,541/TDA,237060506,_,_,,268,174,442,,,
"",,545/TDA,237060507,_,_,,224,136,360,,,
"",,,,_,_,,,,,,,
"",,,,_,_,,,,0,,,
15,Government Boys Primary School 554 TDA,514/TDA,237060601,_,_,,376,288,664,2,1,2
"",,551/TDA,237060602,_,_,,232,145,377,,,
"",,552/TDA,237060603,_,_,,174,139,313,,,
"",,,,_,_,,,,,,,
16,Government Boys Primary School 553 TDA,553/TDA,237060604,_,_,,171,96,267,2,1,3
"",,553/TDA,237060605,_,_,,108,76,184,,,
"",,,,_,_,,279,744,1023,,,
17,Government Boys Primary School 543 TDA,542/TDA,237060701,_,_,,217,167,384,2,1,3
"",,543/TDA,237060702,_,_,,317,213,530,,,
"",,,,_,_,,,,,,,
18,Government Girls Primary School 544 TDA,544/TDA,237060703,_,_,,350,257,607,1,1,2
19,Government High School 550 TDA,550/TDA,237060704,_,_,,278,249,527,1,1,2
"",,550/TDA,237060705,_,_,,122,92,214,,,
"",,,,_,_,,,,,,,
20,Government Boys Primary School 564 TDA,Pattal Munda Gharbi,237060801,_,_,,212,142,354,2,1,2
"",,563/TDA,237060802,_,_,,356,286,642,,,
"",,564/TDA,237060803,_,_,,361,262,623,,,
"",,,,_,_,,,,,,,
21,Government Boys Primary School 555 TDA,554/TDA,237060804,_,_,,357,258,615,2,1,2
"",,555/TDA,237060805,_,_,,326,249,575,,,
"",,,,_,_,,,,,,,
22,Government Boys  Primary School 546/TDA,546/TDA,237060901,_,_,,308,214,522,2,1,2
"",,547/TDA,237060902,_,_,,373,217,590,,,
"",,,,_,_,,,,,,,
23,Government Girls Primay School 634/TDA,548/TDA,237060903,_,_,,547,306,853,2,1,2
"",,634/TDA,237060905,_,_,,333,208,541,,,
"",,,,_,_,,,,,,,
