S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. Girls Urban High School, Sahiwal  (Male)",-,-,Circle No. 1,208090101,-,564,0,564,4,0,4
1,,-,-,Circle No. 1,208090102,-,240,0,240,,,
1,,-,-,Circle No. 1,208090103,-,241,0,241,,,
1,,-,-,Circle No. 1,208090104,-,605,0,605,,,
1 Total,,,,,,,1650,0,1650,,,
2,"Govt. Girls Urban High School, Sahiwal   (Female)",-,-,Circle No. 1,208090101,-,0,435,435,0,3,3
2,,-,-,Circle No. 1,208090102,-,0,193,193,,,
2,,-,-,Circle No. 1,208090103,-,0,236,236,,,
2,,-,-,Circle No. 1,208090104,-,0,488,488,,,
2 Total,,,,,,,0,1352,1352,,,
3,"Girls Elementary School,Tariq Bin Ziad  Colony,Sahiwal(Male)",-,-,Circle No. 2,208090201,-,818,0,818,4,0,4
3,,-,-,Circle No. 2,208090202,-,427,0,427,,,
3,,-,-,Circle No. 2,208090203,-,502,0,502,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
4,"Girls Elementary School,Tariq Bin Ziad  Colony,Sahiwal(Female)",-,-,Circle No. 2,208090201,-,0,751,751,0,3,3
4,,-,-,Circle No. 2,208090202,-,0,408,408,,,
4,,-,-,Circle No. 2,208090203,-,0,487,487,,,
4 Total,,,,,,,0,1646,1646,,,
5,"Govt College of Technology for women, Sahiwal(Female)",-,-,Circle No. 2,208090204,-,0,340,340,0,2,2
5,,-,-,Circle No. 2,208090205,-,0,360,360,,,
5 Total,,,,,,,0,700,700,,,
6,"Millat Boys Primary School Tariq Bin Ziad Colony,Sahiwal(Male)",-,-,Circle No. 2,208090204,-,370,0,370,2,0,2
6,,-,-,Circle No. 2,208090205,-,409,0,409,,,
6 Total,,,,,,,779,0,779,,,
7,"Noor un Nabi,Bilal Colony, Sahiwal",-,-,Circle No. 3,208090301,-,498,0,498,3,0,3
7,,-,-,Circle No. 3,208090302,-,489,0,489,,,
7,,-,-,Circle No. 3,208090303,-,614,0,614,,,
7 Total,,,,,,,1601,0,1601,,,
8,"Girls Elementary School,Bilal Colony, Sahiwal(Female)",-,-,Circle No. 3,208090301,-,0,481,481,0,3,3
8,,-,-,Circle No. 3,208090302,-,0,413,413,,,
8,,-,-,Circle No. 3,208090303,-,0,557,557,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
9,"Boys Primary School Noor un Nabi, Bilal Colony,Sahiwal     (Male)",-,-,Circle No.3,208090304,-,504,0,504,2,0,2
9,,-,-,Circle No.3,208090305,-,499,0,499,,,
9 Total,,,,,,,1003,0,1003,,,
10,"Girls Elementary School,Bilal Colony, Sahiwal(Female)",-,-,Circle No.3,208090304,-,0,440,440,0,2,2
10,,-,-,Circle No.3,208090305,-,0,502,502,,,
10 Total,,,,,,,0,942,942,,,
11,"Govt. Urban Area High School,Sahiwal   (Male)",-,-,Circle No.4,208090401,-,553,0,553,3,0,3
11,,-,-,Circle No.4,208090402,-,676,0,676,,,
11 Total,,,,,,,1229,0,1229,,,
12,"Govt. Urban Area High School,  Sahiwal   (Combined)",-,-,Circle No.4,208090403,-,770,672,1442,2,1,3
12 Total,,,,,,,770,672,1442,,,
13,"Girls Vocational Institute,Nai Abadi, Madina Colony, Swl (Female)",-,-,Circle No.4,208090401,-,0,524,524,0,3,3
13,,-,-,Circle No.4,208090402,-,0,691,691,,,
13 Total,,,,,,,0,1215,1215,,,
14,"Girls Junior Model High School NO. 3 Jhall Road, NaiAbadi, Sahiwal (Male)",-,-,Circle No.4,208090404,-,765,0,765,2,0,2
14,,-,-,Circle No.4,208090405,-,237,0,237,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
15,"Girls Junior Model High School NO. 3 Jhall Road, NaiAbadi, Sahiwal (Female)",-,-,Circle No.4,208090404,-,0,648,648,0,2,2
15,,-,-,Circle No.4,208090405,-,0,194,194,,,
15 Total,,,,,,,0,842,842,,,
16,"Govt Girls Primary School  Gali No.3Bhutoo Nagar  Sahiwal(Male)",-,-,Circle No.5,208090501,-,813,0,813,2,0,2
16,,-,-,Circle No.5,208090508,-,211,0,211,,,
16 Total,,,,,,,1024,0,1024,,,
17,"New (15) Govt. Al Sahi Special Education SchoolBilal Colony Sahiwal (Male)",-,-,Circle No.5,208090502,-,973,0,973,2,0,2
17 Total,,,,,,,973,0,973,,,
18,"New (15)Allied Public Model High School Gali No.3Sahiwal Bhtoo Nagar Sahiwal(Combined)",-,-,Circle No.5,208090503,-,592,536,1128,1,1,2
18 Total,,,,,,,592,536,1128,,,
19,"New (16)Govt. Al Sahi Special Education School  BilalColony Sahiwal (Female)",-,-,Circle No.5,208090502,-,0,776,776,0,2,2
19 Total,,,,,,,0,776,776,,,
20,"Govt Girls Primary School  Gali No.3Bhutoo Nagar Sahiwal(Female)",-,-,Circle No.5,208090501,-,0,711,711,0,2,2
20,,-,-,Circle No.5,208090508,-,0,140,140,,,
20 Total,,,,,,,0,851,851,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
21,,-,-,Circle No.5,208090505,-,574,0,574,,,
21,,-,-,Circle No.5,208090509,-,0,0,0,,,
21 Total,,,,,,,1065,0,1065,,,
22,"Boys Primary School Muslim Bin Aqeel ColonySahiwal   (Male)",-,-,Circle No.5,208090506,-,585,0,585,2,0,2
22,,-,-,Circle No.5,208090507,-,463,0,463,,,
22 Total,,,,,,,1048,0,1048,,,
23,"Boys Primary School Muslim Bin Aqeel ColonySahiwal    (Female)",-,-,Circle No.5,208090506,-,0,442,442,0,2,2
23,,-,-,Circle No.5,208090507,-,0,383,383,,,
23 Total,,,,,,,0,825,825,,,
24,"Boys Primary SchoolMuslim Bin Aqeel Colony Sahiwal    (Female)",-,-,Circle No.5,208090504,-,0,432,432,0,2,2
24,,-,-,Circle No.5,208090505,-,0,478,478,,,
24,,-,-,Circle No.5,208090509,-,0,0,0,,,
24 Total,,,,,,,0,910,910,,,
25,"Govt. Boys Primary SchoolJ-Branch, Mohalla Faiz Abad,  Swl (Male)",-,-,Circle No.6,208090601,-,486,0,486,2,0,2
25,,-,-,Circle No.6,208090602,-,424,0,424,,,
25 Total,,,,,,,910,0,910,,,
26,"Govt. Boys Primary School J-Branch, Mohalla FaizAbad,  Swl (Male)",-,-,Circle No.6,208090603,-,748,0,748,2,0,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
27,"Girls Primary SchoolChaman Zar, Swl  (Female)",-,-,Circle No.6,208090601,-,0,444,444,0,2,2
27,,-,-,Circle No.6,208090602,-,0,358,358,,,
27,,-,-,Circle No.6,208090603,-,0,624,624,,,
27 Total,,,,,,,0,1426,1426,,,
28,"Govt. Boys Primary SchoolJ-Branch, Mohalla Faiz AbadSwl (Male)",-,-,Circle No.6,208090604,-,677,0,677,2,0,2
28,,-,-,Circle No.6,208090605,-,361,0,361,,,
28 Total,,,,,,,1038,0,1038,,,
29,"Girls Primary SchoolChaman Zar, Swl(Female)",-,-,Circle No.6,208090604,-,0,581,581,0,2,2
29,,-,-,Circle No.6,208090605,-,0,287,287,,,
29 Total,,,,,,,0,868,868,,,
30,"Govt. Girls College, Sahiwal             (Male)",-,-,Circle No.7,208090701,-,477,0,477,3,0,3
30,,-,-,Circle No.7,208090702,-,494,0,494,,,
30,,-,-,Circle No.7,208090705,-,457,0,457,,,
30 Total,,,,,,,1428,0,1428,,,
31,"Govt. Girls College, Sahiwal             (Female)",-,-,Circle No.7,208090701,-,0,507,507,0,3,3
31,,-,-,Circle No.7,208090702,-,0,457,457,,,
31,,-,-,Circle No.7,208090705,-,0,364,364,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
32,"Girls Islamia High SchoolFateh Sher, Colony, Sahiwal    (Male)",-,-,Circle No.7 & 8,208090703,-,389,0,389,3,0,3
32,,-,-,Circle No.7 & 8,208090704,-,340,0,340,,,
32,,-,-,Circle No.7 & 8,208090801,-,184,0,184,,,
32,,-,-,Circle No.7 & 8,208090802,-,490,0,490,,,
32 Total,,,,,,,1403,0,1403,,,
33,"Girls Islamia High SchoolFateh Sher, Colony, Sahiwal    (Female)",-,-,Circle No.7 & 8,208090703,-,0,373,373,0,3,3
33,,-,-,Circle No.7 & 8,208090704,-,0,333,333,,,
33,,-,-,Circle No.7 & 8,208090801,-,0,179,179,,,
33,,-,-,Circle No.7 & 8,208090802,-,0,454,454,,,
33 Total,,,,,,,0,1339,1339,,,
34,"M.A.O. Girls Public SchoolFateh Sher, Colony, Sahiwal    (Female)",-,-,Circle No.8,208090803,-,0,218,218,0,2,2
34,,-,-,Circle No.8,208090804,-,0,160,160,,,
34,,-,-,Circle No.8,208090805,-,0,307,307,,,
34 Total,,,,,,,0,685,685,,,
35,"Boys M.C Primary SchoolFateh Sher, Sahiwal(Male)",-,-,Circle No.8,208090803,-,250,0,250,2,0,2
35,,-,-,Circle No.8,208090804,-,208,0,208,,,
35,,-,-,Circle No.8,208090805,-,333,0,333,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
36,"Batala Muslim High SchoolSahiwal (Male)",-,-,Circle No.8,208090806,-,575,0,575,2,0,2
36,,-,-,Circle No.8,208090807,-,294,0,294,,,
36 Total,,,,,,,869,0,869,,,
37,"Batala Muslim High SchoolSahiwal (Male)",-,-,Circle No.8,208090808,-,706,0,706,3,0,3
37,,-,-,Circle No.8,208090809,-,401,0,401,,,
37,,-,-,Circle No.8,208090810,-,466,0,466,,,
37 Total,,,,,,,1573,0,1573,,,
38,"Batala Muslim High SchoolSahiwal (Female)",-,-,Circle No.8,208090806,-,0,538,538,0,2,2
38,,-,-,Circle No.8,208090807,-,0,274,274,,,
38 Total,,,,,,,0,812,812,,,
39,"Batala Muslim High SchoolSahiwal   (Female)",-,-,Circle No.8,208090808,-,0,792,792,0,3,3
39,,-,-,Circle No.8,208090809,-,0,365,365,,,
39,,-,-,Circle No.8,208090810,-,0,213,213,,,
39 Total,,,,,,,0,1370,1370,,,
40,"Imamia College, Sahiwal(Male)",-,-,Circle No.1,208100101,-,255,0,255,3,0,3
40,,-,-,Circle No.1,208100102,-,660,0,660,,,
40,,-,-,Circle No.1,208100103,-,325,0,325,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
40 Total,,,,,,,1438,0,1438,,,
41,"Imamia College, Sahiwal   (Female)",-,-,Circle No.1,208100101,-,0,240,240,0,3,3
41,,-,-,Circle No.1,208100102,-,0,641,641,,,
41,,-,-,Circle No.1,208100103,-,0,264,264,,,
41,,-,-,Circle No.1,208100104,-,0,142,142,,,
41 Total,,,,,,,0,1287,1287,,,
42,"Imamia College, sahiwal(Male)",-,-,Circle No.1,208100105,-,172,0,172,2,0,2
42,,-,-,Circle No.1,208100106,-,132,0,132,,,
42,,-,-,Circle No.1,208100107,-,528,0,528,,,
42,,-,-,Circle No.1,208100108,-,242,0,242,,,
42 Total,,,,,,,1074,0,1074,,,
43,"Imamia College, sahiwal(Female)",-,-,Circle No.1,208100105,-,0,130,130,0,2,2
43,,-,-,Circle No.1,208100106,-,0,132,132,,,
43,,-,-,Circle No.1,208100107,-,0,456,456,,,
43,,-,-,Circle No.1,208100108,-,0,215,215,,,
43 Total,,,,,,,0,933,933,,,
44,"MC. Boys Primary SchoolYadgar, Swl(Male)",-,-,Circle No.2,208100201,-,474,0,474,2,0,2
44,,-,-,Circle No.2,208100202,-,425,0,425,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
45,"MC. Boys Primary School Yadgar, Swl  (Male)",-,-,Circle No.2,208100203,-,866,0,866,2,0,2
45 Total,,,,,,,866,0,866,,,
46,"Govt Girls Primary School Yadgar, Swl  ((Female)",-,-,Circle No.2,208100203,-,0,760,760,0,2,2
46 Total,,,,,,,0,760,760,,,
47,"Govt Girls Primary SchoolYadgar, Swl((Female)",-,-,Circle No.2,208100201,-,0,417,417,0,2,2
47,,-,-,Circle No.2,208100202,-,0,360,360,,,
47 Total,,,,,,,0,777,777,,,
48,"TMA Office,Sahiwal(Male)",-,-,Circle No.2,208100204,-,859,0,859,3,0,3
48,,-,-,Circle No.2,208100205,-,459,0,459,,,
48 Total,,,,,,,1318,0,1318,,,
49,"TMA Office,Sahiwal(Female)",-,-,Circle No.2,208100204,-,0,699,699,0,2,2
49,,-,-,Circle No.2,208100205,-,0,389,389,,,
49 Total,,,,,,,0,1088,1088,,,
50,"Govt. High School Sahiwal(Male)",-,-,Circle No.2 & 3,208100206,-,617,0,617,2,0,2
50,,-,-,Circle No.2 & 3,208100304,-,358,0,358,,,
50 Total,,,,,,,975,0,975,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
51,,-,-,Circle No.2 & 3,208100304,-,0,313,313,,,
51 Total,,,,,,,0,885,885,,,
52,"Boys M.C  Primary School, Jail Sahiwal (Male)",-,-,Circl No.2 & 4,208100207,-,460,0,460,3,0,3
52,,-,-,Circl No.2 & 4,208100407,-,422,0,422,,,
52,,-,-,Circl No.2 & 4,208100413,-,323,0,323,,,
52 Total,,,,,,,1205,0,1205,,,
53,"Boys M.C Primary School, JailSahiwal(Female)",-,-,Circl No.2 & 4,208100207,-,0,422,422,0,2,2
53,,-,-,Circl No.2 & 4,208100407,-,0,380,380,,,
53,,-,-,Circl No.2 & 4,208100413,-,0,250,250,,,
53 Total,,,,,,,0,1052,1052,,,
54,"Pilot Girls High SchoolSahiwal (Male)",-,-,Circle No. 3,208100301,-,935,0,935,2,0,2
54,,-,-,Circle No. 3,208100308,-,0,0,0,,,
54 Total,,,,,,,935,0,935,,,
55,Pilot Girls High School Sahiwal (Male),-,-,Circle No. 3,208100302,-,412,0,412,3,0,3
55,,-,-,Circle No. 3,208100303,-,786,0,786,,,
55 Total,,,,,,,1198,0,1198,,,
56,Pilot Govt Girls High School (Female),-,-,Circle No. 3,208100302,-,0,408,408,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
56 Total,,,,,,,0,1187,1187,,,
57,"Pilot Girls High School(Female)",-,-,Circle No. 3,208100301,-,0,885,885,0,2,2
57,,-,-,Circle No. 3,208100308,-,0,0,0,,,
57 Total,,,,,,,0,885,885,,,
58,"Nangal Ambia No. 1 High School, Sahiwal (Male)",-,-,Circle No. 3,208100305,-,287,0,287,3,0,3
58,,-,-,Circle No. 3,208100306,-,824,0,824,,,
58,,-,-,Circle No. 3,208100307,-,450,0,450,,,
58 Total,,,,,,,1561,0,1561,,,
59,"Nangal Ambia No.1  High School,Sahiwal(Female)",-,-,Circle No. 3,208100305,-,0,245,245,0,3,3
59,,-,-,Circle No. 3,208100306,-,0,699,699,,,
59,,-,-,Circle No. 3,208100307,-,0,419,419,,,
59 Total,,,,,,,0,1363,1363,,,
60,"Technology College,                   Sahiwal   (Male)",-,-,Circle No.4,208100401,-,523,0,523,3,0,3
60,,-,-,Circle No.4,208100402,-,391,0,391,,,
60,,-,-,Circle No.4,208100408,-,502,0,502,,,
60 Total,,,,,,,1416,0,1416,,,
61,"Technology College, Sahiwal(Female)",-,-,Circle No.4,208100401,-,0,474,474,0,3,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
61,,-,-,Circle No.4,208100408,-,0,438,438,,,
61 Total,,,,,,,0,1313,1313,,,
62,"Boys  Elementary School,Jehaz Ground, sahiwal(Male)",-,-,Circle No. 4,208100403,-,504,0,504,2,0,2
