"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11
1,"Government Boys Primary SchoolThattha Faqeerullah.  (Combined)",MALSI PURA,166010101,,5,1,6,2,2,4
"",,"THATHA FAQIRULLAH",166010102,,576,425,1001,,,
"",,"THATHA FAQIRULLAH",166010103,,507,401,908,,,
"",,,,,1088,827,1915,,,
2,"Government Girls Primary SchoolThattha Faqeerullah. (Combined)","THATHA FAQIRULLAH",166010104,,545,506,1051,1,1,2
"",,,,,545,506,1051,,,
3,"Government Boys Primary SchoolBhattike.  (Male)","THATHA FAQIRULLAH",166010105,,576,370,946,3,0,3
"",,BHATTI KE,166010107,,528,0,528,,,
"",,BHATTI KE,166010108,,1024,0,1024,,,
"",,RAM PURA,166010109,,0,0,0,,,
"",,,,,2128,370,2498,,,
4,"Government Girls Primary SchoolBhattike.  (Female)",BHATTI KE,166010107,,0,430,430,0,2,2
"",,BHATTI KE,166010108,,0,838,838,,,
"",,RAM PURA,166010109,,0,0,0,,,
"",,,,,0,1268,1268,,,
5,"Government Girls Primary SchoolHarripur.  (Combined)",MANEWALA,166010201,,92,72,164,1,1,2
"",,DIWAN KOT,166010202,,147,100,247,,,
"",,HARI PUR,166010203,,568,426,994,,,
"",,,,,807,598,1405,,,
6,"Government Boys Elementary SchoolLaveriwala.  (Combined)",LAWARI WALA,166010204,,770,631,1401,2,2,4
"",,LAWARI WALA,166010205,,297,204,501,,,
"",,,,,1067,835,1902,,,
7,"Government Model Primary SchoolTahliwala.  (Male)",TAHLI WALA,166010301,,340,0,340,2,0,2
"",,NAHARKE,166010302,,252,0,252,,,
"",,PATOKE,166010303,,238,0,238,,,
"",,,,,830,0,830,,,
