""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
1,1-Govt. P/S No 2  Zafarwal (Male)  (P),,,"Mahal Jalal Pur,",2.57E+08,,455,,455,,,
"",,,"Masjid Rang Mahal,",2.57E+08,,373,,373,,,,
"",,,"Muhallah Sarafan,",2.57E+08,,652,,652,,,,
"",,,"Qabrstan Borh Wala,",2.57E+08,,205,,205,,,,
"",,,,Total:-,,,1685,,1685,3,0,3
2,"2-Govt. P/S Mahal Jalal Pur,Zafarwal(Female) (P)",,,"Mahal Jalal Pur,",2.57E+08,,,394,394,,,
"",,,"Masjid Rang Mahal,",2.57E+08,,,342,342,,,,
"",,,"Muhallah Sarafan,",2.57E+08,,,594,594,,,,
"",,,"Qabrstan Borh Wala,",2.57E+08,,,185,185,,,,
"",,,,Total:-,,,0,1016,1016,,3,3
3,"3-Govt. Girls Degree College  , Zafarwal(Male) (P)",,,"Chowk Jafria JammuGate,",2.57E+08,,452,,452,,,
"",,,"Dara DivanianQabristan Eid Gah,",2.57E+08,,145,,145,,,,
"",,,"Gili Jammu Gate,",2.57E+08,,561,,561,,,,
"",,,,Total:-,,,1158,,1158,2,0,2
4,"4-Govt. Girls Middle School Eid Gah,Zafarwal(Female) (P)",,,"Chowk Jafria JammuGate,",2.57E+08,,,365,365,,,
"",,,"Dira Divanian QabristanEid Gah,",2.57E+08,,,116,116,,,,
"",,,"Gili Jammu Gate,",2.57E+08,,,472,472,,,,
"",,,,Total:-,,,0,953,953,0,2,2
5,"5-Govt Girls Degree CollegeZafarwal(Male)",,,"Muhallah Araian baghWala Khoo,",2.57E+08,,280,,280,,,
"",,,,"Nangli Gate ChowkBazar,",2.57E+08,,458,,458,,,
"",,,,"Muhallah Kamharan,",2.57E+08,,303,,303,,,
"",,,,Total:-,,,1041,,1041,2,0,2
6,"6-Govt. Girls E/S Eid Gah RoadZafarwal (Female)",,,"muhallah Araian baghWala Khoo,",2.57E+08,,,208,208,,,
"",,,,"Nangli Gate ChowkBazar,",2.57E+08,,,392,392,,,
"",,,,"Muhallah Kamharan,",2.57E+08,,,281,281,,,
"",,,,,,,,,,,,
"",,,,Total:-,,,,881,881,2,0,2
7,,,"Eid Gah Road,",2.57E+08,,277,,277,,,,
"",,,"Eid Gah Road,",2.57E+08,,219,,219,,,,
"",,,"Eid Gah Road,",2.57E+08,,187,,187,,,,
"",,,,"Muhallah Sanc Garh,",2.57E+08,,189,,189,,,
"",,,,"Muhallah Sanc Garh,",2.57E+08,,215,,215,,,
"",,,,Total:-,,,2109,,2109,4,,4
8,"8-Govt. Girls P/S Nangal Suotkan ,Zafarwal (Female) (P)",,,"Eid Gah Road,",2.57E+08,,,200,200,,,
"",,,"Eid Gah Road,",2.57E+08,,,192,192,,,,
"",,,"Eid Gah Road,",2.57E+08,,,144,144,,,,
"",,,"Muhallah Sanc Garh,",2.57E+08,,,836,836,,,,
"",,,,"Muhallah Sanc Garh,",2.57E+08,,,142,142,,,
"",,,,"Muhallah Sanc Garh,",2.57E+08,,,117,117,,,
"",,,,Total:-,,,,1631,1631,,3,3
9,9-Govt. Girls H/S Zafarwal (Male) (P),,,"Shakargarh Chowk,",2.57E+08,,316,,316,,,
"",,,"Civil Hospital,",2.57E+08,,178,,178,,,,
"",,,,"Chowk Girls HighSchool,",2.57E+08,,102,,102,,,
"",,,,"Gallah Mandi MianBazar,",2.57E+08,,187,,187,,,
"",,,,"Main Bazar,",2.57E+08,,488,,488,,,
"",,,,Total:-,,,1271,,1271,3,,3
10,10-Govt. Girls H/S Zafarwal (Female) (P),,,"Shakargarh Chowk,",2.57E+08,,,285,285,,,
"",,,"Civil Hospital,",2.57E+08,,,130,130,,,,
"",,,,"Chowk Girls HighSchool,",2.57E+08,,,79,79,,,
"",,,,"Gallah Mandi MianBazar,",2.57E+08,,,181,181,,,
"",,,,"Main Bazar,",2.57E+08,,,416,416,,,
"",,,,Total:-,,,,1091,1091,,2,2
11,11-Govt. Boys H/S Zafarwal(Male)  (P),,,"Agriculture Office,",2.57E+08,,158,,158,,,
"",,,"Talab Palwan,",2.57E+08,,62,,62,,,,
"",,,,"Darman Chowk,",2.57E+08,,280,,280,,,
"",,,,"Darbar Baba ShamasShah,",2.57E+08,,468,,468,,,
"",,,,"Darbar Baba ShamasShah,",2.57E+08,,245,,245,,,
"",,,,Total:-,,,1213,,1213,3,0,3
12,"12-Govt. Boys High School, Zafarwal(Female)  (P)",,,"Agriculture Office,",2.57E+08,,,120,120,,,
"",,,"Talab Palwan,",2.57E+08,,,50,50,,,,
"",,,,"Darman Chowk,",2.57E+08,,,259,259,,,
"",,,,"Darbar Baba ShamasShah,",2.57E+08,,,383,383,,,
"",,,,"Darbar Baba ShamasShah,",2.57E+08,,,207,207,,,
"",,,,Total:-,,,,1019,1019,,2,2
13,"13-Govt Boys High School,Zafarwal(Male)",,,"Muslim Town,",2.57E+08,,642,,642,,,
"",,,"Qaim Pura,",2.57E+08,,255,,255,,,,
"",,,,"Civil Rest House,",2.57E+08,,65,,65,,,
"",,,,Total:-,,,962,,962,2,,2
"",,,,,,,,,,,,
"",Zafarwal(Female),,,"Qaim Pura,",2.57E+08,,,194,194,,,
"",,,,"Civil Rest House,",2.57E+08,,,58,58,,,
"",,,,Total:-,,,,740,740,,2,2
15,"15-Govt. Sitellite Public H/SShakargrh(Male)(P)",,,Muhallah Abcari,1.84E+08,,997,,997,,,
"",,,Muhallah Iqbal Pura,1.84E+08,,231,,231,,,,
"",,,,,Total:-,,1228,,1228,3,,3
16,"16-Govt. Sitellite Public H/SShakargrh(Female)(P)",,,Muhallah Abcari,1.84E+08,,,770,770,,,
"",,,Muhallah Iqbal Pura,1.84E+08,,,194,194,,,,
"",,,,,Total:-,,,964,964,0,2,2
17,"17-Govt. Sitellite Public H/SShakargrh(Combined)(P)",,,"Jail Area GumtalaChowk",1.84E+08,,202,169,371,,,
"",,,"Jail Area GumtalaChowk",1.84E+08,,458,382,840,,,,
"",,,Sabzi Mandi Area,1.84E+08,,242,194,436,,,,
"",,,,,Total:-,,902,745,1647,2,2,4
18,18-Boys P/S Din Pur Kalan (Male)(P),,,Din Pur Kalan,1.84E+08,,787,,787,,,
"",,,Din Pur Kalan,1.84E+08,,701,,701,,,,
"",,,,,Total:-,,1488,,1488,3,,3
19,19-Boys P/S Din Pur Kalan (Female)(P),,,Din Pur Kalan,1.84E+08,,,755,755,,,
"",,,Din Pur Kalan,1.84E+08,,,415,415,,,,
"",,,,Total:-,,,1170,1170,,3,3,
20,"20-Govt. Girls Elementary SchoolDinpur Kalan(Combined)(P)",,,Din Pur Khourd,1.84E+08,,532,442,974,,,
"",,,Booj Pur Gowan,1.84E+08,,401,299,700,,,,
"",,,,,Total:-,,933,741,1674,2,2,4
21,"21-Govt. Boys P/S ShakargarhNo.1(Male)(P)",,,Muhallah Araian,1.84E+08,,515,,515,,,
"",,,Club Garh,1.84E+08,,824,,824,,,,
"",,,,,Total:-,,1339,,1339,3,,3
22,"22-Govt. Girls Elementry School,Shakargarh(Female)(P)",,,Muhallah Araian,1.84E+08,,,390,390,,,
"",,,Club Garh,1.84E+08,,,609,609,,,,
"",,,,,Total:-,,,999,999,0,2,2
