ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,"Name of ElectoralArea","Censusblock code",Name of Electoral Area,"Censusblock code",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,1-Govt. P/S No 2  Zafarwal (Male)  (P),,,"Mahal Jalal Pur,",257040101,,455,,455,,,
"",,,,"Masjid Rang Mahal,",257040102,,373,,373,,,
"",,,,"Muhallah Sarafan,",257040106,,652,,652,,,
"",,,,"Qabrstan Borh Wala,",257040308,,205,,205,,,
"",,,,Total:-,,,1685,,1685,3,0,3
2,"2-Govt. P/S Mahal Jalal Pur,Zafarwal(Female) (P)",,,"Mahal Jalal Pur,",257040101,,,394,394,,,
"",,,,"Masjid Rang Mahal,",257040102,,,342,342,,,
"",,,,"Muhallah Sarafan,",257040106,,,594,594,,,
"",,,,"Qabrstan Borh Wala,",257040308,,,185,185,,,
"",,,,Total:-,,,0,1016,1016,,3,3
3,"3-Govt. Girls Degree College  , Zafarwal(Male) (P)",,,"Chowk Jafria Jammu Gate,",257040103,,452,,452,,,
"",,,,"Dara Divanian Qabristan EidGah,",257040104,,145,,145,,,
"",,,,"Gili Jammu Gate,",257040105,,561,,561,,,
"",,,,Total:-,,,1158,,1158,2,0,2
4,"4-Govt. Girls Middle School Eid Gah,Zafarwal(Female) (P)",,,"Chowk Jafria Jammu Gate,",257040103,,,365,365,,,
"",,,,"Dira Divanian Qabristan EidGah,",257040104,,,116,116,,,
"",,,,"Gili Jammu Gate,",257040105,,,472,472,,,
"",,,,Total:-,,,0,953,953,0,2,2
5,"5-Govt Girls Degree CollegeZafarwal(Male)",,,"Muhallah Araian bagh WalaKhoo,",257040107,,280,,280,,,
"",,,,"Nangli Gate Chowk Bazar,",257040108,,458,,458,,,
"",,,,"Muhallah Kamharan,",257040201,,303,,303,,,
"",,,,Total:-,,,1041,,1041,2,0,2
6,"6-Govt. Girls E/S Eid Gah Road Zafarwal(Female)",,,"muhallah Araian bagh WalaKhoo,",257040107,,,208,208,,,
"",,,,"Nangli Gate Chowk Bazar,",257040108,,,392,392,,,
"",,,,"Muhallah Kamharan,",257040201,,,281,281,,,
"",,,,,,,,,,,,
"",,,,Total:-,,,,881,881,2,0,2
7,"7-Govt. Boys P/S Nangal Suotkan (Male)(P)",,,"Eid Gah Road,",257040202,,277,,277,,,
"",,,,"Eid Gah Road,",257040209,,219,,219,,,
"",,,,"Eid Gah Road,",257040212,,187,,187,,,
"",,,,"Muhallah Sanc Garh,",257040203,,1022,,1022,,,
"",,,,"Muhallah Sanc Garh,",257040210,,189,,189,,,
"",,,,"Muhallah Sanc Garh,",257040211,,215,,215,,,
8,"8-Govt. Girls P/S Nangal Suotkan ,Zafarwal (Female) (P)",,,"Eid Gah Road,",257040202,,,200,200,,,
"",,,,"Eid Gah Road,",257040209,,,192,192,,,
"",,,,"Eid Gah Road,",257040212,,,144,144,,,
"",,,,"Muhallah Sanc Garh,",257040203,,,836,836,,,
"",,,,"Muhallah Sanc Garh,",257040210,,,142,142,,,
"",,,,"Muhallah Sanc Garh,",257040211,,,117,117,,,
"",,,,Total:-,,,,1631,1631,,3,3
9,9-Govt. Girls H/S Zafarwal (Male) (P),,,"Shakargarh Chowk,",257040204,,316,,316,,,
"",,,,"Civil Hospital,",257040205,,178,,178,,,
"",,,,"Chowk Girls High School,",257040206,,102,,102,,,
"",,,,"Gallah Mandi Mian Bazar,",257040207,,187,,187,,,
"",,,,"Main Bazar,",257040208,,488,,488,,,
"",,,,Total:-,,,1271,,1271,3,,3
10,10-Govt. Girls H/S Zafarwal (Female) (P),,,"Shakargarh Chowk,",257040204,,,285,285,,,
"",,,,"Civil Hospital,",257040205,,,130,130,,,
"",,,,"Chowk Girls High School,",257040206,,,79,79,,,
"",,,,"Gallah Mandi Mian Bazar,",257040207,,,181,181,,,
"",,,,"Main Bazar,",257040208,,,416,416,,,
"",,,,Total:-,,,,1091,1091,,2,2
11,11-Govt. Boys H/S Zafarwal(Male)  (P),,,"Agriculture Office,",257040301,,158,,158,,,
"",,,,"Talab Palwan,",257040302,,62,,62,,,
"",,,,"Darman Chowk,",257040303,,280,,280,,,
"",,,,"Darbar Baba Shamas Shah,",257040304,,468,,468,,,
"",,,,"Darbar Baba Shamas Shah,",257040309,,245,,245,,,
"",,,,Total:-,,,1213,,1213,3,0,3
12,"12-Govt. Boys High School, Zafarwal(Female)  (P)",,,"Agriculture Office,",257040301,,,120,120,,,
"",,,,"Talab Palwan,",257040302,,,50,50,,,
"",,,,"Darman Chowk,",257040303,,,259,259,,,
"",,,,"Darbar Baba Shamas Shah,",257040304,,,383,383,,,
"",,,,"Darbar Baba Shamas Shah,",257040309,,,207,207,,,
"",,,,Total:-,,,,1019,1019,,2,2
13,"13-Govt Boys High School,Zafarwal(Male)",,,"Muslim Town,",257040305,,642,,642,,,
"",,,,"Qaim Pura,",257040306,,255,,255,,,
"",,,,"Civil Rest House,",257040307,,65,,65,,,
"",,,,Total:-,,,962,,962,2,,2
"",,,,,,,,,,,,
14,"14-Govt Boys High School,Zafarwal(Female)",,,"Muslim Town,",257040305,,,488,488,,,
"",,,,"Qaim Pura,",257040306,,,194,194,,,
"",,,,"Civil Rest House,",257040307,,,58,58,,,
"",,,,Total:-,,,,740,740,,2,2
15,"15-Govt.Girls P/S Chack Mirdah.(Combined) (P)",Chack Mirdah.,257010101,,,,510,343,853,,,
"",,"Mohaal JalalPur(BC)",257010104,,,,120,79,199,,,
"",,Zafarwal.,257010201,,,,60,39,99,,,
"",,Zafarwal.,257010202,,,,16,21,,,,
"",,Total:-,,,,,706,482,1151,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
16,"16-Govt. Girls Community Model SchoolKhushal Garh (Combined)",Khushal Garh,257010103,,,,403,297,700,,,
"",,Nangal Sotkan,257010301,,,,153,96,249,,,
"",,Total:-,,,,,556,393,949,1,1,2
"",,,,,,,,,,,,
"",,,,,,,,,,,,
17,17-Govt.Boys P/S Bubak (Combined) (P),Chack Khokhar,257011601,,,,114,88,202,,,
"",,Matter,257011603,,,,319,237,556,,,
"",,Bubak,257011606,,,,132,80,212,,,
"",,Bubak,257011607,,,,317,225,542,,,
"",,Total:-,,,,,882,630,1512,2,1,3
"",,,,,,,,,,,,
18,"18-Govt.Girls H/S Bhattian Dewan (Male)(P)",Mumdal,257010102,,,,200,,200,,,
"",,Bhattian,257010302,,,,306,,306,,,
"",,Bhattian,257010303,,,,328,,328,,,
"",,Bhattian,257010304,,,,272,,272,,,
"",,Naro,257010405,,,,105,,105,,,
"",,Sangowala,257010406,,,,195,,195,,,
"",,Total:-,,,,,1406,0,1406,3,0,3
19,"19-Govt.Girls H/S Bhattian Dewan(Female) (P)",Mumdal,257010102,,,,,119,119,,,
"",,Bhattian,257010302,,,,,223,223,,,
"",,Bhattian,257010303,,,,,221,221,,,
"",,Bhattian,257010304,,,,,210,210,,,
"",,Naro,257010405,,,,,75,75,,,
"",,Sangowala,257010406,,,,,144,144,,,
"",,Total:-,,,,,0,992,992,0,2,2
