Sr.No,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S.No. of Voters on theelectoral roll in case ofelectoral area isbifurcated","Number of Voters assignedto Polling Station","Number of PollingBooths",,,,,,
"",Name of electoral area,"Census BlockCode",Name of electoral area,"CensusBlock Code",Male,Female,Total,Male,Female,Total,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,1. Govt.Boys High School 278/JB Usman Kot  (Male) (P),CHAK 278/JB  CHAK USMAN KOT,162010101,,,,340,0,340,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010102,,,,518,0,518,,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010103,,,,301,0,301,,,,
"",TOTAL,,1159,0,1159,2,0,2,,,,
2,2. Girls High School 278/JB. Usman Kot (Female) (P),CHAK 278/JB  CHAK USMAN KOT,162010101,,,,0,278,278,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010102,,,,0,429,429,,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010103,,,,0,259,259,,,,
"",TOTAL,,0,966,966,0,2,2,,,,
3,"3. Govt.Model Primary School 278/JB. Chak Mahra (Male)(P)",CHAK 278/JB  CHAK USMAN KOT,162010104,,,,367,0,367,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010105,,,,386,0,386,,,,
"",CHAK 278/JB  CHAK USMAN KOT,162010106,,,,140,0,140,,,,
"",TOTAL,,893,0,893,2,0,2,,,,
4,4. Govt.Girls High School 278/JB. (Female)   (P),CHAK 278/JB  CHAK USMAN KOT,162010104,,,,0,312,312,,,
CHAK 278/JB  CHAK USMAN KOT,162010105,,,,0,295,295,,,,,
CHAK 278/JB  CHAK USMAN KOT,162010106,,,,0,112,112,,,,,
Sr.No,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S.No. of Voters on theelectoral roll in case ofelectoral area isbifurcated","Number of Voters assignedto Polling Station","Number of PollingBooths",,,,,,
"",,Name of electoral area,"Census BlockCode",Name of electoral area,"CensusBlock Code",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
5,5. Boys Primary School 90/JB. Kerawala (P),CHAK 090/JB  THARU,162010107,,,,263,187,450,,,
"",,CHAK 090/JB  THARU,162010108,,,,226,183,409,,,
"",,CHAK 090/JB  THARU,162010109,,,,343,281,624,,,
"",TOTAL,,832,651,1483,2,1,3,,,,
6,6. Girls Boys Elementry School 90/JB. Throw (Male) (P),CHAK 090/JB  THARU,162010110,,,,303,0,303,,,
"",,CHAK 090/JB  THARU,162010111,,,,444,0,444,,,
"",,CHAK 090/JB  THARU,162010112,,,,315,0,315,,,
"",TOTAL,,1062,0,1062,2,0,2,,,,
7,"7. Girls Community Model Elementary School  90/JBThrow. (Female) (P)",CHAK 090/JB  THARU,162010110,,,,0,220,220,,,
"",,CHAK 090/JB  THARU,162010111,,,,0,368,368,,,
"",,CHAK 090/JB  THARU,162010112,,,,0,264,264,,,
