"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Government Girls PrimarySchool Bindi Baig Mahni",Bindi Baig Mahni,156060301,-,-,,512,280,792,1,1,2
"",,,Bindi Baig Mahni,156060302,-,-,,284,193,477,,,
"",1 Total,,,,-,-,-,796,473,1269,1,1,2
"",2,"Government Boys PrimarySchool Dhano Wala",Dhano Wala,156060303,-,-,,463,306,769,1,1,2
"",,,Kalo Sahmal,156060304,-,-,,11,9,20,,,
"",,,Lakhnana Kohna,156060305,-,-,,40,22,62,,,
"",,,Lakhnana Nau,156060306,-,-,,28,20,48,,,
"",2 Total,,,,-,-,-,542,357,899,1,1,2
"",3,"Government Boys PrimarySchool Bhochra",Bhochra,156060201,-,-,,247,158,405,1,1,2
"",,,Bhochra,156060203,-,-,,197,127,324,,,
"",3 Total,,,,-,-,-,444,285,729,1,1,2
"",4,"Government GirlsElementary School Bhochra",Bhochra,156060202,-,-,,619,474,1093,1,1,2
"",4 Total,,,,-,-,-,619,474,1093,1,1,2
"",5,"Government Girls PrimarySchool Jogaira",Aputh Bahadar Shah,156060401,-,-,,85,79,164,1,1,2
"",,,Bela Rutar,156060402,-,-,,39,28,67,,,
"",,,Bindi Saed Jalal,156060403,-,-,,181,94,275,,,
"",,,Jogaira,156060404,-,-,,259,217,476,,,
"",5 Total,,,,-,-,-,564,418,982,1,1,2
"",6,"Government Boys MiddleSchool Bullu Shahbul",Bullo Shahabal,156060104,-,-,,623,525,1148,2,2,4
"",,,Bullo Shahabal,156060105,-,-,,254,202,456,,,
"",6 Total,,,,-,-,-,877,727,1604,2,2,4
"",7,"Government Boys HighSchool Khanoana",Khanoana,156060501,-,-,,279,230,509,1,1,2
"",,,Khanoana,156060502,-,-,,330,224,554,,,
"",7 Total,,,,-,-,-,609,454,1063,1,1,2
