"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
1,Govt:Boys Middle School Gobind Pur                 (Male),Gobind pur,210090101,698,0,698,2,0,2
"",,Gobind pur,210090102,443,0,443,,,
2,Govt:Boys Middle School Gobind Pur                 (Female),Gobind pur,210090101,0,585,585,0,2,2
"",,Gobind pur,210090102,0,352,352,,,
3,Govt: Girls Primary School Gobind Pur           (Male),Gobind Pur,210090103,358,0,358,2,0,2
"",,Gobind Pur,210090104,335,0,335,,,
"",,Joaya Kalia,210090107,534,0,534,,,
4,Govt: Girls Primary School Gobind Pur   (Female),Gobind Pur,210090103,0,289,289,0,2,2
"",,Gobind Pur,210090104,0,255,255,,,
"",,Joaya Kalia,210090107,0,426,426,,,
5,Govt:Boys Primary School Naqsha              (Combined),Naqsha,210090105,525,468,993,1,1,2
6,"Govt:Boys Primary School, Tibbi Sabay wali  (Combined)",Tibbi Mohal,210090201,586,502,1088,1,1,2
7,"Govt:Boys High School, 62/D      (Male)",Chak Qudratullah,210090106,119,0,119,2,0,2
"",,Chak 62/D,210090203,549,0,549,,,
"",,Chak 62/D,210090204,244,0,244,,,
"",,Chak 62/D,210090205,414,0,414,,,
8,"Govt:Boys High School, 62/D                     (Female)",Chak Qudratullah,210090106,0,86,86,0,2,2
"",,Chak 62/D,210090203,0,471,471,,,
"",,Chak 62/D,210090204,0,217,217,,,
"",,Chak 62/D,210090205,0,328,328,,,
9,Govt:Boys Primary School Tiwana                 (Combined),Doghari Doghara,210090202,400,354,754,2,2,4
"",,Tiwana,210090708,456,307,763,,,
10,Govt:Boys Primary School 59/D                (Combined),Chak 59/D,210090301,200,149,349,2,1,3
"",,Chak 59/D,210090302,624,457,1081,,,
11,Govt: Girls Primary School 59/D                (Combined),Chak 59/D,210090303,245,167,412,1,1,2
"",,Chak Wasou,210090308,238,182,420,,,
12,"Govt:Boys High School, 60/D East                (Combined)",Chak 60/D,210090304,320,226,546,2,1,3
"",,Chak 60/D,210090305,367,316,683,,,
13,"Govt:Boys High School, 60/D west                 (Combined)",Chak 60/D,210090306,211,185,396,1,1,2
Chak 60/D,210090307,229,203,432,,,,,
14,Govt:Boys Primary School 56/D    (Male),Chak 56/D,210090402,237,0,237,2,0,2
"",,Chak 56/D,210090403,210,0,210,,,
"",,Chak 56/D,210090404,275,0,275,,,
15,Govt:Boys Primary School 56/D                   (Female),Chak 56/D,210090401,0,277,277,0,2,2
"",,Chak 56/D,210090402,0,196,196,,,
"",,Chak 56/D,210090403,0,141,141,,,
"",,Chak 56/D,210090404,0,206,206,,,
16,Govt:Boys Primary School 57/D                  (Combined),Chak 57/D,210090405,565,406,971,1,1,2
17,Govt:Boys Primary School 58/D                 (Combined),Chak 58/D,210090406,395,331,726,2,1,3
"",,Chak 58/D,210090407,384,264,648,,,
18,"Govt:Boys Primary School, Alwardi Khan East  (Male)",Chak Alwadi Khan,210090501,602,0,602,3,0,3
"",,Chak Alwadi Khan,210090502,363,0,363,,,
"",,Chak Alwadi Khan,210090503,340,0,340,,,
19,"Govt:Boys Primary School, Alwardi Khan West (Female)",Chak Alwadi Khan,210090501,0,457,457,0,2,2
"",,Chak Alwadi Khan,210090502,0,310,310,,,
"",,Chak Alwadi Khan,210090503,0,218,218,,,
20,Govt:Boys Primary School 61/D                  (Combined),Chak 61/D,210090504,552,497,1049,1,1,2
21,Govt:Girls Middle School Heela Wattoowan   (Male),Heela Wattwan,210090601,331,0,331,2,0,2
"",,Heela Wattwan,210090602,36,0,36,,,
"",,Heela Wattwan,210090603,650,0,650,,,
22,Govt:Girls Middle School Heela Wattoowan  (Female),Heela Wattwan,210090601,0,189,189,0,2,2
"",,Heela Wattwan,210090602,0,17,17,,,
"",,Heela Wattwan,210090603,0,536,536,,,
23,"Govt:Boys Primary School, Heela Kalarya           (Male)",Heela Kalaryn Wala,210090604,364,0,364,2,0,2
"",,Heela Kalaryn Wala,210090605,476,0,476,,,
24,"Govt:Boys Primary School, Heela Kalarya (Female)",Heela Kalaryn Wala,210090604,0,366,366,0,2,2
"",,Heela Kalaryn Wala,210090605,0,395,395,,,
25,Govt:Boys Primary School 63/ D                       (Male),Chak 63/D,210090606,445,0,445,2,0,2
"",,Chak 63/D,210090607,496,0,496,,,
"",,Chak 63/D,210090608,132,0,132,,,
"",,Chak 63/D,210090609,226,0,226,,,
26,Govt: Girls High School 63/D                      (Female),Chak 63/D,210090606,0,385,385,0,2,2
Chak 63/D,210090607,0,355,355,,,,,
Chak 63/D,210090608,0,105,105,,,,,
Chak 63/D,210090609,0,161,161,,,,,
28,Govt:Boys Middle School 67/D    (Male),Chak 67/D,210090701,818,0,818,3,0,3
"",,Chak 67/D,210090702,49,0,49,,,
"",,Chak 67/D,210090703,342,0,342,,,
29,Govt:Boys Middle School 67/D                   (Female),Chak 67/D,210090701,0,695,695,0,2,2
"",,Chak 67/D,210090702,0,30,30,,,
"",,Chak 67/D,210090703,0,303,303,,,
30,Govt: Girls Primary School 67/D                 (Combined),Chak 67/D,210090704,390,310,700,1,1,2
"",,Chak 67/D,210090705,220,186,406,,,
31,Govt:Boys Primary School Nosher Bodla       (Combined),Nosher Bodla,210090706,457,403,860,2,2,4
"",,Nosher Bodla,210090707,424,302,726,,,
32,Govt:Boys Primary School 66/D    (Male),Jamal Pur Tahli,210090709,338,0,338,2,0,2
"",,Chak 66/D,210090806,671,0,671,,,
33,Govt:Boys Primary School 66/D               (Female),Jamal Pur Tahli,210090709,0,269,269,0,1,1
"",,Chak 66/D,210090806,0,458,458,,,
34,Govt:Boys High School Islam Garh            (Combined),Islam Ghar,210090801,301,247,548,1,1,2
"",,Chak Ghorian Wala,210090809,103,66,169,,,
35,"Govt: Girls Primary School Islam Garh (Kartar Pur)(Male)",Islam Garh,210090802,567,0,567,2,0,2
"",,Islam Garh,210090803,441,0,441,,,
36,Govt: Girls Primary School Islam Garh (Kartar Pur) (Female),Islam Garh,210090802,0,427,427,0,2,2
"",,Islam Garh,210090803,0,289,289,,,
37,"Govt:Boys High School, Islam Garh (Kartar Pur)    (Male)",Islam Garh,210090804,539,0,539,2,0,2
"",,Islam Garh(Kartar Pur),210090805,351,0,351,,,
38,"Govt:Boys High School, Islam Garh (Kartar Pur)  (Female)",Islam Garh,210090804,0,403,403,0,2,2
"",,Islam Garh(Kartar Pur),210090805,0,256,256,,,
39,"Govt:Boys Middle School, 24/SP( Combined)",Chak 24/SP,210090807,387,269,656,1,1,2
"",,Chak 24/SP,210090808,362,222,584,,,
