"Sr.No.",No. & Name of Polling Stations,In Case of Rural Area,In Case of Urban Area,"S. No. of voters onthe electoral roll incase electoral areis bifurcated","Number of Votersassigned to pollingstation","Number of pollingbooths",,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Office Of The Deputy Education OfficerLQP (Male)",--,--,Kachi Mandi / Usman Abad,250090101,--,554,0,554,2,0,2
"",,--,--,Mohallah Ahmed Nawaz Shah,250090102,--,634,0,634,,,
"",,--,--,Total,,--,"1,188",0,"1,188",,,
2,"Office of the Municipal OfficerInfrastructure Kachi Mandi Liaquatpur(Female)",--,--,Kachi Mandi / Usman Abad,250090101,--,0,426,426,0,2,2
"",,--,--,Mohallah Ahmed Nawaz Shah,250090102,--,0,552,552,,,
"",,--,--,Total,,--,0,978,978,,,
3,"Govt. Boys High School, Kachi Mandi(Male)",--,--,Khursheed Colony,250090103,--,375,0,375,2,0,2
"",,--,--,Mohallah Ibrahim Shah,250090104,--,539,0,539,,,
"",,--,--,Total,,--,914,0,914,,,
4,"Govt. Boys High School, Kachi Mandi(Female)",--,--,Khursheed Colony,250090103,--,0,310,310,0,2,2
"--",--,Mohallah Ibrahim Shah,250090104,--,0,408,408,,,,,
"--",--,Total,,--,0,718,718,,,,,
"--",--,Younas Abad,250090105,--,196,0,196,,,,,
"--",--,Abu Baqar Siddique Colony,250090106,--,364,0,364,,,,,
"--",--,Madina Colony,250090107,--,256,0,256,,,,,
"--",--,Eid Gah Road Madina Colony,250090201,--,181,0,181,,,,,
"--",--,New Bus Stand Shahi Road,250090202,--,120,0,120,,,,,
"--",--,Farid Colony / Mohallah Raes Nazik,250090203,--,497,0,497,,,,,
"--",--,Farid Colony / Mohallah Raes Nazik,250090207,--,73,0,73,,,,,
"Sr.No.",No. & Name of Polling Stations,In Case of Rural Area,In Case of Urban Area,"S. No. of voters onthe electoral roll incase electoral areis bifurcated","Number of Votersassigned to pollingstation","Number of pollingbooths",,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
6,"Govt. Girls High School, Old Abadi, LQP(Female)",--,--,Younas Abad,250090105,--,0,155,155,0,4,4
"",,--,--,Abu Baqar Siddique Colony,250090106,--,0,305,305,,,
"",,--,--,Madina Colony,250090107,--,0,220,220,,,
"",,--,--,Eid Gah Road Madina Colony,250090201,--,0,167,167,,,
"",,--,--,New Bus Stand Shahi Road,250090202,--,0,105,105,,,
"",,--,--,Farid Colony / Mohallah Raes Nazik,250090203,--,0,439,439,,,
"",,--,--,Farid Colony / Mohallah Raes Nazik,250090207,--,0,59,59,,,
"",,--,--,Total,,--,0,"1,450","1,450",,,
7,"Govt. Girls Primary School, Meharabad,LQP",--,--,Mehar Abad,250090204,--,734,571,"1,305",2,2,4
"",,--,--,Model City Housing Scheme,250090205,--,160,144,304,,,
"",,--,--,Basti Gulab Waseer,250090206,--,359,304,663,,,
"",,--,--,Total,,--,"1,253",1019,"2,272",,,
8,"Govt. Boys Primary School Paki MandiNear Jamia Qadiria, LQP",--,--,Mohallah Hakim Abad,250090301,--,201,169,370,2,1,3
"",,--,--,Kumhar Colony / Qadiria Colony,250090302,--,354,258,612,,,
"",,--,--,Total,,--,555,427,982,,,
9,"Govt. Girls Primary School, Hakimabad,LQP",--,--,Mohallah Hakim Abad,250090303,--,446,287,733,2,2,4
"",,--,--,Mohallah Hakim Abad,250090402,--,614,485,"1,099",,,
"",,--,--,Total,,--,1060,772,"1,832",,,
10,"Govt. Girls Primary School GhausiaColony LQP",--,--,Ghousia Colony,250090304,--,174,154,328,2,2,4
"",,--,--,Ghousia Colony,250090305,--,168,144,312,,,
"",,--,--,Ghousia Colony,250090306,--,263,253,516,,,
"",,--,--,Ghousia Colony,250090307,--,393,330,723,,,
"",,--,--,Ghousia Colony,250090401,--,141,124,265,,,
"",,--,--,Total,,--,"1,139",1005,"2,144",,,
11,Office Market Committee LQP (Male),--,--,Allama Iqbal Town / Faisal Town,250090403,--,378,0,378,3,0,3
"--",--,Allama Iqbal Town / Faisal Town,250090406,--,420,0,420,,,,,
"--",--,Faisal Town / Ghalla Mandi,250090404,--,367,0,367,,,,,
"--",--,Total,,--,"1,165",0,"1,165",,,,,
"Sr.No.",No. & Name of Polling Stations,In Case of Rural Area,In Case of Urban Area,"S. No. of voters onthe electoral roll incase electoral areis bifurcated","Number of Votersassigned to pollingstation","Number of pollingbooths",,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
12,"Govt. Girls Model High School LQP(Female)",--,--,Allama Iqbal Town / Faisal Town,250090403,--,0,353,353,0,3,3
"",,--,--,Allama Iqbal Town / Faisal Town,250090406,--,0,414,414,,,
"",,--,--,Faisal Town / Ghalla Mandi,250090404,--,0,381,381,,,
"",,--,--,Total,,--,0,"1,148","1,148",,,
13,"Govt. Girls High School Muhajir ColonyLQP",--,--,Mohajir Colony,250090504,--,652,527,"1,179",2,2,4
"",,--,--,Mohajir Colony,250090506,--,357,308,665,,,
"",,--,--,Green Town,250090505,--,154,140,294,,,
"",,--,--,Total,,--,"1,163",975,"2,138",,,
14,"Govt. Girls Primary School RashidabadLQP",--,--,Rasheed Abad Colony,250090501,--,360,274,634,2,1,3
"",,--,--,Rasheed Abad Colony,250090502,--,340,291,631,,,
"",,--,--,Total,,--,700,565,"1,265",,,
15,"Govt. Girls Model High School LQP(Male)",--,--,"Mohallah Mazhar Hussain / JamiaSaeedia",250090405,--,477,0,477,2,0,2
"",,--,--,"Staduim Water Works / HousingScheme",250090604,--,396,0,396,,,
"",,--,--,New Housing Scheme,250090605,--,181,0,181,,,
