Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. of Voterson the electoralRoll in caseelectoral area inbifurcated","No. of Voters Against to Pollingstations",No. of Polling Boths,,,,,,
"",Name of Electoral Area,"Cences  BlockCode",Name of Electoral Area,"Cences  BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Government Boys High School Kot Tahir,KOT TAHIR,229050402,,,,363,0,363,2,0,2
1.Total,,,,,,,371,9,373,2,0,2
2,Government Boys High School Kot Tahir,KOT TAHIR,229050404,,,,259,0,259,2,0,2
"",KOT TAHIR,229050406,,,,197,0,197,,,,
2.Total,,,,,,,456,0,456,2,0,2
3,Government Girls High School Kot Tahir,KOT TAHIR,229050402,,,,0,285,285,0,2,2
"",KOT TAHIR,229050404,,,,0,187,187,,,,
"",KOT TAHIR,229050406,,,,0,141,141,,,,
3.Total,,,,,,,0,613,613,0,2,2
4,Government Boys High School Kot Tahir,KOT TAHIR,229050405,,,,483,0,483,3,0,3
"",KOT TAHIR,229050407,,,,356,0,356,,,,
"",KOT TAHIR,229050408,,,,271,0,271,,,,
4.Total,,,,,,,1110,0,1110,3,0,3
5,Government Boys High School Kot Tahir,Kot Tahir,229050412,,,,297,243,540,1,1,2
"",Kot Tahir,229050413,,,,367,237,604,,,,
5.Total,,,,,,,664,480,1144,1,1,2
6,Govt. Boys High School Kot Tahir,Kot Tahir,229050409,,,,315,217,532,2,1,3
"",Kot Tahir,229050410,,,,211,159,370,,,,
"",Kot Tahir,229050411,,,,372,334,706,,,,
6.Total,,,,,,,898,710,1608,2,1,3
7,Government Primary School Dulat Wala,Kot Tahir,229050401,,,,418,342,760,1,1,2
"",Kot,229050403,,,,295,247,542,,,,
7.Total,,,,,,,713,589,1302,1,1,2
8,"Government Boys Elementary School Jam DurMohammad",KOT TAHIR,229050405,,,,0,401,401,0,2,2
"",KOT TAHIR,229050407,,,,0,267,267,,,,
"",KOT TAHIR,229050408,,,,0,240,240,,,,
8.Total,,,,,,,0,908,908,0,2,2
9,Government Boys High School Talai Wala,KOT JANUN,229010106,,,,285,225,510,2,2,4
"",KOT JANUN,229010107,,,,267,201,468,,,,
"",KOT JANUN,229010108,,,,416,324,740,,,,
9.Total,,,,,,,968,750,1718,2,2,4
10,Govt. Boys High School Talai Wala,Kot Janu,229010109,,,,577,0,577,3,0,3
"",Kot Janu,229010110,,,,448,0,448,,,,
"",Kot Janu,229010111,,,,234,0,234,,,,
"",Kot Janu,229010112,,,,439,0,439,,,,
10.Total,,,,,,,1698,0,1698,3,0,3
11,Union Council Office Kot Tahir,KOT JANUN,229010109,,,,0,428,428,0,3,3
"",KOT JANUN,229010110,,,,0,326,326,,,,
"",KOT JANUN,229010111,,,,0,157,157,,,,
"",KOT JANUN,229010112,,,,0,320,320,,,,
11.Total,,,,,,,0,1231,1231,0,3,3
12,"GOVT. GIRLS PRIMARY SCHOOL MARIWALA",KOT JANUN,229010113,,,,0,266,266,0,3,3
"",KOT JANUN,229010114,,,,0,249,249,,,,
"",KOT JANUN,229010115,,,,0,520,520,,,,
12.Total,,,,,,,0,1035,1035,0,3,3
13,Veternary Hospital Talai Wala,KOT JANUN,229010113,,,,355,0,355,3,0,3
"",KOT JANUN,229010114,,,,341,0,341,,,,
"",KOT JANUN,229010115,,,,750,0,750,,,,
13.Total,,,,,,,1446,0,1446,3,0,3
14,"Government Girls Primary School Tiba ChandiaHaji Jindi",Tibba CHANDIA KALAN,229050201,,,,247,199,446,2,2,4
"",,Tibba CHANDIA KHURD,229050202,,,,219,230,449,,,
"",,Tibba Chandia,229050203,,,,414,267,681,,,
14.Total,,,,,,,880,696,1576,2,2,4
15,"Govt. Primary School Basti Sair Wala TibaChandia",Tiba Chandia,229050206,,,,145,141,286,1,1,2
"",,Tiba Chandia,229050207,,,,195,197,392,,,
15.Total,,,,,,,340,338,678,1,1,2
16,Government Boys Primary School Tiba Chandia,Tibba CHANDIA KALAN,229050204,,,,254,356,610,2,2,4
"",,Tiba CHANDIA KALAN,229050205,,,,347,194,541,,,
16.Total,,,,,,,601,550,1151,2,2,4
17,"Government Boys Elementary School BastiCheena",BastiCHHINA,229010101,,,,166,0,166,2,2,4
"",,BastiCHHINA,229010102,,,,219,0,219,,,
"",,BastiCHHINA,229010104,,,,453,0,453,,,
17.Total,,,,,,,838,0,838,2,2,4
18,Govt. Boys Elementary School Basti Cheena,Basti Cheena,229010105,,,,337,200,537,2,2,4
"",,Basti Cheena,229010116,,,,225,5,230,,,
18.Total,,,,,,,562,205,767,2,2,4
19,Government Girls High School Basti Cheena,BastiCHHINA,229010103,,,,587,494,1081,2,1,3
19.Toal,,,,,,,587,494,1081,2,1,3
20,"Government Girls Elementary School HameedWala",BastiMIRAN,229010905,,,,0,238,238,0,2,2
"",,BastiMIRAN,229010906,,,,0,258,258,,,
"",,BastiMIRAN,229010907,,,,0,266,266,,,
"",,BastiMIRAN,229010908,,,,0,210,210,,,
20.Total,,,,,,,0,972,972,0,2,2
21,"Government Boys Elementary School HameedWala",BastiMIRAN,229010905,,,,283,0,283,3,0,3
"",,BastiMIRAN,229010906,,,,364,0,364,,,
"",,BastiMIRAN,229010907,,,,284,0,284,,,
"",,BastiMIRAN,229010908,,,,297,0,297,,,
21.Total,,,,,,,1228,0,1228,3,0,3
22,"Government Boys Primary School Hamid WalaMallan Wala",MALLAN WALA,229010901,,,,310,244,554,2,2,4
"",,MALLAN WALA,229010902,,,,599,491,1090,,,
22.Total,,,,,,,909,735,1644,2,2,4
23,Govt. Primary School Fojay Wala,MALLAN WALA,229010204,,,,412,317,729,2,2,4
"",,MALLAN WALA,229010903,,,,80,80,160,,,
23.Total,,,,,,,492,397,889,2,2,4
24,Government Maktab Primary School Basti Waja,BastiWAJA,229010909,,,,393,272,665,2,2,4
"",,BastiWAJA,229010910,,,,409,315,724,,,
24.Total,,,,,,,802,587,1389,2,2,4
25,"Government Boys Primary School DoorhattaSharqi",BastiRINDAN,229050801,,,,418,211,629,2,2,4
"",,BastiRINDAN,229050802,,,,306,349,655,,,
25.Total,,,,,,,724,560,1284,2,2,4
26,Government Boys Primary School Bahar Pir,BastiRINDAN,229050803,,,,353,428,781,2,2,4
"",,BastiRINDAN,229050804,,,,368,109,477,,,
26.Total,,,,,,,721,537,1258,2,2,4
27,"Government Boys Post Graduate Degree CollegeJampur",BastiRINDAN,229050805,,,,346,225,571,2,2,4
"",,BastiRINDAN,229050806,,,,246,169,415,,,
"",,BastiRINDAN,229050807,,,,55,75,130,,,
27.Total,,,,,,,647,469,1116,2,2,4
28,"Government Boys Post Graduate Degree CollegeJampur",,,,,,0,0,0,2,2,4
"",,BastiRINDAN,229050805,,,,346,225,571,,,
"",,BastiRINDAN,229050806,,,,246,169,415,,,
"",,BastiRINDAN,229050807,,,,55,75,130,,,
28.Total,,,,,,,647,469,1116,2,2,4
29,Govt. Boys Degree College Jampur,Basti Rindan,229050810,,,,794,669,1463,3,2,5
"",,Basti Rindan,229050811,,,,412,295,707,,,
"",,Basti Rindan,229050812,,,,378,332,710,,,
29.Total,,,,,,,1584,1296,2880,3,2,5
30,Government Boys Degree College Jampur,BastiRINDAN,229050808,,,,488,376,864,2,2,4
"",,BastiRINDAN,229050809,,,,462,412,874,,,
30.Total,,,,,,,950,788,1738,2,2,4
31,"Government Boys Elementary School LangrialSahan Wala",SHAHEN WALA,229010801,,,,556,444,1000,2,2,4
SHAHEN WALA,229010802,,,,492,315,807,,,,,
""
""
32,"Government Girls Primary School Nadeem ShahSahan Wala",SHAHEN WALA,229010803,,,,234,200,434,2,2,4
"",,SHAHEN WALA,229010804,,,,215,187,402,,,
"",,SHAHEN WALA,229010805,,,,435,335,770,,,
32.Total,,,,,,,884,722,1606,2,2,4
33,Government Boys Primary School Pool Wala,POLE WALA,229010806,,,,290,227,517,2,2,4
"",,POLE WALA,229010807,,,,349,294,643,,,
"",,POLE WALA,229010808,,,,49,32,81,,,
33.Total,,,,,,,688,553,1241,2,2,4
34,Government Primary School Toba Jadid,Shahen wala,229010809,,,,396,236,632,2,2,4
"",,Shahen Wala,229010810,,,,251,137,388,,,
"",,Shahen Wala,229010811,,,,244,295,539,,,
"",,Shahen wala,229010812,,,,113,63,176,,,
34.Total,,,,,,,1004,731,1735,2,2,4
35,Government Girls Primary School Kotla Daha,Kotla Daha,229050501,,,,0,406,406,0,4,4
"",,Kotla Daha,229050502,,,,0,175,175,,,
"",,Kotla Daha,229050503,,,,0,349,349,,,
"",,Bhano Wala,229050504,,,,0,120,120,,,
35.Total,,,,,,,0,1050,1050,0,4,4
36,Government Boys Primary School Kotla Daha,Kotla Daha,229050501,,,,440,0,440,4,0,4
"",,Kotla Daha,229050502,,,,273,0,273,,,
