"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,MC Boys School Sunny Bank. (Male),-,-,میونسپل کمیٹی مری,119010101,,377,0,377,0,0,0
"",,-,-,چک کمیٹی مری,118030102,,175,0,175,0,0,0
"",,-,-,چک کمیٹی مری,118030103,,31,0,31,0,0,0
"",,-,-,چک کمیٹی مری,118030104,,517,0,517,0,0,0
"",,-,-,چک کمیٹی مری,118030105,,54,0,54,0,0,0
Total,,,,,,,"1,154",0,"1,154",2,0,2
2,MC Girls School Sunny Bank. (Female),-,-,میونسپل کمیٹی مری,119010101,,0,276,276,0,0,0
"",,-,-,چک کمیٹی مری,118030102,,0,139,139,0,0,0
"",,-,-,چک کمیٹی مری,118030103,,0,31,31,0,0,0
"",,-,-,چک کمیٹی مری,118030104,,0,399,399,0,0,0
"",,-,-,چک کمیٹی مری,118030105,,0,48,48,0,0,0
Total,,,,,,,0,893,893,0,2,2
3,Wapda Office Pindi Point Murree(Male),-,-,لارنس کالج,118030201,,823,0,823,0,0,0
"",,-,-,پنڈی پوائنٹ,118030202,,254,0,254,0,0,0
"",,-,-,پنڈی پوائنٹ,118030203,,93,0,93,0,0,0
"",,-,-,خالد روڈ، پنڈی پوائنٹ,118030204,,135,0,135,0,0,0
"",,-,-,پنڈی پوائنٹ,118030205,,101,0,101,0,0,0
Total,,,,,,,"1,406",0,"1,406",3,0,3
4,Wapda Office Pindi Point Murree (Female),-,-,لارنس کالج,118030201,,0,705,705,0,0,0
"",,-,-,پنڈی پوائنٹ,118030202,,0,187,187,0,0,0
"",,-,-,پنڈی پوائنٹ,118030203,,0,72,72,0,0,0
"",,-,-,خالد روڈ، پنڈی پوائنٹ,118030204,,0,114,114,0,0,0
"",,-,-,پنڈی پوائنٹ,118030205,,0,87,87,0,0,0
Total,,,,,,,0,1165,"1,165",0,2,2
"-",-,"چوک کمیٹی، امتیازشہید روڈ",118030301,,31,0,31,0,0,0,,
"-",-,ھوتی ہاؤس، ساہل ھوٹل,118030302,,38,0,38,0,0,0,,
"-",-,مری کلب، گلڈنہ روڈ,118030303,,37,0,37,0,0,0,,
"",,-,-,"قصاہی محلہ، حاجیگلی، تحصیل روڈ ،بوھڑ بازار",118030305,,62,0,62,0,0,0
Total,,,,,,,219,0,219,1,0,1
6,Govt Girls College Murree (Female),-,-,"چوک کمیٹی، امتیازشہید روڈ",118030301,,0,30,30,0,0,0
"",,-,-,ھوتی ہاؤس، ساہل ھوٹل,118030302,,0,23,23,0,0,0
"",,-,-,مری کلب، گلڈنہ روڈ,118030303,,0,39,39,0,0,0
"",,-,-,"کیمپ مبارک، کراٹروڈ",118030304,,0,49,49,0,0,0
"",,-,-,"قصاہی محلہ، حاجیگلی، تحصیل روڈ ،بوھڑ بازار",118030305,,0,38,38,0,0,0
Total,,,,,,,0,179,179,0,1,1
7,Govt Boys High School Murree (Male),-,-,"قصاہی محلہ، حاجیگلی، تحصیل روڈ ،بوھڑ بازار",118030401,,428,0,428,0,0,0
"",,-,-,"تحصیل روڈ، بوھڑبازار",118030402,,179,0,179,0,0,0
"",,-,-,"صادق چوک، امام بارہمحلہ",118030403,,613,0,613,0,0,0
"",,-,-,چک کمیٹی مری,118030404,,248,0,248,0,0,0
"",,-,-,"لوئرجھیکا گلی روڈ ،چک کمیٹی",118030405,,33,0,33,0,0,0
Total,,,,,,,"1,501",0,"1,501",4,0,4
8,"MC Boys Primary School Lower Jhika GaliRoad (Female)",-,-,"قصاہی محلہ، حاجیگلی، تحصیل روڈ ،بوھڑ بازار",118030401,,0,386,386,0,0,0
"",,-,-,"تحصیل روڈ، بوھڑبازار",118030402,,0,167,167,0,0,0
"",,-,-,"صادق چوک، امام بارہمحلہ",118030403,,0,289,289,0,0,0
"",,-,-,چک کمیٹی مری,118030404,,0,228,228,0,0,0
"",,-,-,"لوئرجھیکا گلی روڈ ،چک کمیٹی",118030405,,0,33,33,0,0,0
Total,,,,,,,0,1103,"1,103",0,2,2
9,Govt Boys Degree College Murree (Male),-,-,پنڈی پوائنٹ,118030501,,89,0,89,0,0,0
"",,-,-,کشمیر پوائنٹ,118030502,,148,0,148,0,0,0
"",,-,-,"کشمیر پوائنٹ، نادرہآفس",118030503,,54,0,54,0,0,0
"",,-,-,"کشمیر پوائنٹ، نادرہآفس",118030504,,15,0,15,0,0,0
"",,-,-,"گورنر ہاؤس، جھیکاگلی روڈ",118030505,,63,0,63,0,0,0
Total,,,,,,,369,0,369,1,0,1
10,"Govt Boys Degree College Murree(Female)",-,-,کشمیر پوائنٹ,118030502,,0,130,130,0,0,0
"",,-,-,"کشمیر پوائنٹ، نادرہآفس",118030503,,0,45,45,0,0,0
"",,-,-,"کشمیر پوائنٹ، نادرہآفس",118030504,,0,13,13,0,0,0
"",,-,-,"گورنر ہاؤس، جھیکاگلی روڈ",118030505,,0,54,54,0,0,0
Total,,,,,,,0,314,314,0,1,1
11,Govt Boys Degree College Murree(Male),-,-,کشمیر پوائنٹ مری,118030601,,196,0,196,0,0,0
"",,-,-,فارسٹ روڈ، گلڈنہ,118030602,,9,0,9,0,0,0
"",,-,-,"گورنر ہاؤس، جھیکاگلی روڈ",118030603,,30,0,30,0,0,0
"",,-,-,کشمیر پوائنٹ,118030604,,34,0,34,0,0,0
"",,-,-,کشمیر پوائنٹ,118030605,,106,0,106,0,0,0
Total,,,,,,,375,0,375,1,0,1
12,"Govt Boys Degree CollegeMurree(Female).",-,-,کشمیر پوائنٹ مری,118030601,,0,186,186,0,0,0
"",,-,-,فارسٹ روڈ، گلڈنہ,118030602,,0,13,13,0,0,0
"",,-,-,"گورنر ہاؤس، جھیکاگلی روڈ",118030603,,0,25,25,0,0,0
"",,-,-,کشمیر پوائنٹ,118030604,,0,31,31,0,0,0
"",,-,-,کشمیر پوائنٹ,118030605,,0,98,98,0,0,0
Total,,,,,,,0,353,353,0,1,1
13,MC Boys School Shawala Murree (Male),-,-,شوالہ، لوہر جھیکا گلی,118030701,,541,0,541,0,0,0
"",,-,-,"کشمیری محلہ، عباسیمحلہ، چک کمیٹی ،مسیاڑی",118030702,,174,0,174,0,0,0
Total,,,,,,,715,0,715,2,0,2
14,MC Boys School Shawala Murree (Male),دھارجاوہ,118010812,-,-,,558,0,558,0,0,0
Total,,,,,,,558,,558,1,0,1
15,"MURREE IMPROVEMENT TRUST(FEMALE)",-,-,شوالہ، لوہر جھیکا گلی,118030701,,0,486,486,0,0,0
"",,-,-,"کشمیری محلہ، عباسیمحلہ، چک کمیٹی ،مسیاڑی",118030702,,0,158,158,0,0,0
Total,,,,,,,0,644,644,0,1,1
16,"MURREE IMPROVEMENT TRUST(FEMALE)",دھارجاوہ,118010812,-,-,,0,453,453,0,0,0
Total,,,,,,,0,453,453,0,1,1
17,"TECH TRAINING CENTER JHIKA GALIMURREE(MALE)",-,-,"بری نوکر نزد ڈگریکالج جھیکا گلی، عدالت",118030703,,148,0,148,0,0,0
"-",-,لوہر ٹوپہ بیس,119010105,,947,0,947,0,0,0,,
Total,,,,,,,"1,214",0,"1,214",2,0,2
18,"TECH TRAINING CENTER JHIKA GALIMURREE(FEMALE)",-,-,"بری نوکر نزد ڈگریکالج جھیکا گلی، عدالت",118030703,,0,101,101,0,0,0
"",,-,-,"چک کمیٹی ریالہ ،بانترہ اپر دھک",118030704,,0,101,101,0,0,0
Total,,,,,,,0,202,202,0,1,1
19,"F.G Public School, Mureee Cantt (Male)",-,-,"تحصیل روڈ، سامریروڈ، جامع مسجد",119010102,,426,0,426,0,0,0
"",,-,-,گلڈنہ,119010103,,208,0,208,0,0,0
"",,-,-,گڑیال کیمپ کینٹ,119010104,,94,0,94,0,0,0
"",,-,-,باڑیاں,119010106,,52,0,52,0,0,0
Total,,,,,,,780,0,780,2,0,2
20,"F.G Public School, Mureee Cantt (Female)",-,-,"تحصیل روڈ، سامریروڈ، جامع مسجد",119010102,,0,332,332,0,0,0
"",,-,-,گلڈنہ,119010103,,0,166,166,0,0,0
"",,-,-,گڑیال کیمپ کینٹ,119010104,,0,55,55,0,0,0
"",,-,-,لوہر ٹوپہ بیس,119010105,,0,781,781,0,0,0
"",,-,-,باڑیاں,119010106,,0,38,38,0,0,0
Total,,,,,,,0,1648,"1,648",0,4,4
21,Govt Girls Primary School Dewel No.1.,دیول,118010119,-,-,,232,196,428,0,0,0
"",,رکھ دیول,118010122,-,-,,0,0,0,0,0,0
Total,,,,,,,232,196,428,1,1,2
22,Govt Elementry School Dewel No.1,دیول,118010113,-,-,,236,202,438,0,0,0
"",,دیول,118010114,-,-,,536,450,986,0,0,0
"",,دیول,118010120,-,-,,230,210,440,0,0,0
"",,رکھ گتیل,118010124,-,-,,0,0,0,0,0,0
Total,,,,,,,"1,002",862,"1,864",2,2,4
23,Govt Elementry School Dewel No.II,دیول,118010116,-,-,,423,359,782,0,0,0
"",,دیول,118010118,-,-,,772,752,"1,524",0,0,0
"",,رکھ پیل,118010126,-,-,,0,0,0,0,0,0
Total,,,,,,,"1,195","1,111","2,306",2,2,4
24,Govt Girls Primary School  Dewel No.2,دیول,118010117,-,-,,144,136,280,0,0,0
"",,دیول,118010121,-,-,,190,173,363,0,0,0
Total,,,,,,,334,309,643,1,1,2
25,"Govt Girls Primary School Lower  Dewel(Bandi)",دیول,118010112,-,-,,276,222,498,0,0,0
"",,دیول,118010115,-,-,,622,515,"1,137",0,0,0
Total,,,,,,,898,737,"1,635",2,2,4
26,Govt Girls High School Ousia.,اوسیاہ,118010104,-,-,,304,284,588,0,0,0
"",,اوسیاہ,118010108,-,-,,418,377,795,0,0,0
"",,اوسیاہ,118010109,-,-,,775,758,"1,533",0,0,0
Total,,,,,,,"1,497","1,419","2,916",2,2,4
27,Govt Boys High School Ousia.,اوسیاہ,118010106,-,-,,199,172,371,0,0,0
"",,اوسیاہ,118010110,-,-,,173,147,320,0,0,0
"",,اوسیاہ,118010107,-,-,,301,277,578,0,0,0
"",,اوسیاہ,118010111,-,-,,155,147,302,0,0,0
Total,,,,,,,"1,273","1,171","2,444",2,2,4
28,Govt Girls Primary School Numb Budrial.,نمب بدڑیال,118010101,-,-,,84,76,160,0,0,0
"",,نمب بدڑیال,118010102,-,-,,110,83,193,0,0,0
"",,نمب بدڑیال,118010103,-,-,,199,167,366,0,0,0
Total,,,,,,,393,326,719,1,1,2
29,Govt Boys High School Phagwari.,پھگواڑی,118010201,-,-,,476,429,905,0,0,0
"",,پھگواڑی,118010202,-,-,,281,225,506,0,0,0
Total,,,,,,,757,654,"1,411",2,1,3
30,Govt Girls Primary School Fatot.,فتوٹ,118010203,-,-,,482,357,839,0,0,0
Total,,,,,,,482,357,839,1,1,2
31,Govt Boys Elementry School Dehla.,دھلہ,118010205,-,-,,616,518,"1,134",0,0,0
"",,دھلہ,118010206,-,-,,269,214,483,0,0,0
Total,,,,,,,885,732,"1,617",2,2,4
32,Govt Girls High School Munasi.(Male),دھلہ,118010204,-,-,,646,525,"1,171",0,0,0
"",,نمب رومال,118010207,-,-,,550,0,550,0,0,0
"",,نمب رومال,118010208,-,-,,442,0,442,0,0,0
"",,نمب رومال,118010210,-,-,,505,0,505,0,0,0
