"",Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"GOVERNMENT  BOYSMIDDLE SCHOOL CHAK 4/SB",CHAK NO 004/SB,135010101,-,-,,745,0,745,3,0,3
"",,,CHAK NO 004/SB,135010102,-,-,,565,0,565,,,
"",1 Total,,,,-,-,-,1310,0,1310,3,0,3
"",2,"GOVERNMENT GIRLS MIDDLESCHOOL CHAK 4/SB",CHAK NO 004/SB,135010101,-,-,,0,658,658,0,2,2
"",,,CHAK NO 004/SB,135010102,-,-,,0,468,468,,,
"",2 Total,,,,-,-,-,0,1126,1126,0,2,2
"",3,"GOVERNMENT BOYSPRIMARY SCHOOL CHAKNO.5 SB (T)",CHAK NO 005/SB,135010103,-,-,,754,642,1396,2,1,3
"",3 Total,,,,-,-,-,754,642,1396,2,1,3
"",4,"GOVERNMENT GIRLSCOMMUNITY MODAL",CHAK NO 005/SB,135010104,-,-,,609,486,1095,2,2,4
"",,,CHAK NO 005/SB,135010105,-,-,,314,214,528,,,
"",4 Total,,,,-,-,-,923,700,1623,2,2,4
"",5,"GOVERNMENT BOYSPRIMARY SCHOOL CHAK 6 SB(T)",CHAK NO 006/SB,135010106,-,-,,189,0,189,2,0,2
"",,,CHAK NO 006/SB,135010107,-,-,,334,0,334,,,
"",,,CHAK NO 006/SB,135010108,-,-,,643,0,643,,,
"",5 Total,,,,-,-,-,1166,0,1166,2,0,2
"",6,"(5) GOVERNMENT GIRLSELEMENTRAY SCHOOL CHAKNO 6 SB",CHAK NO 006/SB,135010106,-,-,,0,137,137,0,2,2
"",,,CHAK NO 006/SB,135010107,-,-,,0,236,236,,,
"",,,CHAK NO 006/SB,135010108,-,-,,0,529,529,,,
"",6 Total,,,,-,-,-,0,902,902,0,2,2
"",7,"GOVERNMENT  BOYSPRIMARY SCHOOL CHAK 7",CHAK NO 006/SB,135010109,-,-,,296,241,537,2,1,3
"",,,CHAK NO 006/SB,135010110,-,-,,454,371,825,,,
"",7 Total,,,,-,-,-,750,612,1362,2,1,3
"",8,"GOVERNMENT GIRLS MIDDLESCHOOL CHAK 7 NB      (P)",CHAK NO 007/NB,135010112,-,-,,263,237,500,1,1,2
"",,,CHAK NO 007/NB,135010114,-,-,,263,235,498,,,
"",8 Total,,,,-,-,-,526,472,998,1,1,2
"",9,"GOVERNMENT GIRLS MIDDLESCHOOL CHAK 7 NB (P)",CHAK NO 007/NB,135010113,-,-,,920,817,1737,2,2,4
10,"GOVERNMENT BOYSPRIMARY SCHOOL CHAK 7 NB(T)",CHAK NO 007/NB,135010115,-,-,,747,623,1370,2,1,3
10 Total,,,,-,-,-,747,623,1370,2,1,3
11,"GOVERNMENT GIRLS MIDDLESCHOOL, DEOWAL (P)",DEOWAL,135010201,-,-,,457,348,805,2,2,4
"",,DEOWAL,135010204,-,-,,421,302,723,,,
11 Total,,,,-,-,-,878,650,1528,2,2,4
12,"GOVERNMENT GIRLS MIDDLESCHOOL, DEOWAL (P)",DEOWAL,135010202,-,-,,502,366,868,2,2,4
"",,DEOWAL,135010203,-,-,,402,301,703,,,
12 Total,,,,-,-,-,904,667,1571,2,2,4
13,"BASIC HEALTHCENTRE,DEOWAL (T)",DEOWAL,135010205,-,-,,0,0,0,0,0,0
"",,DEOWAL,135010209,-,-,,0,0,0,,,
13 Total,,,,-,-,-,0,0,0,0,0,0
14,"GOVERNMENT  BOYS HIGHSCHOOL, DEOWAL (P)",DEOWAL,135010206,-,-,,591,558,1149,2,2,4
"",,DEOWAL,135010208,-,-,,452,384,836,,,
14 Total,,,,-,-,-,1043,942,1985,2,2,4
15,"GOVERNEMNT BOYS HIGHSCHOOL DEOWAL (P)",DEOWAL,135010207,-,-,,425,336,761,2,2,4
"",,DEOWAL,135010210,-,-,,1023,860,1883,,,
15 Total,,,,-,-,-,1448,1196,2644,2,2,4
16,"CANAL REST HOUSE SALAM(MALE) (T)",SALAM,135010301,-,-,,955,0,955,3,0,3
"",,SALAM,135010302,-,-,,304,0,304,,,
"",,SALAM,135010303,-,-,,241,0,241,,,
16 Total,,,,-,-,-,1500,0,1500,3,0,3
17,"CANAL REST HOUSE SALAM(FEMALE) (T)",SALAM,135010301,-,-,,0,522,522,0,2,2
"",,SALAM,135010302,-,-,,0,356,356,,,
"",,SALAM,135010303,-,-,,0,196,196,,,
17 Total,,,,-,-,-,0,1074,1074,0,2,2
18,"BASIC HEALTH CENTRESALAM (T)",SALAM,135010305,-,-,,230,0,230,3,0,3
"",,SALAM,135010310,-,-,,313,0,313,,,
"",,SALAM,135010311,-,-,,189,0,189,,,
"",,SALAM,135010313,-,-,,260,0,260,,,
"",,SALAM,135010314,-,-,,241,0,241,,,
"",,SALAM,135010315,-,-,,210,0,210,,,
18 Total,,,,-,-,-,1443,0,1443,3,0,3
19,"(17) BASIC HEALTH CENTRESALAM (T)",SALAM,135010305,-,-,,0,138,138,0,2,2
"",,SALAM,135010310,-,-,,0,248,248,,,
"",,SALAM,135010311,-,-,,0,161,161,,,
"",,SALAM,135010313,-,-,,0,217,217,,,
"",,SALAM,135010314,-,-,,0,176,176,,,
"",,SALAM,135010315,-,-,,0,158,158,,,
19 Total,,,,-,-,-,0,1098,1098,0,2,2
SALAM,135010306,-,-,,286,256,542,,,,,
SALAM,135010307,-,-,,384,300,684,,,,,
20 Total,,,,-,-,-,1037,787,1824,2,2,4
21,"GOVERNMENT  BOYS HIGHERSECONDARY SCHOOL SALAM(SOUTH) (P)",SALAM,135010308,-,-,,532,467,999,1,1,2
21 Total,,,,-,-,-,532,467,999,1,1,2
22,"GOVERNMENT  BOYS HIGHERSECONDARY SCHOOLSCHOOL SALAM (NORTH) (P)",SALAM,135010309,-,-,,679,516,1195,2,1,3
22 Total,,,,-,-,-,679,516,1195,2,1,3
23,"GOVERNMENT  BOYS HIGHSCHOOL SALAM (NORTH) (P)",SALAM,135010304,-,-,,869,635,1504,2,1,3
23 Total,,,,-,-,-,869,635,1504,2,1,3
24,"GOVERNMENT  BOYSPRIMARY SCHOOL, CHAKNO.13 NB (T)",CHAK NO 013/NB,135010501,-,-,,862,762,1624,2,2,4
24 Total,,,,-,-,-,862,762,1624,2,2,4
