"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",38,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK NO.2 SB (T)",CHAK NO 002/SB,135020101,-,-,,335,311,646,2,1,3
"",,,CHAK NO 002/SB,135020102,-,-,,367,306,673,,,
"",1 Total,,,,-,-,-,702,617,1319,2,1,3
"",39,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK NO.1 SB THABAL (T)",CHAK NO 001/SB,135020103,-,-,,648,528,1176,1,1,2
"",2 Total,,,,-,-,-,648,528,1176,1,1,2
"",40,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK NO.1 SB HARGAN (T)",CHAK NO 001/SB,135020104,-,-,,401,308,709,2,2,4
"",,,CHAK NO 001/SB,135020105,-,-,,513,389,902,,,
"",3 Total,,,,-,-,-,914,697,1611,2,2,4
"",41,"GOVERNMENT  BOYS HIGH SCHOOLDHORI (NORTH)  (T)",DHORI,135020106,-,-,,292,0,292,3,0,3
"",,,DHORI,135020113,-,-,,1069,0,1069,,,
"",4 Total,,,,-,-,-,1361,0,1361,3,0,3
"",42,"(37) GOVERNMENT  BOYS HIGHSCHOOL  DHORI (NORTH)  (T)",DHORI,135020106,-,-,,0,209,209,0,2,2
"",,,DHORI,135020113,-,-,,0,820,820,,,
"",5 Total,,,,-,-,-,0,1029,1029,0,2,2
"",43,"GOVERNMENT  BOYS HIGH SCHOOLDHORI (MALE)  (T)",DHORI,135020107,-,-,,195,0,195,2,0,2
"",,,DHORI,135020108,-,-,,682,0,682,,,
"",6 Total,,,,-,-,-,877,0,877,2,0,2
"",44,"GOVERNMENT BOYS HIGH SCHOOLDHORI (FEMALE)  (T)",DHORI,135020107,-,-,,0,141,141,0,1,1
"",,,DHORI,135020108,-,-,,0,503,503,,,
"",7 Total,,,,-,-,-,0,644,644,0,1,1
"",45,OFFICE OF UNION COUNCIL DHORI (T),DHORI,135020109,-,-,,367,255,622,2,2,4
"",,,DHORI,135020110,-,-,,450,332,782,,,
"",8 Total,,,,-,-,-,817,587,1404,2,2,4
"",46,"GOVERNEMNT GIRLS MIDDLE SCHOOLDHORI (P)",DHORI,135020111,-,-,,350,284,634,2,2,4
"",,,DHORI,135020112,-,-,,614,469,1083,,,
"",9 Total,,,,-,-,-,964,753,1717,2,2,4
"",47,"GOVERNMENT BOYS PRIMARYSCHOOL RATTO KALA (MALE ) (T)",RATO KALA,135020201,-,-,,885,0,885,3,0,3
"",,,RATO KALA,135020202,-,-,,554,0,554,,,
"",10 Total,,,,-,-,-,1439,0,1439,3,0,3
RATO KALA,135020201,-,-,,0,724,724,,,,,,
11 Total,,,,-,-,-,0,1136,1136,0,2,2
49,"GOVERNEMNT GIRLS PRIMARYSCHOOL SARDAR ALAM DHAKHLIRATTO KALA (Male) (T)",RATO KALA,135020203,-,-,,663,0,663,4,0,4
"",,RATO KALA,135020204,-,-,,576,0,576,,,
"",,RATO KALA,135020205,-,-,,600,0,600,,,
12 Total,,,,-,-,-,1839,0,1839,4,0,4
50,"GOVERNEMNT .GIRLS PRIMARYSCHOOL SARDAR ALAM DHAKHLIRATTO KALA (Female) (T)",RATO KALA,135020203,-,-,,0,572,572,0,3,3
"",,RATO KALA,135020204,-,-,,0,387,387,,,
"",,RATO KALA,135020205,-,-,,0,539,539,,,
13 Total,,,,-,-,-,0,1498,1498,0,3,3
51,"GOVERNMENT GIRLS  ELEMENTRYSCHOOL RATTO KALA  (T)",RATO KALA,135020206,-,-,,477,384,861,2,2,4
"",,RATO KALA,135020207,-,-,,432,313,745,,,
14 Total,,,,-,-,-,909,697,1606,2,2,4
52,"BASIC HEALTH CENTER  RATTO KALA(T)",RATO KALA,135020208,-,-,,520,468,988,2,2,4
"",,RATO KALA,135020209,-,-,,444,311,755,,,
15 Total,,,,-,-,-,964,779,1743,2,2,4
53,"GOVERNMENT  BOYS PRIMARYSCHOOL CHAK 06 AML JUHLARAN (T)",CHAK NO 006-A/ML,135020211,-,-,,223,196,419,1,1,2
16 Total,,,,-,-,-,223,196,419,1,1,2
54,"GOVERNMENT  BOYS PRIMARYSCHOOL SIDHOWAL (T)",SIDHUWAL,135020210,-,-,,509,416,925,1,1,2
17 Total,,,,-,-,-,509,416,925,1,1,2
108,"GOVERNMENT BOYS PRIMARYSCHOOL NABBA (T)","CHAK NOOR KHANEWALA",263050101,-,-,,67,44,111,2,2,4
"",,NOOR KHANEWALA,263050102,-,-,,418,381,799,,,
"",,NABBA,263050103,-,-,,171,115,286,,,
"",,NABBA,263050104,-,-,,222,183,405,,,
"",,NABBA,263050105,-,-,,97,51,148,,,
18 Total,,,,-,-,-,975,774,1749,2,2,4
109,"GOVERNMENT BOYS HIGH SCHOOLCHAK MUBARIK (T)","CHAK RAMDAS (CHAKMUBARAK)",263050106,-,-,,303,0,303,2,0,2
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050107,-,-,,397,0,397,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050108,-,-,,492,0,492,,,
19 Total,,,,-,-,-,1192,0,1192,2,0,2
110,"(99) GOVERNMENT BOYS HIGHSCHOOL CHAK MUBARIK (T)","CHAK RAMDAS (CHAKMUBARAK)",263050106,-,-,,0,236,236,0,2,2
"CHAK RAMDAS (CHAKMUBARAK)",263050107,-,-,,0,295,295,,,,,
"CHAK RAMDAS (CHAKMUBARAK)",263050108,-,-,,0,397,397,,,,,
