Sr. No,"No. and Name of PollingStation",In case of rural areas,In Case of Urban Area,"S. No. of Voterson the Electoralroll in caseelectoral area isbifurcated","Number of Voters assigned topolling Station",Number of Polling Booths,,,,,,
"",,Name of electoral area,"Census BlockCode",Name of Electoral Area,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"1. Government.Boys HighSchool FerozeabadNarang(Male) (P)*",,,Mohallah Pir Bhukhari,1  9   9  0  6  0  1   0  1,,402,0,402,4,0,4
"",,,,Mohallah Sharif Pura,199060102,,566,0,566,,,
"",,,,Mohallah Muzafrabad,199060103,,343,0,343,,,
"",,,,Sadar Bazar No.1,199060104,,338,0,338,,,
2,"2. Government.Boys HighSchool Ferozeabad Narang(Male) (P)*",,,Sadar Bazar No.2,1  9  9  0  6   0  1  0  5,,462,0,462,3,0,3
"",,,,Sadar Bazar  No.3,199060201,,491,0,491,,,
"",,,,Sadar Bazar No.4,199060202,,452,0,452,,,
3,"3. Government.Boys HighSchool Ferozeabad Narang(Male) (P)*",,,Sadar Bazar No.5,1  9  9  0  6   0  2  0 3,,372,0,372,2,0,2
"",,,,Mohallah Muzafrabad,199060204,,413,0,413,,,
"",,,,Sadar Bazar No.6,199060205,,486,0,486,,,
4,"4. Government.Boys HighSchool Mandarwala SadarBazar Narang. (Female) (P)*",,,Mohallah Pir Bhukhari,1  9   9  0  6  0  1   0  1,,0,317,317,0,2,2
"",,,,Mohallah Sharif Pura,199060102,,0,412,412,,,
"",,,,Mohallah Muzafrabad,199060103,,0,280,280,,,
"",,,,Sadar Bazar No.1,199060104,,0,303,303,,,
5,"5. Government.Boys HighSchool Mandarwala SadarBazar Narang. (Female) (P)*",,,Sadar Bazar No.2,1  9  9  0  6   0  1  0  5,,0,377,377,0,2,2
"",,,,Sadar Bazar  No.3,199060201,,0,368,368,,,
"",,,,Sadar Bazar No.4,199060202,,0,398,398,,,
6,"6.  Government.Girls PrimarySchool Akram StreetNarang(Female) (P)*",,,Sadar Bazar No.5,1  9  9  0  6   0  2  0 3,,0,319,319,0,2,2
"",,,,Mohallah Muzafrabad,199060204,,0,306,306,,,
"",,,,Sadar Bazar No.6,199060205,,0,395,395,,,
7,"7. Office of Town CommitteeNarang (Male) (P)*",,,Mohallah Thana Abadi No.1,1   9  9  0  6  0  3   0  1,,5   1  3,0,513,2,0,2
"",,Mohallah Thana Abadi No.1,1   9  9  0  6  0  3   0  6,,2   3  6,0,236,,,,,
"",,Mohallah Amanit Pura,199060302,,261,0,261,,,,,
"",,Mohallah Amanit Pura,199060307,,222,0,222,,,,,
"",,Mohallah Amanit Pura,199060302,,0,272,272,,,,,
"",,Mohallah Amanit Pura,199060307,,0,141,141,,,,,
"",,"Mohallah Muhammad Pura(South) No.1",199060304,,0,456,456,,,,,
9,"9. Government  Primary SchoolMuhammad Pura, Narang. (8)",,,Mohallah Thana Abadi No.1,1   9  9  0  6  0  3   0  1,,0,3   5  3,3   5  3,0,4,4
"",,,,Mohallah Thana Abadi No.1,1   9  9  0  6  0  3   0  6,,0,2   1  5,2   1  5,,,
"",,,,Mohallah Thana Abadi No.2,199060303,,0,1021,1021,,,
10,"10. Government DegreeCollege Narang Mandi (10)",,,"Mohallah Muhammad Pura(South) No.1",199060304,,606,0,606,4,0,4
"",,,,Mohallah Farooqia,1   9  9  0  6  0   4  0  1,,5   2  1,0,521,,,
"",,,,"Mohallah Muhammad PuraCollage Road",199060402,,302,0,302,,,
11,"11. Government.DegreeCollege Narang Mandi (Male)(P)*",,,Mohallah Thana Abadi No.2,1   9  9  0  6  0  3   0  3,,1284,0,1284,4,0,4
"",,,,"Mohallah Muhammad Pura(South) No.2",199060305,,308,0,308,,,
12,"12. Government.DegreeCollege Narang Mandi (Male)(P)*",,,"Mohallah Muhammad Pura(Narth)",199060403,,599,0,599,4,0,4
"",,,,"Mohallah Muhammad PuraNo.2",199060404,,402,0,402,,,
"",,,,Mohallah FGA Colony,199060405,,329,0,329,,,
13,"13. Government. DegreeCollege Narang Mandi (Male)(P)*",,,"Mohallah Kot AbdurRehman",199060502,,284,0,284,3,0,3
"",,,,Mohallah Rafique Abad No.1,199060503,,466,0,466,,,
"",,,,Mohallah Rafique Abad No.2,199060504,,220,0,220,,,
"",,,,Mohallah Rafique Abad No.2,199060505,,3,0,3,,,
"",,,,Muslim Park No.1,199060601,,468,0,468,,,
14,"14. Government. DegreeCollege Narang Mandi (Male)(P)*",,,Muslim Park No.2,1   9  9  0  6  0  6   0  2,,512,0,512,4,0,4
"",,,,Muslim Park No.3,199060603,,505,0,505,,,
"",,,,Muslim Park No.4,199060604,,460,0,460,,,
"",,,,Muslim Park No.5,199060605,,328,0,328,,,
15,"15. Government.Boys PrimarySchool Muhammad Pura.Narang (Female) (P)*",,,Mohallah Farooqia,1   9  9  0  6  0   4  0  1,,0,4  0  1,401,0,2,2
"",,"Mohallah Muhammad PuraCollage Road",199060402,,0,209,209,,,,,
"",,"Mohallah Muhammad Pura(Narth)",199060403,,0,333,333,,,,,
"",,"Mohallah Muhammad PuraNo.2",199060404,,0,299,299,,,,,
"",,Mohallah FGA Colony,199060405,,0,217,217,,,,,
17,"17. Government.Boys HighSchool RafiqabadNarang(Female) (P)*",,,"Mohallah Kot AbdurRehman",199060502,,0,194,194,0,2,2
"",,,,Mohallah Rafique Abad No.1,199060503,,0,311,311,,,
"",,,,Mohallah Rafique Abad No.2,199060504,,0,156,156,,,
"",,,,Mohallah Rafique Abad No.2,199060505,,0,1,1,,,
"",,,,Muslim Park No.1,199060601,,0,348,348,,,
18,"18. Government.Boys HighSchool RafiqabadNarang(Female) (P)*",,,Muslim Park No.2,1   9  9  0  6  0  6   0  2,,0,379,379,0,2,2
"",,,,Muslim Park No.3,199060603,,0,362,362,,,
"",,,,Muslim Park No.4,199060604,,0,312,312,,,
"",,,,Muslim Park No.5,199060605,,0,209,209,,,
19,"19. Government.Girls PrimarySchool Ratta Gujran (P)*",Rata Gujran,1   9  9  0  2  0   6  0  1,,,,644,355,999,2,1,3
"",,Kot M.Zaman,199020802,,,,12,6,18,,,
"",,Sharif Pur (B.C),199020803,,,,1,2,3,,,
20,"20. Government  PrimarySchool  Rattian Khursheed.",Ratian Khurshed,199020602,,,,395,221,616,2,1,3
"",,Phata Wadh,199020603,,,,374,254,628,,,
21,"21. Government.Boys PrimarySchool Mandiali (P)*",Longwala,199020801,,,,185,105,290,2,1,3
"",,Wazirpur (BC),199020901,,,,0,0,0,,,
"",,Mindiali,199020902,,,,768,551,1319,,,
22,"22.  Government.Girls HighSchool Jandial Kalsan. (P)*",Chak Talian,199020804,,,,471,341,812,1,1,2
"",,Jandial Kalsan,199021101,,,,232,153,385,,,
"",,Chak Taja,1   9  9  0  2  1   1  0  2,,,,71,42,113,,,
"",,Amra (BC),199021103,,,,0,0,0,,,
"",,Addumata (BC),199021104,,,,0,0,0,,,
"",,"Kot Abdul Rehman(KotliMana)",199021105,,,,11,7,18,,,
"",,Badin pur (BC),199021106,,,,0,0,0,,,
23,"23. Government Girls PrimarySchool Chak Dheedo (P)*",Chak Dheedo,1  9  9   0  3  0  5  0  1,,,,444,280,724,1,1,2
"",,Kotli Kashmiran (BC),199030502,,,,0,0,0,,,
"",,Kotli Piran,199030503,,,,2,2,4,,,
"",,Akrampura,199030504,,,,8,4,12,,,
"",,Talvandi Sher Khan (BC),199030505,,,,0,0,0,,,
24,"24. Government.Boys PrimarySchool Chakrali (P)*",Chakrali,199010801,,,,536,335,871,2,1,3
"",,Chakrali,199010802,,,,418,235,653,,,
