ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Government Girls Primary School Bhoth No.1 (Male)(P),CHAK RANI,178030101,,,,623,,623,,,
"",,KOT PURANA,178030109,,,,0,,0,,,
"",,BHOTH,178030110,,,,966,,966,,,
"",,,TOTAL:-,,,,1589,,1589,3,,3
2,"Government Girls Primary School Bhoth No.1(Female)(P)",CHAK RANI,178030101,,,,,493,493,,,
"",,KOT PURANA,178030109,,,,,0,0,,,
"",,BHOTH,178030110,,,,,705,705,,,
"",,,TOTAL:-,,,,,1198,1198,,2,2
3,"Government Boys Primary school Puli ToopKhana.(Male) (P)",MAHAL LEHLIAN,178030102,,,,271,,271,,,
"",,MAHAL LEHLIAN,178030103,,,,774,,774,,,
"",,MAHAL LEHLIAN,178030104,,,,220,,220,,,
"",,,TOTAL:-,,,,1265,,1265,2,,2
4,"Government Girls Primary school Puli ToopKhana.(Female) (P)",MAHAL LEHLIAN,178030102,,,,,190,190,,,
"",,MAHAL LEHLIAN,178030103,,,,,608,608,,,
"",,MAHAL LEHLIAN,178030104,,,,,209,209,,,
"",,,TOTAL:-,,,,,1007,1007,,2,2
5,Government Boys Elementary School Chak Mandhar. (P),MANDHAR (CHAK),178030105,,,,3,0,3,,,
"",,MANDHAR (CHAK),178030106,,,,903,744,1647,,,
"",,,TOTAL:-,,,,906,744,1650,2,1,3
6,"Government Girls Elementary School Rahim PurKhichian.(Male)(P)",RAHIM PUR KICHIAN,178030107,,,,594,,594,,,
"",,RAHIM PUR KICHIAN,178030108,,,,767,,767,,,
"",,,TOTAL:-,,,,1361,,1361,2,,2
7,"Government Girls Elementary School Rahim PurKhichian.(Female)(P)",RAHIM PUR KICHIAN,178030107,,,,,509,509,,,
"",,RAHIM PUR KICHIAN,178030108,,,,,639,639,,,
"",,,TOTAL:-,,,,,1148,1148,,2,2
8,Basic Health UnitBhoth (East) (Male) (P),BHOTH,178030111,,,,625,,625,,,
BHOTH,178030132,,,,95,,95,,,,,
BHOTH,178030112,,,,518,,518,,,,,
BHOTH,17803133,,,,507,,507,,,,,
"",TOTAL:-,,,,1745,,1745,3,,3,,
9,Basic Health UnitBhoth (East) (Female) (P),BHOTH,178030132,,,,,41,41,,,
"",,BHOTH,178030112,,,,,407,407,,,
"",,BHOTH,17803133,,,,,468,468,,,
"",,,TOTAL:-,,,,,1414,1414,,3,3
10,Government Model Elementry  School Bhoth (Male) (P),BHOTH,178030113,,,,409,,409,,,
"",,BHOTH,178030115,,,,510,,510,,,
"",,BHOTH,178030116,,,,412,,412,,,
"",,,TOTAL:-,,,,1331,,1331,2,,2
11,"Government Model Elementry  School Bhoth (Female)(P)",BHOTH,178030113,,,,,322,322,,,
"",,BHOTH,178030115,,,,,397,397,,,
"",,BHOTH,178030116,,,,,309,309,,,
"",,,TOTAL:-,,,,,1028,1028,,2,2
12,Government Model Elementry  School Bhoth.(P),BHOTH,178030114,,,,532,428,960,,,
"",,,TOTAL:-,,,,532,428,960,1,1,2
13,Basic Health UnitBhoth (West) (Male)(P),BHOTH,178030117,,,,789,,789,,,
"",,BHOTH,178030118,,,,461,,461,,,
"",,,TOTAL:-,,,,1250,,1250,2,,2
14,Basic Health UnitBhoth (West) (Female)(P),BHOTH,178030117,,,,,663,663,,,
"",,BHOTH,178030118,,,,,329,329,,,
"",,,TOTAL:-,,,,,992,992,,2,2
15,GovernmentBoys High School Bharath.(Male)(P),BHARATH,178030119,,,,284,,284,,,
BHARATH,178030120,,,,747,,747,,,,,
BHARATH,178030129,,,,278,,278,,,,,
"",TOTAL:-,,,,1309,,1309,2,,2,,
BHARATH,178030119,,,,,212,212,,,,,
BHARATH,178030120,,,,,610,610,,,,,
BHARATH,178030129,,,,,203,203,,,,,
17,Government Boys High School Bharath.(Male) (P),BHARATH,178030121,,,,415,,415,,,
"",,BHARATH,178030122,,,,454,,454,,,
"",,BHARATH,178030130,,,,539,,539,,,
"",,,TOTAL:-,,,,1408,,1408,2,,2
18,Government Boys High School Bharath.(Female) (P),BHARATH,178030121,,,,,308,308,,,
"",,BHARATH,178030122,,,,,383,383,,,
"",,BHARATH,178030130,,,,,462,462,,,
"",,,TOTAL:-,,,,,1153,1153,,2,2
19,Government Girls High School Bharath. (P),BHARATH,178030123,,,,172,169,341,,,
"",,BHARATH,178030131,,,,287,235,522,,,
"",,BHARATH,178030124,,,,273,234,507,,,
"",,,TOTAL:-,,,,732,638,1370,1,1,2
20,Government Girls High School Bharath.(Male) (P),BHARATH,178030125,,,,434,,434,,,
"",,BHARATH,178030126,,,,239,,239,,,
"",,BHARATH,178030127,,,,310,,310,,,
"",,BHARATH,178030128,,,,312,,312,,,
"",,,TOTAL:-,,,,1295,,1295,2,,2
21,Government Girls High School Bharath.(Female) (P),BHARATH,178030125,,,,,401,401,,,
"",,BHARATH,178030126,,,,,209,209,,,
"",,BHARATH,178030127,,,,,252,252,,,
"",,BHARATH,178030128,,,,,244,244,,,
"",,,TOTAL:-,,,,,1106,1106,,2,2
22,"GovernmentBoys Elementary Schooll Gul Bahar Kalan(Male) (P)",GUL BAHAR KALAN,178030201,,,,401,,401,,,
"",,GUL BAHAR KALAN,178030202,,,,213,,213,,,
"",,GUL BAHAR KALAN,178030203,,,,738,,738,,,
"",,GUL BAHAR KALAN,178030204,,,,332,,332,,,
"",,MAHAL TONKAN,178030207,,,,389,,389,,,
"",,CHAK KHALIL,178030210,,,,6,,6,,,
"",,,TOTAL:-,,,,2079,,2079,4,,4
23,"GovernmentBoys Elementary Schooll Gul Bahar Kalan(Female) (P)",GUL BAHAR KALAN,178030201,,,,,343,343,,,
"",,GUL BAHAR KALAN,178030202,,,,,182,182,,,
"",,GUL BAHAR KALAN,178030203,,,,,618,618,,,
"",,GUL BAHAR KALAN,178030204,,,,,266,266,,,
"",,MAHAL TONKAN,178030207,,,,,255,255,,,
"",,CHAK KHALIL,178030210,,,,,2,2,,,
"",,,TOTAL:-,,,,,1666,1666,,3,3
24,GovernmentBoys Primary School Karool. (P),KAROL,178030205,,,,455,359,814,,,
KAROL,178030206,,,,362,271,633,,,,,
"",TOTAL:-,,,,817,630,1447,1,1,2,,
DAIT,178030209,,,,694,543,1237,,,,,
"",,,TOTAL:-,,,,892,666,1558,1,1,2
26,Govt Boys Elementary School Mehdipur (P),MEHDI PUR,178040101,,,,505,358,863,,,
"",,MEHDI PUR,178040102,,,,221,164,385,,,
"",,MEHDI PUR,178040103,,,,307,217,524,,,
"",,,TOTAL:-,,,,1033,739,1772,2,2,4
27,Govt Girls Primary School Harspur Malanay(Male) (P),HARSPUR MAULANA,178040104,,,,354,,354,,,
"",,HARSPUR MAULANA,178040105,,,,184,,184,,,
"",,KASEREY,178040107,,,,275,,275,,,
"",,NAND PUR,178040110,,,,312,,312,,,
"",,,TOTAL:-,,,,1125,,1125,2,,2
28,Govt Girls Primary School Harspur Malanay(Female) (P),HARSPUR MAULANA,178040104,,,,,240,240,,,
"",,HARSPUR MAULANA,178040105,,,,,104,104,,,
"",,KASEREY,178040107,,,,,157,157,,,
"",,NAND PUR,178040110,,,,,206,206,,,
"",,,TOTAL:-,,,,,707,707,,2,2
29,Govt Girls Primary School Tilakpur (Male)(P),DHUL,178040106,,,,359,,359,,,
"",,TILAK PUR,178040109,,,,382,,382,,,
"",,KHOOG,178040111,,,,45,,45,,,
"",,PALURA KHURD,178041007,,,,283,,283,,,
"",,,TOTAL:-,,,,1069,,1069,2,,2
30,Govt Girls Primary School Tilakpur (Female)(P),DHUL,178040106,,,,,247,247,,,
TILAK PUR,178040109,,,,,276,276,,,,,
KHOOG,178040111,,,,,44,44,,,,,
PALURA KHURD,178041007,,,,,186,186,,,,,
"",TOTAL:-,,,,,753,753,,2,2,,
CHHANI ASRAN,178040108,,,,305,213,518,,,,,
RANG PUR JATTAN,178041009,,,,610,429,1039,,,,,
32,GovernmentBoys Primary School Jhumian Dalalan (P),BHATWAL,178040201,,,,547,403,950,,,
"",,BHATWAL,178040202,,,,70,36,106,,,
"",,MANDAL,178040203,,,,7,3,10,,,
"",,JHOMIAN DILALAN,178040204,,,,360,238,598,,,
"",,MOHAL,178040205,,,,0,0,0,,,
"",,,TOTAL:-,,,,984,680,1664,2,1,3
33,Govt. Model Primary School Suragpur(Male) (P),BANUT,178040501,,,,196,,196,,,
"",,SURAG PUR,178040505,,,,646,,646,,,
"",,SURAG PUR,178040506,,,,387,,387,,,
"",,,TOTAL:-,,,,1229,,1229,2,,2
34,Govt. Model Primary School Suragpur(Female) (P),BANUT,178040501,,,,,121,121,,,
"",,SURAG PUR,178040505,,,,,494,494,,,
"",,SURAG PUR,178040506,,,,,292,292,,,
"",,,TOTAL:-,,,,,907,907,,2,2
35,Government Model Primary School Chaprari (P),MALAGER PUR,178040502,,,,375,285,660,,,
"",,CHAPRARI,178041404,,,,644,448,1092,,,
"",,,TOTAL:-,,,,1019,733,1752,2,2,4
36,Govt . Girls High School  Najwal(Male) (P),NAJWAL,178040503,,,,352,,352,,,
"",,NAJWAL,178040504,,,,804,,804,,,
"",,,TOTAL:-,,,,1156,,1156,2,,2
37,Govt . Boys High School  Najwal(Female) (P),NAJWAL,178040503,,,,,238,238,,,
"",,NAJWAL,178040504,,,,,599,599,,,
"",,,TOTAL:-,,,,,837,837,,2,2
38,Govt Boys High School Chaprar Khas(Male)(P),CHAPRAR KHAS,178040507,,,,680,,680,,,
"",,CHAPRAR KHAS,178040508,,,,485,,485,,,
"",,CHAPRAR KHAS,178040509,,,,192,,192,,,
"",,,TOTAL:-,,,,1357,,1357,2,,2
39,Govt Girls High School Chaprar Khas(Female)(P),CHAPRAR KHAS,178040507,,,,,513,513,,,
"",,CHAPRAR KHAS,178040508,,,,,344,344,,,
"",,CHAPRAR KHAS,178040509,,,,,154,154,,,
"",,,TOTAL:-,,,,,1011,1011,,2,2
40,Govt. Model Elementry  School Salehpur (Male)(P),ABDAL,178040701,,,,7,,7,,,
BATOLI BARHAMANAN,178040702,,,,0,,0,,,,,
RARGALA,178040703,,,,0,,0,,,,,
CHAK BALO,178040704,,,,15,,15,,,,,
CHAK MISRI,178040705,,,,0,,0,,,,,
CHAK SULEHRIAN,178040706,,,,7,,7,,,,,
SALEH PUR,178041205,,,,291,,291,,,,,
SALEH PUR,178041206,,,,895,,895,,,,,
"",TOTAL:-,,,,1215,,1215,2,,2,,
41,Govt. Model Elementry  School Salehpur (Female)(P),BATOLI BARHAMANAN,178040702,,,,,0,0,,,
"",,RARGALA,178040703,,,,,0,0,,,
"",,CHAK BALO,178040704,,,,,16,16,,,
"",,CHAK MISRI,178040705,,,,,0,0,,,
"",,CHAK SULEHRIAN,178040706,,,,,4,4,,,
"",,SALEH PUR,178041205,,,,,190,190,,,
"",,SALEH PUR,178041206,,,,,609,609,,,
"",,,TOTAL:-,,,,,824,824,,2,2
42,Government Girls Primary School Chadali. (P),HAIL JATTAN,178040801,,,,0,0,0,,,
"",,SAID PUR,178040802,,,,142,125,267,,,
"",,CHADIALI,178040803,,,,440,292,732,,,
"",,MAHAL KHADAR,178040804,,,,0,0,0,,,
"",,TARAF,178040805,,,,0,0,0,,,
"",,DHANGAL,178041405,,,,323,232,555,,,
"",,,TOTAL:-,,,,905,649,1554,2,1,3
