ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE PROVINCIAL ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency PP-35 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station","No. of PollingBooths",,,,,,
"",,"Name of Electoral RollsAreas.","Census BlockCode.","Name of ElectoralRolls Areasassigned to the","Census BlockCode Number",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Government Girls Primary School BhothNo.1 (Male)(P)",CHAK RANI,178030101,,,,623,,623,,,
"",,KOT PURANA,178030109,,,,0,,0,,,
"",,BHOTH,178030110,,,,966,,966,,,
"",,,TOTAL:-,,,,1589,,1589,3,,3
2,"Government Girls Primary School BhothNo.1 (Female)(P)",CHAK RANI,178030101,,,,,493,493,,,
"",,KOT PURANA,178030109,,,,,0,0,,,
"",,BHOTH,178030110,,,,,705,705,,,
"",,,TOTAL:-,,,,,1198,1198,,2,2
3,"Government Boys Primary school Puli ToopKhana.(Male) (P)",MAHAL LEHLIAN,178030102,,,,271,,271,,,
"",,MAHAL LEHLIAN,178030103,,,,774,,774,,,
"",,MAHAL LEHLIAN,178030104,,,,220,,220,,,
"",,,TOTAL:-,,,,1265,,1265,2,,2
4,"Government Girls Primary school Puli ToopKhana.(Female) (P)",MAHAL LEHLIAN,178030102,,,,,190,190,,,
"",,MAHAL LEHLIAN,178030103,,,,,608,608,,,
"",,MAHAL LEHLIAN,178030104,,,,,209,209,,,
"",,,TOTAL:-,,,,,1007,1007,,2,2
5,"Government Boys Elementary School ChakMandhar. (P)",MANDHAR (CHAK),178030105,,,,3,0,3,,,
"",,MANDHAR (CHAK),178030106,,,,903,744,1647,,,
"",,,TOTAL:-,,,,906,744,1650,2,1,3
6,"Government Girls Elementary School RahimPur Khichian.(Male)(P)",RAHIM PUR KICHIAN,178030107,,,,594,,594,,,
"",,RAHIM PUR KICHIAN,178030108,,,,767,,767,,,
"",,,TOTAL:-,,,,1361,,1361,2,,2
7,"Government Girls Elementary School RahimPur Khichian.(Female)(P)",RAHIM PUR KICHIAN,178030107,,,,,509,509,,,
RAHIM PUR KICHIAN,178030108,,,,,639,639,,,,,
"",TOTAL:-,,,,,1148,1148,,2,2,,
BHOTH,178030111,,,,625,,625,,,,,
BHOTH,178030132,,,,95,,95,,,,,
"",,BHOTH,17803133,,,,507,,507,,,
"",,,TOTAL:-,,,,1745,,1745,3,,3
